candidate,anchor,segment_type,segment,rows,weight_sum,sse,anchor_sse,weighted_sse_share,rmse,anchor_rmse,delta_sse_vs_anchor,delta_rmse_vs_anchor,mae,anchor_mae,bias,anchor_bias,mean_abs_step_error,mean_abs_pred_step,mean_abs_true_step,worse_than_anchor,well_id,tail_rows,tail_length_bucket,tail_start_row,tail_end_row,tail_start_md,tail_end_md,max_abs_error,anchor_max_abs_error
exp026,exp027,well,00bbac68,6014,6014.0,674546.0519320786,0.16020589975285532,0.726948854977503,10.590685963961109,0.005161281433074795,674545.8917261788,10.585524682528034,7.110404879242291,0.004852759005107941,5.4507638696964,-0.001054436063545139,0.21662614306621913,0.2074622283445967,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,26.222728145236033,0.013934382857769378
exp026,exp027,well,000d7d20,3836,3836.0,167137.4233778928,0.10657760143715839,0.18012166582317116,6.6008148645758755,0.005271007956676089,167137.31680029136,6.5955438566192,5.735799830253588,0.003616843047106627,5.517789500210051,-0.0012921008015103243,0.1936335865469008,0.19028544297271924,0.009332464146024644,True,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,10.756630326388404,0.011375521033187397
exp026,exp027,well,00e12e8b,4301,4301.0,86230.56886711714,0.12345336631225085,0.09292947919932593,4.477606293363878,0.0053575563438262525,86230.44541375083,4.472248737020052,3.9498238502767586,0.003718709555815782,-0.4635610919973506,-0.0012531889186205235,0.3139661646560849,0.3054934544415876,0.0221372093023257,True,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,10.070870148674658,0.011406641606299672
exp027,exp027,well,00bbac68,6014,6014.0,0.16020589975285532,0.16020589975285532,0.4105350188419233,0.005161281433074795,0.005161281433074795,0.0,0.0,0.004852759005107941,0.004852759005107941,-0.001054436063545139,-0.001054436063545139,0.004455346749836607,0.019772160319650206,0.019427906203224175,False,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,0.013934382857769378,0.013934382857769378
exp027,exp027,well,00e12e8b,4301,4301.0,0.12345336631225085,0.12345336631225085,0.31635495411395087,0.0053575563438262525,0.0053575563438262525,0.0,0.0,0.003718709555815782,0.003718709555815782,-0.0012531889186205235,-0.0012531889186205235,0.004641860465530636,0.022374418604669995,0.0221372093023257,False,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,0.011406641606299672,0.011406641606299672
exp027,exp027,well,000d7d20,3836,3836.0,0.10657760143715839,0.10657760143715839,0.2731100270441257,0.005271007956676089,0.005271007956676089,0.0,0.0,0.003616843047106627,0.003616843047106627,-0.0012921008015103243,-0.0012921008015103243,0.004432855281009672,0.009932203390084304,0.009332464146024644,False,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,0.011375521033187397,0.011375521033187397
exp039,exp027,well,00bbac68,6014,6014.0,0.16020589975285532,0.16020589975285532,0.4105350188419233,0.005161281433074795,0.005161281433074795,0.0,0.0,0.004852759005107941,0.004852759005107941,-0.001054436063545139,-0.001054436063545139,0.004455346749836607,0.019772160319650206,0.019427906203224175,False,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,0.013934382857769378,0.013934382857769378
exp039,exp027,well,00e12e8b,4301,4301.0,0.12345336631225085,0.12345336631225085,0.31635495411395087,0.0053575563438262525,0.0053575563438262525,0.0,0.0,0.003718709555815782,0.003718709555815782,-0.0012531889186205235,-0.0012531889186205235,0.004641860465530636,0.022374418604669995,0.0221372093023257,False,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,0.011406641606299672,0.011406641606299672
exp039,exp027,well,000d7d20,3836,3836.0,0.10657760143715839,0.10657760143715839,0.2731100270441257,0.005271007956676089,0.005271007956676089,0.0,0.0,0.003616843047106627,0.003616843047106627,-0.0012921008015103243,-0.0012921008015103243,0.004432855281009672,0.009932203390084304,0.009332464146024644,False,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,0.011375521033187397,0.011375521033187397
exp054,exp027,well,00bbac68,6014,6014.0,367707.8834174563,0.16020589975285532,0.6989031288985971,7.819333898111294,0.005161281433074795,367707.72321155656,7.81417261667822,5.413843831089268,0.004852759005107941,3.0582972153269012,-0.001054436063545139,0.1538488629953176,0.14598881108980252,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,18.69914824335865,0.013934382857769378
exp054,exp027,well,000d7d20,3836,3836.0,97431.51828708162,0.10657760143715839,0.1851882868305932,5.039766737796276,0.005271007956676089,97431.41170948018,5.0344957298396,4.3555393102696875,0.003616843047106627,4.0211946841209745,-0.0012921008015103243,0.1268655707835997,0.12451199708559768,0.009332464146024644,True,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,8.515620904492607,0.011375521033187397
exp054,exp027,well,00e12e8b,4301,4301.0,60981.98509899221,0.12345336631225085,0.11590858427080965,3.765442823933162,0.0053575563438262525,60981.8616456259,3.7600852675893357,2.9960723221446024,0.003718709555815782,0.7050811667030571,-0.0012531889186205235,0.3463417489186979,0.33946626445611483,0.0221372093023257,True,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,10.316623862870983,0.011406641606299672
exp063,exp027,well,00bbac68,6014,6014.0,238441.91252821064,0.16020589975285532,0.8199638547220462,6.296650475019065,0.005161281433074795,238441.75232231087,6.29148919358599,4.445927484307425,0.004852759005107941,3.4485362409584512,-0.001054436063545139,0.06123989818933525,0.060203056138782636,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,15.491289062500073,0.013934382857769378
exp063,exp027,well,00e12e8b,4301,4301.0,33667.27680535703,0.12345336631225085,0.11577641604450964,2.797816799466196,0.0053575563438262525,33667.15335199072,2.79245924312237,2.2592254799029456,0.003718709555815782,0.08535325178723924,-0.0012531889186205235,0.04507263808138728,0.043998001453488374,0.0221372093023257,True,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,6.951718750000509,0.011406641606299672
exp063,exp027,well,000d7d20,3836,3836.0,18686.44898031672,0.10657760143715839,0.06425972923344397,2.2071105692133424,0.005271007956676089,18686.342402715283,2.201839561256666,1.6953358702912467,0.003616843047106627,1.4994882669935006,-0.0012921008015103243,0.03200502159386559,0.031231920224902215,0.009332464146024644,True,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,5.855156249999709,0.011375521033187397
exp069,exp027,well,00bbac68,6014,6014.0,1804057.6848801123,0.16020589975285532,0.7719044749628666,17.319824942223974,0.005161281433074795,1804057.5246742126,17.3146636607909,11.368767758043676,0.004852759005107941,10.348432901355025,-0.001054436063545139,0.03382604617079018,0.027638359076168302,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,40.7471874999992,0.013934382857769378
exp069,exp027,well,00e12e8b,4301,4301.0,472627.5468388809,0.12345336631225085,0.2022237545136469,10.482739512027576,0.0053575563438262525,472627.4233855146,10.47738195568375,8.794108346895982,0.003718709555815782,5.907600031242598,-0.0012531889186205235,0.03954717478198248,0.028489507630813954,0.0221372093023257,True,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,22.928320312499636,0.011406641606299672
exp069,exp027,well,000d7d20,3836,3836.0,60466.24672903441,0.10657760143715839,0.025871770523486427,3.9702440783886037,0.005271007956676089,60466.14015143297,3.9649730704319275,3.043197554825914,0.003616843047106627,2.8211306842249915,-0.0012921008015103243,0.018964685870285672,0.017378228895045634,0.009332464146024644,True,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,9.581953124999927,0.011375521033187397
exp070,exp027,well,00bbac68,6014,6014.0,142099.88718496723,0.16020589975285532,0.5327506695637059,4.860882852519085,0.005161281433074795,142099.72697906746,4.85572157108601,3.1302595376413556,0.004852759005107941,1.6640223722770413,-0.001054436063545139,0.07356779711667613,0.07170515315774156,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,13.977226562499709,0.013934382857769378
exp070,exp027,well,00e12e8b,4301,4301.0,87864.54745946417,0.12345336631225085,0.32941543738884527,4.519830172634724,0.0053575563438262525,87864.42400609786,4.514472616290898,3.6635578208556443,0.003718709555815782,-0.7380351589747929,-0.0012531889186205235,0.05131499818312456,0.04639739280523256,0.0221372093023257,True,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,10.926679687499927,0.011406641606299672
exp070,exp027,well,000d7d20,3836,3836.0,36764.253470290954,0.10657760143715839,0.13783389304744872,3.0958048521438815,0.005271007956676089,36764.14689268952,3.0905338441872052,2.5795175536853954,0.003616843047106627,2.4229879859390167,-0.0012921008015103243,0.04524269678943341,0.0444444161505867,0.009332464146024644,True,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,7.744609375000437,0.011375521033187397
exp073,exp027,well,00bbac68,6014,6014.0,212497.90600988473,0.16020589975285532,0.7816937891080773,5.944230140822078,0.005161281433074795,212497.74580398496,5.939068859389003,4.173138159398854,0.004852759005107941,3.5437038316842577,-0.001054436063545139,0.0662102034134147,0.06507157668800931,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,14.119453124998472,0.013934382857769378
exp073,exp027,well,00e12e8b,4301,4301.0,40016.37285115596,0.12345336631225085,0.14720403936087081,3.0502408933328757,0.0053575563438262525,40016.249397789645,3.0448833369890496,2.481400655370814,0.003718709555815782,0.2958273330328798,-0.0012531889186205235,0.051664253270338904,0.05108262172965116,0.0221372093023257,True,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,6.960507812500509,0.011406641606299672
exp073,exp027,well,000d7d20,3836,3836.0,19328.620456795237,0.10657760143715839,0.07110217153105189,2.244714592520776,0.005271007956676089,19328.5138791938,2.2394435845641,1.7718059990875223,0.003616843047106627,1.582813029522828,-0.0012921008015103243,0.030954876955659835,0.03046620355280313,0.009332464146024644,True,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,6.183007812500364,0.011375521033187397
