segment_type,segment,wells,rows,pf_pooled_rmse,beam_pooled_rmse,ml_pooled_rmse,last_anchor_pooled_rmse,pf_minus_beam_rmse,pf_minus_ml_rmse,beam_minus_ml_rmse,pf_beats_ml_wells,beam_beats_ml_wells,pf_beats_beam_wells,best_pf_wells,best_beam_wells,best_ml_wells,best_last_anchor_wells,mean_pf_beam_abs_diff,mean_pf_std,mean_beam_spread,mean_prefix_length,mean_eval_length,mean_pfx_rmse,mean_likpf_abs_delta
beam_spread_bucket,beam_spread_q1_0.0492_1.62,194,900513,12.603300220598502,14.797693344412332,8.091776316635814,14.963038262954374,-2.19439312381383,4.511523903962688,6.705917027776518,57,36,113,49,17,112,16,8.897083666818318,1.3622187891537858,1.0113683321907545,1721.629125842714,5037.519546080956,13.739849960066431,8.487964835451248
beam_spread_bucket,beam_spread_q2_1.62_2.68,193,911030,13.912396495192697,14.826226270235233,8.651625376870845,14.805296123450283,-0.9138297750425366,5.260771118321852,6.1746008933643886,59,35,116,49,19,115,10,8.937056390839608,1.346989204405373,2.176924972985121,1694.900874833979,5034.480098350219,13.894335420583735,8.709491002334296
beam_spread_bucket,beam_spread_q3_2.68_4.04,193,969474,14.651077590099785,17.007793373495318,10.37037499646069,16.842552772469364,-2.356715783395533,4.280702593639095,6.637418377034628,56,19,126,52,8,123,10,9.869932850679342,1.4595985307040973,3.3090391054643526,1677.8195320348973,5327.45563676798,14.528246471000974,9.069012659977524
beam_spread_bucket,beam_spread_q4_4.04_13.9,193,1002972,16.32648601510061,16.214336607695284,10.566756813716104,16.752865561587146,0.11214940740532597,5.759729201384506,5.64757979397918,62,34,123,57,9,114,13,11.530131184989536,1.2444669730294993,5.749226547012107,1670.3394471630315,5526.258382088433,14.31228670894711,10.210872082052129
best_engine,beam,53,262777,15.403099815528666,8.09612206631664,11.194949907895253,9.337974688627483,7.306977749212026,4.208149907633413,-3.098827841578613,13,53,0,0,53,0,0,7.966627885300731,1.3543740890406046,2.78443890452792,1711.0337548567798,5440.456238559691,13.668152766261887,6.166719376532556
best_engine,last_anchor,49,233293,18.692255379924298,9.27701877946019,11.060787947474699,7.451809093736454,9.415236600464107,7.631467432449599,-1.7837691680145085,14,35,10,0,0,0,49,10.817429329635319,1.781631169045732,3.1532187631922772,1713.8569009785977,4998.1339731582175,14.120224171462498,8.207759968542153
best_engine,ml,464,2299157,16.254850010175982,16.763834033596034,8.755064311896588,16.76350530452563,-0.5089840234200516,7.4997856982793945,8.008769721699446,0,0,261,0,0,464,0,9.912312303863066,1.304854683766191,3.0810106071885914,1690.686556855404,5315.521396320478,14.149202978082142,9.380009851638277
best_engine,pf,207,988762,6.63137049410432,16.15785634719303,10.339140463623087,16.702904438517013,-9.526485853088708,-3.7077699695187674,5.818715883569942,207,36,207,207,0,0,0,9.992160567586357,1.3607374046696818,3.355000944187836,1678.620431408165,5070.534391491582,14.213314469008317,9.618210211062982
likpf_abs_delta_bucket,likpf_abs_delta_q1_0.017_3.23,194,935221,12.833255701732423,11.20728005507608,7.843131782761932,10.974973119184398,1.625975646656343,4.9901239189704905,3.3641482723141474,61,37,117,55,18,109,12,6.8127959156105735,1.3099945940095399,2.877890964549669,1713.6124958699602,5277.171056894574,13.515008229540289,1.5634243708314444
likpf_abs_delta_bucket,likpf_abs_delta_q2_3.23_6.92,193,949246,12.76284253802103,11.142412545945918,7.934321233247578,11.274510079017656,1.6204299920751115,4.828521304773451,3.2080913126983397,51,32,102,39,15,123,16,6.88949725288285,1.3869604837205383,2.997371328213744,1704.2136748535154,5218.553793221146,14.144494541327537,5.018774800732784
likpf_abs_delta_bucket,likpf_abs_delta_q3_6.92_12.8,193,935924,14.546818840720476,15.956174606207725,10.469164070514125,15.786288927544073,-1.4093557654872484,4.077654770206351,5.487010535693599,57,27,120,53,13,118,9,9.465273058789855,1.3870213736708301,3.1772562412815786,1678.8812884379502,5160.4196793756755,14.66040668588625,9.74370143847965
likpf_abs_delta_bucket,likpf_abs_delta_q4_12.8_64.3,193,963598,17.291891260216474,22.03727581284822,11.322635130214582,22.579358193406403,-4.745384552631744,5.969256130001892,10.714640682633636,65,28,139,60,7,114,12,16.103016260491298,1.3254530629270265,3.484811856356688,1665.3535654910036,5304.757021081406,14.20042290008873,19.99377106013606
pf_beam_disagreement_bucket,pf_beam_disagreement_q1_0.364_4.26,194,864632,11.754170611062586,12.159008007117517,8.551396905266477,12.508787670966944,-0.40483739605493163,3.2027737057961083,3.60761110185104,58,42,122,46,17,121,10,2.866964692247241,1.1487199420503718,2.538701466141635,1711.1556280591049,4844.247282080701,14.25733289688295,5.8571679036172135
pf_beam_disagreement_bucket,pf_beam_disagreement_q2_4.26_7.76,193,966957,11.153760989757032,11.438821249006653,7.6975706067004666,11.667761638939988,-0.28506025924962053,3.4561903830565655,3.741250642306186,63,33,121,53,13,114,13,6.01969373421952,1.3791229106674825,3.056544898543808,1696.5652805657335,5351.792041424799,14.044732060610038,6.0458214250540045
pf_beam_disagreement_bucket,pf_beam_disagreement_q3_7.76_12.6,193,963588,13.403126905647541,13.79032885389455,8.606497108287256,13.751705551645472,-0.38720194824700904,4.796629797360286,5.183831745607295,57,26,115,54,14,115,10,9.930672667547855,1.4790649639829596,3.2224255180817667,1703.207803542593,5315.700944802135,14.003196748043042,8.406168899565458
pf_beam_disagreement_bucket,pf_beam_disagreement_q4_12.6_64.8,193,988812,19.654210102875098,22.575867999050892,12.378258992613482,22.68088532816383,-2.9216578961757946,7.275951110261616,10.19760900643741,56,23,120,54,9,114,16,19.637885238883708,1.380515036646229,3.653530037513632,1653.6458639255995,5405.311379716266,14.228528137901542,15.777613353176921
pf_minus_beam_rmse_bucket,-10--5,129,630974,9.574287534364366,15.59645620880753,8.56430777813727,15.606310541542802,-6.022168674443163,1.0099797562270965,7.03214843067026,60,4,129,60,0,69,0,9.927255269424018,1.3039722361344193,3.2572285416045705,1701.7364614072847,5166.892331538225,14.3019458325622,9.835200790468326
pf_minus_beam_rmse_bucket,-2-0,118,572229,10.926330399952189,11.783688705185767,7.872205473817985,11.796143805564906,-0.8573583052335785,3.054124926134204,3.9114832313677823,37,20,118,32,0,77,9,5.263903013971786,1.3655658042919894,2.9867807935972626,1694.6594125778315,5247.131793390408,14.415219071841342,6.048124564527321
pf_minus_beam_rmse_bucket,-5--2,130,622013,10.175918857248329,12.968891745668003,8.158451083989169,13.429776284933595,-2.7929728884196745,2.0174677732591597,4.810440661678834,53,15,130,52,0,77,1,6.903924280370049,1.4018214927117374,3.064784493693384,1695.5255356399305,5125.8968783610635,13.973389302107995,7.590280369636204
pf_minus_beam_rmse_bucket,0-2,83,405469,11.735622799666178,10.776222435655773,7.378259417185955,11.00237850607502,0.9594003640104045,4.357363382480223,3.3979630184698184,10,18,0,0,14,62,7,5.391654053485731,1.1872388519236488,2.762008836603528,1721.9734135038684,5320.3297046136695,14.18378760025304,6.584943914409562
