exact_typewell_group,typewell_hash,n_wells,wells,x_mean_min,x_mean_max,y_mean_min,y_mean_max
native_overlap_1_cluster_0001,native_overlap_1_cluster_0001,71,"09441b8d,0a57a29c,0d99f8e4,10a1281a,13ce113d,18d24f7b,1a518997,203721ab,2075c696,264feceb,29b24409,2ee0235b,310c71a5,3690a146,373ef48b,3bbe1f5d,3d96d897,445af6c2,4654e7de,4caa7289,4f4afcc6,4fbe9c06,521a7819,5a5d1982,5def1ce5,6a0ff78e,6ede926a,729f4217,75cd5f11,764072a5,7c607683,7cd4bb31,7d50373e,811f52b3,85380836,87aa3730,884ecb5f,8a89da23,8bb9c1e6,8d5d46d7,8f201368,90386ee4,995ff498,a0383629,a692b17e,a7744f5b,b19b0395,b32e4903,b585b4fa,b881d27e,bb2cdd83,be83e781,c6c96179,c9578d27,cdc60a53,d24ff243,d2f3b1ab,d40f61d5,d6c320d9,d84b621b,dafc88c3,df8290be,e14d641e,e45a2a62,e6c55748,ebe69318,eeed308d,f03f10fe,f6824bb0,f9fc81aa,fbd68d27",2895369.8746572156,2911890.475750669,1022061.9299471264,1041995.2699364119
native_overlap_1_cluster_0002,native_overlap_1_cluster_0002,53,"0be01c24,12f0cd90,14ad5efb,1550491d,1944513c,26623a50,2d0c268a,3df4b19e,4ed93db6,4f3eb9e9,512943b2,593876b6,5a5269a9,6d590e26,6dbe4b60,739a914f,8382f4b6,861e71df,877ed19c,8ac2f237,992c99e8,9da441ba,9e3e364d,a0b83014,a5e6f7dc,a622ce4d,a6ed2eff,aa95015b,b85f7b06,b95e7121,b977be4a,bd6f0e19,c1d046f4,c2717d4f,c2c4db09,c66be2b8,c8d9680c,c908edd0,c96c018a,c9e980e8,cbb406b5,d1ee630d,da940160,ddc790ff,e730c32b,e7d0c1de,ea41324e,eb06a4e7,f56d3ace,f8f59188,fd3b4faa,fd8f77fa,fdfd57da",2991973.4346432877,3013045.113935273,1110077.0439762636,1125754.0964376132
native_overlap_1_cluster_0003,native_overlap_1_cluster_0003,41,"00bbac68,015fe0d2,153552f5,155887bb,177622d7,25939962,2ab29395,2b547943,2f19d536,3584a6eb,37d36812,3a824aa7,3bfee975,47222616,6e6d122c,73b1447d,75c20ec7,77b0d905,8050c789,86454a6f,8b9d8326,8bfa881d,925a7cd1,96936c22,aaeffccb,ab112491,ab18d3fc,ab3ced07,abf460d2,b0f53bf4,ba48188d,c2c6fc71,c47e0767,cdc31d65,da2d4d7c,e161bd0c,ec13af42,ed6436d6,edf885a3,f053a1b9,fd710aea",2998264.267195613,3012691.30262879,1075454.3888278827,1096323.5669484849
native_overlap_1_cluster_0004,native_overlap_1_cluster_0004,38,"16e4a047,1f9afacb,200d233d,2f8e53c3,44441e54,4630ab92,466fc788,4cecf7b3,4e050c92,5138a660,5a1a8fd8,5cb483ac,699ea575,72dd8501,7b38844c,7bb17b96,7cbbd047,7e208414,84815d5a,8648abae,89fdb2f2,8a3da6d1,91db7070,9426ec1e,9a8ae0d6,9d072e4c,9df1b1f9,a645da9a,a79fd2e7,b1efb8a4,b38e3116,c6797dd7,d273674e,d6dd7330,d924e971,e748dd88,ed6e6e54,f074d277",3001178.285085331,3021243.7555997954,1097327.633413037,1111849.2048026468
native_overlap_1_cluster_0005,native_overlap_1_cluster_0005,31,"14a53cb3,24d8997e,25fd32b3,2d196986,2d2d0c6b,2e43c2ea,460f859e,49dbc14c,4a335117,504c8b08,5cdd8dbc,62a6f539,77e4821c,7acda2df,8255c867,833af382,865033f8,95c8427f,999daf80,9c8375f7,a85bb86f,b4d8dd4f,b4f37e6e,b56bc0aa,bf39bc20,cc08aa63,dd7d638e,e7c36e81,e97032ad,eafb863e,f4d12d23",2911612.4489965914,2921675.7711880677,1040038.2709817761,1048462.5427607832
native_overlap_1_cluster_0006,native_overlap_1_cluster_0006,31,"197f8a5a,20402d71,25050f63,28f4eda9,3ac16ad0,43c7f85a,4c3df468,4f69febf,6d1d74e1,722cf0d8,729e9750,82fcf37c,8bda1a11,98bc6f66,a247e7cf,a4cdbb0f,aff4e561,b7cdcecb,beda8696,bf70b410,c50b42f6,c59b6c4a,d114d9c2,d9eca87b,da3bfe4e,df71d1ff,e149204f,eac10e86,f2d4c8c9,f8afa78a,fa16d114",2880373.065516472,2891883.044752529,1017497.5823207351,1028618.3814484389
native_overlap_1_cluster_0007,native_overlap_1_cluster_0007,30,"044af7d1,05a0ee4d,1aaf1da0,20096916,22c5f93f,2acc78d4,2be5c96a,2d35f86d,368131f9,3c3dbcbc,43b06c70,4a8ecc0b,4cd1ac61,647f2a41,729665c0,8612b37f,8b12bab6,93209a3d,939d9c34,9ad5410a,9b9e3b49,bd4ae5da,be063506,bffe3082,c36625df,d50c649a,eabc711b,f40cd091,fba7683c,fc03f21f",2993130.5241662967,3009892.159263232,1092538.099165653,1113198.8567178196
native_overlap_1_cluster_0008,native_overlap_1_cluster_0008,28,"01982c1d,0dc835f3,14fee784,2ac7cb6b,30d75030,367456ce,3aaa2b30,4936af16,5f4d2a52,6ea22614,7256229b,796dbd4c,84633df4,8478df29,89969c7a,8cc800b3,940a48d9,add9c322,b32902c0,cb879f40,cbe62450,d085e611,d0a0e7b5,d543916f,eb640a35,efde6ac3,f16e25e3,fae0c593",2989652.3431678056,2998063.636030645,1109625.2174799151,1124468.008276236
native_overlap_1_cluster_0009,native_overlap_1_cluster_0009,28,"09ec2ca9,0dc5e64d,0e5e560d,19137a89,3f603129,4121c517,4ddde4c1,529e88ca,656a067b,6767c111,698930d1,708caea9,7d57c75d,807f0298,8995c945,9719aa04,a5aa7973,bb682ebd,d0cb63ae,d1ecf309,d9ae59b2,dc7f9757,e7818f7a,ee288beb,f5d8aab6,f6d009f4,f72b268f,fb73b13a",2995621.8895945153,3012992.5152398683,1121688.898106799,1138904.2240498269
native_overlap_1_cluster_0010,native_overlap_1_cluster_0010,27,"028d7b28,0dd99dc5,113011eb,13f598d9,1770d7c6,19871e7f,1fee2b62,276b012a,2d9f6cb9,3b21ea64,41fb0192,4a035ec2,4b831d20,5b7b6324,67847288,79507629,9bd2bba3,9d4272e3,a48640d9,b5aa9634,c70c0e01,d7ba4f9d,dbee6c86,df73b8f3,ea0b99b7,f321a31c,fa667be2",2993258.9570152727,3010481.3895183643,1067375.7023179221,1078759.912787243
native_overlap_1_cluster_0011,native_overlap_1_cluster_0011,26,"084d66f9,2bff06cf,3407f5bf,37344c2a,39b51819,43e16325,4b462989,543198e8,5542c301,56b00794,5aa403d0,5fb1c15f,65156b96,91b301ce,9283ae69,93f5d2e6,940e709a,9896fc0b,9ab94eeb,a08d9e63,aee6393a,dd168de0,e85074c5,ecdaf714,f439a621,fef8af96",2919668.660502812,2931923.620812947,1042923.475916747,1061832.126039463
native_overlap_1_cluster_0012,native_overlap_1_cluster_0012,25,"0498acab,052d64df,125be846,1a730ac2,2043abc5,206b6193,230eaaa3,272abef3,283269ac,3a86fe8d,3ef6372a,47ee27ab,516088b7,5567d551,5beded95,5fffa282,69c1bdad,726f3dc2,78a4a386,9c350a6a,9dfff011,bb337fa0,ce55ba43,d217e0c5,e0f36d98",2979176.583029887,2997667.9058493734,1092565.151790378,1107196.5194843214
native_overlap_1_cluster_0013,native_overlap_1_cluster_0013,22,"08fecf00,0955cd6c,109d9d70,1e5e3573,201661b5,2e29e833,3a0af893,53134831,5693dde2,5d7198fd,5f6756c5,63559d57,7987f2f2,89f36adf,a3518960,a959858c,c99f9fae,cbe51de1,d3df146b,d463e527,e5c92e59,fa31da94",3012527.658358829,3027324.279189195,1106779.909016364,1118698.0152619898
native_overlap_1_cluster_0014,native_overlap_1_cluster_0014,22,"1b6ba517,27ebb9b9,3932faa6,481de5fc,5254b6db,5663b2b7,58fa8486,6a8fa194,71ccf778,75d20a82,9314ff13,992ce078,9ffce529,aaaf3c03,ad2133a8,cc8a1d57,cda7eb37,d63196fe,dc5fbe29,e9949a23,f08774c3,f140c2fa",2909294.7668316355,2924789.4372912715,1015007.4274154464,1021506.8347798001
native_overlap_1_cluster_0015,native_overlap_1_cluster_0015,20,"09053135,1590af81,1619e2ca,23b9beb0,261785ee,2fe023be,33c40295,3e011332,45fb3e21,5397ceb1,53f23031,60e37807,7b2c7b3c,8d92cb49,9def2eb2,a4719920,b37fd114,cd7f1687,f0188a48,fcfcc902",2982602.7504104995,2995455.5020859656,1081724.2336568628,1094422.8523975331
