split,well_id,typewell_hash,exact_typewell_group,exact_typewell_group_size,shared_typewell,n_xy_points,x_start,y_start,x_end,y_end,x_midpoint,y_midpoint,x_mean,y_mean,x_min,x_max,y_min,y_max,horizontal_well_path,typewell_path
train,000d7d20,native_overlap_1_cluster_0022,native_overlap_1_cluster_0022,14,True,5278,2983525.16,1069022.09,2983473.1,1074040.56,2983531.96,1071407.18,2983513.881585827,1071417.6734293238,2983468.41,2983578.28,1069022.09,1074040.56,data/raw/train/000d7d20__horizontal_well.csv,
train,00bbac68,native_overlap_1_cluster_0003,native_overlap_1_cluster_0003,41,True,7559,3010760.08,1084504.51,3005789.15,1089521.36,3008508.55,1086905.96,3008500.4098174307,1086928.4096322274,3005789.15,3010760.08,1084504.44,1089521.36,data/raw/train/00bbac68__horizontal_well.csv,
train,00e12e8b,native_overlap_1_cluster_0022,native_overlap_1_cluster_0022,14,True,6384,2971071.98,1060431.23,2967726.49,1065106.5,2969585.71,1062517.45,2969568.616414465,1062552.745421367,2967726.49,2971071.98,1060431.23,1065106.5,data/raw/train/00e12e8b__horizontal_well.csv,
train,015fe0d2,native_overlap_1_cluster_0003,native_overlap_1_cluster_0003,41,True,5950,2998620.5,1077773.53,3002003.09,1073179.45,3000226.87,1075559.38,3000247.112391593,1075563.0879025222,2998620.5,3002003.09,1073179.45,1077773.53,data/raw/train/015fe0d2__horizontal_well.csv,
train,01869cd4,native_overlap_1_cluster_0022,native_overlap_1_cluster_0022,14,True,6850,2971669.4,1068509.12,2975650.09,1063180.31,2973620.02,1065930.23,2973618.040756203,1065922.441744525,2971669.4,2975650.09,1063180.31,1068509.12,data/raw/train/01869cd4__horizontal_well.csv,
train,01982c1d,native_overlap_1_cluster_0008,native_overlap_1_cluster_0008,28,True,5587,2996249.89,1121981.57,2994734.18,1126836.24,2995564.25,1124173.73,2995565.781575088,1124200.9678378387,2994734.18,2996249.89,1121978.97,1126836.24,data/raw/train/01982c1d__horizontal_well.csv,
train,028d7b28,native_overlap_1_cluster_0010,native_overlap_1_cluster_0010,27,True,7761,3005520.61,1072695.03,3009836.04,1066661.73,3007596.48,1069823.81,3007594.0020229295,1069810.2954245582,3005520.61,3009836.04,1066661.73,1072695.03,data/raw/train/028d7b28__horizontal_well.csv,
train,02e7fe5a,native_overlap_1_cluster_0029,native_overlap_1_cluster_0029,10,True,6888,2985897.41,1058610.08,2985954.21,1064948.05,2985919.5,1061506.92,2985931.450892856,1061532.3213283988,2985890.9,2985960.87,1058610.08,1064948.05,data/raw/train/02e7fe5a__horizontal_well.csv,
train,0390d174,native_overlap_1_cluster_0023,native_overlap_1_cluster_0023,13,True,6101,2999862.56,1128190.32,3001908.43,1122743.7,3000849.01,1125597.68,3000841.1216538395,1125584.4246730064,2999862.38,3001908.43,1122743.7,1128190.32,data/raw/train/0390d174__horizontal_well.csv,
train,03a935ae,native_overlap_1_cluster_0034,native_overlap_1_cluster_0034,7,True,4430,3036280.49,1087844.65,3032648.63,1089694.83,3034614.86,1088685.32,3034603.122180585,1088709.86341309,3032648.63,3036280.49,1087844.62,1089694.83,data/raw/train/03a935ae__horizontal_well.csv,
train,044af7d1,native_overlap_1_cluster_0007,native_overlap_1_cluster_0007,30,True,6067,3010003.63,1111006.19,3009755.45,1105274.94,3009910.0,1108300.66,3009892.159263232,1108288.7258974793,3009755.45,3010003.63,1105274.94,1111006.23,data/raw/train/044af7d1__horizontal_well.csv,
train,0498acab,native_overlap_1_cluster_0012,native_overlap_1_cluster_0012,25,True,6432,2990506.76,1095703.26,2992765.47,1090272.49,2991489.62,1093218.43,2991522.1698678522,1093204.5564085825,2990506.76,2992765.47,1090272.49,1095706.71,data/raw/train/0498acab__horizontal_well.csv,
train,052d64df,native_overlap_1_cluster_0012,native_overlap_1_cluster_0012,25,True,4590,2981035.84,1097598.24,2978492.02,1100711.09,2979944.8,1098939.04,2979917.6804466206,1098971.4526840972,2978492.02,2981035.84,1097598.24,1100711.09,data/raw/train/052d64df__horizontal_well.csv,
train,05948241,native_overlap_1_cluster_0024,native_overlap_1_cluster_0024,13,True,5428,2959047.81,1087249.09,2955879.14,1090976.43,2957609.37,1088894.72,2957609.3809653614,1088931.1797015483,2955879.14,2959047.81,1087249.09,1090976.43,data/raw/train/05948241__horizontal_well.csv,
train,059c8f24,native_overlap_1_cluster_0042,native_overlap_1_cluster_0042,1,False,7998,2913069.21,1066810.11,2918081.05,1061262.71,2915385.95,1064209.04,2915402.9646411664,1064196.6370942746,2913069.21,2918081.05,1061262.71,1066811.04,data/raw/train/059c8f24__horizontal_well.csv,
train,05a0ee4d,native_overlap_1_cluster_0007,native_overlap_1_cluster_0007,30,True,6098,2994585.45,1100502.46,2992517.01,1105683.34,2993628.4,1102850.51,2993634.674160379,1102879.2822941965,2992517.01,2994585.45,1100501.81,1105683.34,data/raw/train/05a0ee4d__horizontal_well.csv,
train,060ab2b8,native_overlap_1_cluster_0027,native_overlap_1_cluster_0027,11,True,7818,2901028.92,1025943.05,2896319.2,1031472.81,2898848.91,1028498.75,2898838.321125612,1028519.3585878713,2896319.2,2901028.92,1025943.05,1031472.81,data/raw/train/060ab2b8__horizontal_well.csv,
train,06df5958,native_overlap_1_cluster_0030,native_overlap_1_cluster_0030,8,True,5039,2903605.04,1027075.94,2906775.06,1023595.71,2905079.19,1025452.94,2905092.588517555,1025443.5081405041,2903605.04,2906775.06,1023595.71,1027075.94,data/raw/train/06df5958__horizontal_well.csv,
train,071d7b45,native_overlap_1_cluster_0039,native_overlap_1_cluster_0039,2,True,4720,2947003.8,1077503.74,2944000.39,1080957.59,2945548.03,1079183.3,2945536.7787627056,1079179.6511144054,2944000.39,2947003.8,1077503.74,1080957.59,data/raw/train/071d7b45__horizontal_well.csv,
train,0849b4e2,native_overlap_1_cluster_0016,native_overlap_1_cluster_0016,19,True,7436,3021166.5,1119203.58,3021865.8,1112421.72,3021503.55,1116118.4,3021498.1430876767,1116087.8739698746,3021164.43,3021865.8,1112421.72,1119203.61,data/raw/train/0849b4e2__horizontal_well.csv,
train,084d66f9,native_overlap_1_cluster_0011,native_overlap_1_cluster_0011,26,True,5632,2929605.81,1056686.42,2932964.64,1052915.76,2931102.05,1055022.32,2931110.1301065357,1054982.9565944572,2929601.31,2932964.64,1052915.76,1056686.42,data/raw/train/084d66f9__horizontal_well.csv,
train,08fecf00,native_overlap_1_cluster_0013,native_overlap_1_cluster_0013,22,True,7405,3021658.93,1119258.18,3022185.74,1112483.96,3021903.02,1116172.1,3021903.1292167376,1116143.1747738014,3021653.52,3022185.74,1112483.96,1119258.26,data/raw/train/08fecf00__horizontal_well.csv,
train,09053135,native_overlap_1_cluster_0015,native_overlap_1_cluster_0015,20,True,7715,2989780.15,1089331.95,2992322.2,1082598.81,2990964.06,1086203.87,2990964.723209324,1086181.8943927423,2989779.85,2992322.2,1082598.81,1089333.48,data/raw/train/09053135__horizontal_well.csv,
train,09441b8d,native_overlap_1_cluster_0001,native_overlap_1_cluster_0001,71,True,7395,2908308.08,1038444.9,2903888.74,1043612.09,2906287.47,1040806.05,2906268.4227883676,1040826.0310818115,2903888.74,2908308.81,1038444.9,1043612.09,data/raw/train/09441b8d__horizontal_well.csv,
