selection_order,well,representative_episode_id,representative_cause,representative_episode_sse,selection_phase,suffix_rows,episodes,episode_rows,episode_sse,counterfactual_shard_index
0,86454a6f,86454a6f:001,support_or_clamp_shortage,27505045.94847107,exclusive_cause_max_sse,7964,2,7774,27532463.504315376,0
1,b3388334,b3388334:000,across_seed_aggregation_multiplicity,11308299.997748377,exclusive_cause_max_sse,6080,1,4806,11308299.997748377,2
2,4caa7289,4caa7289:000,within_seed_particle_mean_multiplicity,4425296.098321915,exclusive_cause_max_sse,5396,1,5074,4425296.098321915,0
3,1b1eba53,1b1eba53:000,transition_propagation_escape,15104221.223542212,exclusive_cause_max_sse,4655,1,4166,15104221.223542212,2
4,3417285d,3417285d:000,gr_emission_alias_observed,5675541.230389595,exclusive_cause_max_sse,5449,1,4941,5675541.230389595,1
5,6767c111,6767c111:001,mixed_or_unresolved,1384857.2408208847,exclusive_cause_max_sse,6783,2,3595,2078996.4305849075,1
6,b04b58a3,b04b58a3:000,resampling_particle_extinction,1126332.5649576187,exclusive_cause_max_sse,3402,1,2681,1126332.5649576187,0
7,708caea9,708caea9:000,support_or_clamp_shortage,13103965.944109917,global_episode_sse_fill,6548,1,5828,13103965.944109917,3
8,5f4d2a52,5f4d2a52:001,transition_propagation_escape,10164613.656246183,global_episode_sse_fill,5225,2,4027,10283517.285327911,1
9,7987f2f2,7987f2f2:000,support_or_clamp_shortage,9743204.441501616,global_episode_sse_fill,3705,1,3039,9743204.441501616,3
10,91b301ce,91b301ce:001,across_seed_aggregation_multiplicity,6587532.531499863,global_episode_sse_fill,6570,2,3707,6615973.218365669,2
11,206b6193,206b6193:000,support_or_clamp_shortage,6226128.682073593,global_episode_sse_fill,6535,1,5466,6226128.682073593,3
