id,tvt
000d7d20_1442,11747.423828125
000d7d20_1443,11747.4306640625
000d7d20_1444,11747.421875
000d7d20_1445,11747.4150390625
000d7d20_1446,11747.4248046875
000d7d20_1447,11747.4267578125
000d7d20_1448,11747.423828125
000d7d20_1449,11747.4267578125
000d7d20_1450,11747.43359375
000d7d20_1451,11747.4384765625
000d7d20_1452,11747.482421875
000d7d20_1453,11747.4658203125
000d7d20_1454,11747.462890625
000d7d20_1455,11747.4658203125
000d7d20_1456,11747.4765625
000d7d20_1457,11747.482421875
000d7d20_1458,11747.4970703125
000d7d20_1459,11747.478515625
000d7d20_1460,11747.4638671875
000d7d20_1461,11747.474609375
000d7d20_1462,11747.466796875
000d7d20_1463,11747.4853515625
000d7d20_1464,11747.5048828125
000d7d20_1465,11747.5849609375
000d7d20_1466,11747.57421875
000d7d20_1467,11747.5849609375
000d7d20_1468,11747.6669921875
000d7d20_1469,11747.7158203125
000d7d20_1470,11747.7119140625
000d7d20_1471,11747.7509765625
000d7d20_1472,11747.73828125
000d7d20_1473,11747.82421875
000d7d20_1474,11747.8349609375
000d7d20_1475,11747.8505859375
000d7d20_1476,11747.8857421875
000d7d20_1477,11747.875
000d7d20_1478,11747.8828125
000d7d20_1479,11747.880859375
000d7d20_1480,11747.8876953125
000d7d20_1481,11747.9208984375
000d7d20_1482,11747.91796875
000d7d20_1483,11747.9189453125
000d7d20_1484,11747.9150390625
000d7d20_1485,11747.93359375
000d7d20_1486,11748.00390625
000d7d20_1487,11748.0205078125
000d7d20_1488,11748.0068359375
000d7d20_1489,11748.005859375
000d7d20_1490,11748.0078125
000d7d20_1491,11748.0341796875
000d7d20_1492,11747.958984375
000d7d20_1493,11747.9658203125
000d7d20_1494,11747.9619140625
000d7d20_1495,11747.9794921875
000d7d20_1496,11747.990234375
000d7d20_1497,11747.986328125
000d7d20_1498,11748.0361328125
000d7d20_1499,11748.048828125
000d7d20_1500,11748.044921875
000d7d20_1501,11748.0537109375
000d7d20_1502,11748.14453125
000d7d20_1503,11748.1357421875
000d7d20_1504,11748.1396484375
000d7d20_1505,11748.142578125
000d7d20_1506,11748.158203125
000d7d20_1507,11748.1669921875
000d7d20_1508,11748.1728515625
000d7d20_1509,11748.185546875
000d7d20_1510,11748.1953125
000d7d20_1511,11748.201171875
000d7d20_1512,11748.2197265625
000d7d20_1513,11748.2109375
000d7d20_1514,11748.2109375
000d7d20_1515,11748.2177734375
000d7d20_1516,11748.2177734375
000d7d20_1517,11748.23046875
000d7d20_1518,11748.267578125
000d7d20_1519,11748.29296875
000d7d20_1520,11748.298828125
000d7d20_1521,11748.310546875
000d7d20_1522,11748.33203125
000d7d20_1523,11748.341796875
000d7d20_1524,11748.419921875
000d7d20_1525,11748.4375
000d7d20_1526,11748.490234375
000d7d20_1527,11748.5634765625
000d7d20_1528,11748.6669921875
000d7d20_1529,11748.669921875
000d7d20_1530,11748.6884765625
000d7d20_1531,11748.6591796875
000d7d20_1532,11748.671875
000d7d20_1533,11748.6591796875
000d7d20_1534,11748.619140625
000d7d20_1535,11748.6181640625
000d7d20_1536,11748.6279296875
000d7d20_1537,11748.650390625
000d7d20_1538,11748.6611328125
000d7d20_1539,11748.6171875
000d7d20_1540,11748.5849609375
000d7d20_1541,11748.587890625
000d7d20_1542,11748.6171875
000d7d20_1543,11748.6875
000d7d20_1544,11748.6611328125
000d7d20_1545,11748.69921875
000d7d20_1546,11748.65625
000d7d20_1547,11748.6474609375
000d7d20_1548,11748.5947265625
000d7d20_1549,11748.583984375
000d7d20_1550,11748.521484375
000d7d20_1551,11748.5498046875
000d7d20_1552,11748.544921875
000d7d20_1553,11748.638671875
000d7d20_1554,11748.5947265625
