id,tvt
000d7d20_1442,11747.451171875
000d7d20_1443,11747.458984375
000d7d20_1444,11747.46484375
000d7d20_1445,11747.462890625
000d7d20_1446,11747.482421875
000d7d20_1447,11747.486328125
000d7d20_1448,11747.490234375
000d7d20_1449,11747.49609375
000d7d20_1450,11747.5
000d7d20_1451,11747.5078125
000d7d20_1452,11747.552734375
000d7d20_1453,11747.5458984375
000d7d20_1454,11747.513671875
000d7d20_1455,11747.5048828125
000d7d20_1456,11747.49609375
000d7d20_1457,11747.4970703125
000d7d20_1458,11747.5087890625
000d7d20_1459,11747.5048828125
000d7d20_1460,11747.5009765625
000d7d20_1461,11747.5205078125
000d7d20_1462,11747.5087890625
000d7d20_1463,11747.513671875
000d7d20_1464,11747.66796875
000d7d20_1465,11747.76953125
000d7d20_1466,11747.7705078125
000d7d20_1467,11747.76171875
000d7d20_1468,11747.828125
000d7d20_1469,11747.9267578125
000d7d20_1470,11747.9453125
000d7d20_1471,11747.984375
000d7d20_1472,11747.9677734375
000d7d20_1473,11748.05078125
000d7d20_1474,11748.1162109375
000d7d20_1475,11748.1279296875
000d7d20_1476,11748.1669921875
000d7d20_1477,11748.154296875
000d7d20_1478,11748.158203125
000d7d20_1479,11748.15625
000d7d20_1480,11748.158203125
000d7d20_1481,11748.12109375
000d7d20_1482,11748.12109375
000d7d20_1483,11748.1142578125
000d7d20_1484,11748.1142578125
000d7d20_1485,11748.0966796875
000d7d20_1486,11748.1005859375
000d7d20_1487,11748.076171875
000d7d20_1488,11748.072265625
000d7d20_1489,11748.0615234375
000d7d20_1490,11748.0634765625
000d7d20_1491,11748.1025390625
000d7d20_1492,11748.0576171875
000d7d20_1493,11748.0634765625
000d7d20_1494,11748.083984375
000d7d20_1495,11748.111328125
000d7d20_1496,11748.103515625
000d7d20_1497,11748.1123046875
000d7d20_1498,11748.111328125
000d7d20_1499,11748.1005859375
000d7d20_1500,11748.0732421875
000d7d20_1501,11748.0615234375
000d7d20_1502,11748.1318359375
000d7d20_1503,11748.1240234375
000d7d20_1504,11748.130859375
000d7d20_1505,11748.1376953125
000d7d20_1506,11748.150390625
000d7d20_1507,11748.1474609375
000d7d20_1508,11748.1455078125
000d7d20_1509,11748.1376953125
000d7d20_1510,11748.1435546875
000d7d20_1511,11748.1435546875
000d7d20_1512,11748.1572265625
000d7d20_1513,11748.142578125
000d7d20_1514,11748.1474609375
000d7d20_1515,11748.1982421875
000d7d20_1516,11748.197265625
000d7d20_1517,11748.2470703125
000d7d20_1518,11748.2470703125
000d7d20_1519,11748.259765625
000d7d20_1520,11748.26953125
000d7d20_1521,11748.3095703125
000d7d20_1522,11748.388671875
000d7d20_1523,11748.412109375
000d7d20_1524,11748.416015625
000d7d20_1525,11748.4326171875
000d7d20_1526,11748.4990234375
000d7d20_1527,11748.6767578125
000d7d20_1528,11748.7021484375
000d7d20_1529,11748.72265625
000d7d20_1530,11748.87890625
000d7d20_1531,11748.849609375
000d7d20_1532,11748.8544921875
000d7d20_1533,11748.904296875
000d7d20_1534,11748.91796875
000d7d20_1535,11748.927734375
000d7d20_1536,11748.9248046875
000d7d20_1537,11748.9267578125
000d7d20_1538,11748.9375
000d7d20_1539,11748.904296875
000d7d20_1540,11748.86328125
000d7d20_1541,11748.802734375
000d7d20_1542,11748.8330078125
000d7d20_1543,11748.939453125
000d7d20_1544,11748.8955078125
000d7d20_1545,11748.9287109375
000d7d20_1546,11748.9140625
000d7d20_1547,11748.873046875
000d7d20_1548,11748.822265625
000d7d20_1549,11748.8486328125
000d7d20_1550,11748.8115234375
000d7d20_1551,11748.8115234375
000d7d20_1552,11748.828125
000d7d20_1553,11748.986328125
000d7d20_1554,11748.9453125
000d7d20_1555,11748.939453125
000d7d20_1556,11748.9248046875
000d7d20_1557,11748.8837890625
000d7d20_1558,11748.8876953125
000d7d20_1559,11748.8544921875
000d7d20_1560,11748.8662109375
000d7d20_1561,11748.826171875
000d7d20_1562,11748.837890625
000d7d20_1563,11748.8134765625
000d7d20_1564,11748.845703125
000d7d20_1565,11748.98828125
000d7d20_1566,11748.9013671875
000d7d20_1567,11749.10546875
000d7d20_1568,11749.0419921875
000d7d20_1569,11749.033203125
000d7d20_1570,11749.1767578125
000d7d20_1571,11749.0244140625
000d7d20_1572,11749.1962890625
000d7d20_1573,11749.1650390625
000d7d20_1574,11749.1953125
000d7d20_1575,11749.1357421875
000d7d20_1576,11749.09765625
000d7d20_1577,11749.099609375
000d7d20_1578,11749.0673828125
000d7d20_1579,11749.1083984375
000d7d20_1580,11749.1376953125
000d7d20_1581,11749.115234375
000d7d20_1582,11749.14453125
000d7d20_1583,11749.1103515625
000d7d20_1584,11749.1416015625
000d7d20_1585,11749.0947265625
000d7d20_1586,11749.1259765625
000d7d20_1587,11749.1201171875
000d7d20_1588,11749.1083984375
000d7d20_1589,11749.1123046875
000d7d20_1590,11749.07421875
000d7d20_1591,11749.0087890625
000d7d20_1592,11748.998046875
000d7d20_1593,11749.0361328125
000d7d20_1594,11749.0810546875
000d7d20_1595,11749.083984375
000d7d20_1596,11749.05078125
000d7d20_1597,11749.0810546875
000d7d20_1598,11749.0732421875
000d7d20_1599,11749.0546875
000d7d20_1600,11749.0908203125
000d7d20_1601,11749.1044921875
000d7d20_1602,11749.0703125
000d7d20_1603,11749.1201171875
000d7d20_1604,11749.1044921875
000d7d20_1605,11749.103515625
000d7d20_1606,11749.2548828125
000d7d20_1607,11749.2548828125
000d7d20_1608,11749.2255859375
000d7d20_1609,11749.2646484375
000d7d20_1610,11749.2373046875
000d7d20_1611,11749.26171875
000d7d20_1612,11749.2578125
000d7d20_1613,11749.2158203125
000d7d20_1614,11749.21875
000d7d20_1615,11749.2734375
000d7d20_1616,11749.2333984375
000d7d20_1617,11749.26953125
000d7d20_1618,11749.2333984375
000d7d20_1619,11749.2705078125
000d7d20_1620,11749.2255859375
000d7d20_1621,11749.2041015625
000d7d20_1622,11749.1591796875
000d7d20_1623,11749.1494140625
000d7d20_1624,11749.0947265625
000d7d20_1625,11749.1142578125
000d7d20_1626,11749.0673828125
000d7d20_1627,11749.08203125
000d7d20_1628,11749.072265625
000d7d20_1629,11748.97265625
000d7d20_1630,11748.91796875
000d7d20_1631,11748.8427734375
000d7d20_1632,11748.8291015625
000d7d20_1633,11748.8115234375
000d7d20_1634,11748.7744140625
000d7d20_1635,11748.8076171875
000d7d20_1636,11748.7626953125
000d7d20_1637,11748.8046875
000d7d20_1638,11748.7841796875
000d7d20_1639,11748.771484375
000d7d20_1640,11748.8046875
000d7d20_1641,11748.7900390625
000d7d20_1642,11748.80078125
000d7d20_1643,11748.6826171875
000d7d20_1644,11748.658203125
000d7d20_1645,11748.662109375
000d7d20_1646,11748.591796875
000d7d20_1647,11748.6015625
000d7d20_1648,11748.5390625
000d7d20_1649,11748.56640625
000d7d20_1650,11748.5224609375
000d7d20_1651,11748.482421875
000d7d20_1652,11748.4423828125
000d7d20_1653,11748.412109375
000d7d20_1654,11748.36328125
000d7d20_1655,11748.3173828125
000d7d20_1656,11748.3388671875
000d7d20_1657,11748.333984375
000d7d20_1658,11748.369140625
000d7d20_1659,11748.392578125
000d7d20_1660,11748.2998046875
000d7d20_1661,11748.26953125
000d7d20_1662,11748.302734375
000d7d20_1663,11748.298828125
000d7d20_1664,11748.2587890625
000d7d20_1665,11748.2607421875
000d7d20_1666,11748.2548828125
000d7d20_1667,11748.2626953125
000d7d20_1668,11748.287109375
000d7d20_1669,11748.26171875
000d7d20_1670,11748.2177734375
000d7d20_1671,11748.23046875
000d7d20_1672,11748.193359375
000d7d20_1673,11748.212890625
000d7d20_1674,11748.20703125
000d7d20_1675,11748.2138671875
000d7d20_1676,11748.189453125
000d7d20_1677,11748.25
000d7d20_1678,11748.1943359375
000d7d20_1679,11748.2138671875
000d7d20_1680,11748.1884765625
000d7d20_1681,11748.2001953125
000d7d20_1682,11748.181640625
000d7d20_1683,11748.23828125
000d7d20_1684,11748.189453125
000d7d20_1685,11748.2490234375
000d7d20_1686,11748.2275390625
000d7d20_1687,11748.240234375
000d7d20_1688,11748.2099609375
000d7d20_1689,11748.2216796875
000d7d20_1690,11748.2109375
000d7d20_1691,11748.2373046875
000d7d20_1692,11748.2060546875
000d7d20_1693,11748.435546875
000d7d20_1694,11748.4052734375
000d7d20_1695,11748.4052734375
000d7d20_1696,11748.4365234375
000d7d20_1697,11748.396484375
000d7d20_1698,11748.412109375
000d7d20_1699,11748.4453125
000d7d20_1700,11748.44140625
000d7d20_1701,11748.404296875
000d7d20_1702,11748.41796875
000d7d20_1703,11748.40625
000d7d20_1704,11748.3623046875
000d7d20_1705,11748.3564453125
000d7d20_1706,11748.345703125
000d7d20_1707,11748.314453125
000d7d20_1708,11748.29296875
000d7d20_1709,11748.306640625
000d7d20_1710,11748.287109375
000d7d20_1711,11748.2294921875
000d7d20_1712,11748.22265625
000d7d20_1713,11748.1884765625
000d7d20_1714,11748.220703125
000d7d20_1715,11748.3115234375
000d7d20_1716,11748.3134765625
000d7d20_1717,11748.3408203125
000d7d20_1718,11748.3173828125
000d7d20_1719,11748.3154296875
000d7d20_1720,11748.296875
000d7d20_1721,11748.2587890625
000d7d20_1722,11748.26953125
000d7d20_1723,11748.2734375
000d7d20_1724,11748.271484375
000d7d20_1725,11748.2607421875
000d7d20_1726,11748.244140625
000d7d20_1727,11748.2060546875
000d7d20_1728,11748.2216796875
000d7d20_1729,11748.23046875
000d7d20_1730,11748.2294921875
000d7d20_1731,11748.2392578125
000d7d20_1732,11748.236328125
000d7d20_1733,11748.2255859375
000d7d20_1734,11748.2001953125
000d7d20_1735,11748.17578125
000d7d20_1736,11748.1455078125
000d7d20_1737,11748.169921875
000d7d20_1738,11748.173828125
000d7d20_1739,11748.158203125
000d7d20_1740,11748.1328125
000d7d20_1741,11748.1181640625
000d7d20_1742,11748.1396484375
000d7d20_1743,11748.10546875
000d7d20_1744,11748.103515625
000d7d20_1745,11748.0380859375
000d7d20_1746,11748.052734375
000d7d20_1747,11748.060546875
000d7d20_1748,11748.06640625
000d7d20_1749,11748.103515625
000d7d20_1750,11748.1083984375
000d7d20_1751,11748.109375
000d7d20_1752,11748.1181640625
000d7d20_1753,11748.119140625
000d7d20_1754,11748.1357421875
000d7d20_1755,11748.2099609375
000d7d20_1756,11748.212890625
000d7d20_1757,11748.2021484375
000d7d20_1758,11748.1943359375
000d7d20_1759,11748.1884765625
000d7d20_1760,11748.1826171875
000d7d20_1761,11748.2021484375
