id,tvt
000d7d20_1442,11751.436003945457
000d7d20_1443,11751.433412100469
000d7d20_1444,11751.43104120382
000d7d20_1445,11751.428879723888
000d7d20_1446,11751.426916129052
000d7d20_1447,11751.425138887706
000d7d20_1448,11751.418448968245
000d7d20_1449,11751.417009839068
000d7d20_1450,11751.415722468588
000d7d20_1451,11751.41455484008
000d7d20_1452,11751.407478110556
000d7d20_1453,11751.406532070232
000d7d20_1454,11751.40572008374
000d7d20_1455,11751.3999651736
000d7d20_1456,11751.399361369376
000d7d20_1457,11751.398861765196
000d7d20_1458,11751.393439887994
000d7d20_1459,11751.393199364978
000d7d20_1460,11751.387923968832
000d7d20_1461,11751.38785985183
000d7d20_1462,11751.382938855912
000d7d20_1463,11751.377178353978
000d7d20_1464,11751.377636075482
000d7d20_1465,11751.373082619051
000d7d20_1466,11751.368718023636
000d7d20_1467,11751.36956856334
000d7d20_1468,11751.365425871652
000d7d20_1469,11751.361266449485
000d7d20_1470,11751.35708300112
000d7d20_1471,11751.352851155145
000d7d20_1472,11751.348494162106
000d7d20_1473,11751.343339979354
000d7d20_1474,11751.337133420271
000d7d20_1475,11751.3318992553
000d7d20_1476,11751.32648921149
000d7d20_1477,11751.32112696091
000d7d20_1478,11751.315327827637
000d7d20_1479,11751.309576288671
000d7d20_1480,11751.303757364103
000d7d20_1481,11751.298207571444
000d7d20_1482,11751.292646296097
000d7d20_1483,11751.282348765038
000d7d20_1484,11751.276142697508
000d7d20_1485,11751.270982017342
000d7d20_1486,11751.260854012113
000d7d20_1487,11751.25572125913
000d7d20_1488,11751.250077352222
000d7d20_1489,11751.239249918925
000d7d20_1490,11751.233462212287
000d7d20_1491,11751.223520955657
000d7d20_1492,11751.217811106406
000d7d20_1493,11751.20740793793
000d7d20_1494,11751.200753528685
000d7d20_1495,11751.190159294598
000d7d20_1496,11751.178899584473
000d7d20_1497,11751.173957165938
000d7d20_1498,11751.163989559223
000d7d20_1499,11751.15376767838
000d7d20_1500,11751.145028016494
000d7d20_1501,11751.143751216052
000d7d20_1502,11751.138832632583
000d7d20_1503,11751.133307518328
000d7d20_1504,11751.128459182186
000d7d20_1505,11751.125019571296
000d7d20_1506,11751.12090660925
000d7d20_1507,11751.122046277458
000d7d20_1508,11751.119473582912
000d7d20_1509,11751.11617435242
000d7d20_1510,11751.112908583222
000d7d20_1511,11751.111360176075
000d7d20_1512,11751.109195554807
000d7d20_1513,11751.106962049127
000d7d20_1514,11751.10562275119
000d7d20_1515,11751.10386183629
000d7d20_1516,11751.107571408247
000d7d20_1517,11751.107814011855
000d7d20_1518,11751.10720642796
000d7d20_1519,11751.105666287112
000d7d20_1520,11751.104884389064
000d7d20_1521,11751.102702934046
000d7d20_1522,11751.100212807887
000d7d20_1523,11751.097238812108
000d7d20_1524,11751.092916839902
000d7d20_1525,11751.087447439477
000d7d20_1526,11751.082383343375
000d7d20_1527,11751.076351606276
000d7d20_1528,11751.069841765831
000d7d20_1529,11751.063865893324
000d7d20_1530,11751.051957389413
000d7d20_1531,11751.0455390451
000d7d20_1532,11751.038770893796
000d7d20_1533,11751.031984880676
000d7d20_1534,11751.023497613223
000d7d20_1535,11751.015283465244
000d7d20_1536,11751.006728657
000d7d20_1537,11750.998282048247
000d7d20_1538,11750.990794990928
000d7d20_1539,11750.97813349872
000d7d20_1540,11750.970358883227
000d7d20_1541,11750.9626782907
000d7d20_1542,11750.953703871714
000d7d20_1543,11750.944684652794
000d7d20_1544,11750.93590610979
000d7d20_1545,11750.921048676237
000d7d20_1546,11750.91120987268
000d7d20_1547,11750.902375775113
000d7d20_1548,11750.892527133134
000d7d20_1549,11750.877223509737
000d7d20_1550,11750.867497017938
000d7d20_1551,11750.856915124055
000d7d20_1552,11750.84628952356
000d7d20_1553,11750.831166641356
000d7d20_1554,11750.82116169396
000d7d20_1555,11750.811011769274
000d7d20_1556,11750.795568737638
000d7d20_1557,11750.784363861796
000d7d20_1558,11750.77347585724
000d7d20_1559,11750.763497017191
000d7d20_1560,11750.7472019546
000d7d20_1561,11750.737992082984
000d7d20_1562,11750.724616862324
000d7d20_1563,11750.715886972164
000d7d20_1564,11750.706838263468
000d7d20_1565,11750.693800376264
000d7d20_1566,11750.685063619729
000d7d20_1567,11750.671008551377
000d7d20_1568,11750.663002300207
000d7d20_1569,11750.654454755348
000d7d20_1570,11750.640189721962
000d7d20_1571,11750.631806424768
000d7d20_1572,11750.617311291404
000d7d20_1573,11750.607388103908
000d7d20_1574,11750.593718746934
000d7d20_1575,11750.584529489104
000d7d20_1576,11750.569509024806
000d7d20_1577,11750.56035975006
000d7d20_1578,11750.54483825144
000d7d20_1579,11750.534124647682
000d7d20_1580,11750.519742106511
000d7d20_1581,11750.50976802732
000d7d20_1582,11750.495436792748
000d7d20_1583,11750.485434852551
000d7d20_1584,11750.470679949847
000d7d20_1585,11750.462017050331
000d7d20_1586,11750.447326107547
000d7d20_1587,11750.433045630723
000d7d20_1588,11750.425053688628
000d7d20_1589,11750.410841580622
000d7d20_1590,11750.402255716646
000d7d20_1591,11750.390015394129
000d7d20_1592,11750.37725837528
000d7d20_1593,11750.37050561345
000d7d20_1594,11750.359099289652
000d7d20_1595,11750.347543965054
000d7d20_1596,11750.341765647594
000d7d20_1597,11750.331945370284
000d7d20_1598,11750.32110539226
000d7d20_1599,11750.315369813745
000d7d20_1600,11750.304658494708
000d7d20_1601,11750.292704685427
000d7d20_1602,11750.28596093717
000d7d20_1603,11750.275224431743
000d7d20_1604,11750.263556996408
000d7d20_1605,11750.256638783212
000d7d20_1606,11750.245400446118
000d7d20_1607,11750.232337507896
000d7d20_1608,11750.224240155752
000d7d20_1609,11750.211220610105
000d7d20_1610,11750.20249735931
000d7d20_1611,11750.18826133266
000d7d20_1612,11750.17475073728
000d7d20_1613,11750.165165094044
000d7d20_1614,11750.150454914194
000d7d20_1615,11750.135684595713
000d7d20_1616,11750.124761125127
000d7d20_1617,11750.109045944931
000d7d20_1618,11750.098840642397
000d7d20_1619,11750.082550310832
000d7d20_1620,11750.066194282355
000d7d20_1621,11750.055056708485
000d7d20_1622,11750.03691605683
000d7d20_1623,11750.018283414298
000d7d20_1624,11750.004099277732
000d7d20_1625,11749.984217043864
000d7d20_1626,11749.968292047246
000d7d20_1627,11749.947077066969
000d7d20_1628,11749.926497256602
000d7d20_1629,11749.909915556796
000d7d20_1630,11749.887839552972
000d7d20_1631,11749.868194031362
000d7d20_1632,11749.843572803771
000d7d20_1633,11749.818661812042
000d7d20_1634,11749.800766007616
000d7d20_1635,11749.776987869674
000d7d20_1636,11749.758953441577
000d7d20_1637,11749.736972125402
000d7d20_1638,11749.716802502666
000d7d20_1639,11749.70035044046
000d7d20_1640,11749.679169757854
000d7d20_1641,11749.661900961357
000d7d20_1642,11749.640443787128
000d7d20_1643,11749.623076450096
000d7d20_1644,11749.600813576308
000d7d20_1645,11749.578585390464
000d7d20_1646,11749.562949243558
000d7d20_1647,11749.540510960143
000d7d20_1648,11749.5239375784
000d7d20_1649,11749.5023508034
000d7d20_1650,11749.487423954128
000d7d20_1651,11749.46619570645
000d7d20_1652,11749.450035200814
000d7d20_1653,11749.428029953067
000d7d20_1654,11749.407477138582
000d7d20_1655,11749.389773041388
000d7d20_1656,11749.368441238028
000d7d20_1657,11749.35162388294
000d7d20_1658,11749.331783350171
000d7d20_1659,11749.315796697856
000d7d20_1660,11749.294230995072
000d7d20_1661,11749.278384067144
000d7d20_1662,11749.258494441749
000d7d20_1663,11749.236332925702
000d7d20_1664,11749.219946660976
000d7d20_1665,11749.198327046874
000d7d20_1666,11749.183115945089
000d7d20_1667,11749.1624489457
000d7d20_1668,11749.147552912813
000d7d20_1669,11749.12660582138
000d7d20_1670,11749.112288858454
000d7d20_1671,11749.092483087388
000d7d20_1672,11749.0781254085
000d7d20_1673,11749.05935862707
000d7d20_1674,11749.04691364604
000d7d20_1675,11749.027851938516
000d7d20_1676,11749.014557178356
000d7d20_1677,11748.996365925726
000d7d20_1678,11748.985022386589
000d7d20_1679,11748.967395777316
000d7d20_1680,11748.95512646441
000d7d20_1681,11748.937416163302
000d7d20_1682,11748.92571230431
000d7d20_1683,11748.90772445339
000d7d20_1684,11748.894528337443
000d7d20_1685,11748.875154691268
000d7d20_1686,11748.863259950733
000d7d20_1687,11748.84578968252
