feature,family,current_test_generated,fold_safe,hidden_safe,status,dependency,evidence,action
sig_std,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
sig_mean_d,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtFw_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF50_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bww_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw50_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_early_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_mid_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtFw_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF50_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bww_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw50_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_early_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_mid_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtFw_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF50_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bww_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw50_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_early_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_mid_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtFw_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF50_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bww_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw50_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_early_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_mid_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtFw_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF50_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bww_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
