episode_id,well,start_row_idx,end_row_idx_exclusive,start_suffix_offset,rows,suffix_rows,audit_start_row_idx,audit_start_suffix_offset,start_suffix_fraction,episode_suffix_fraction,rows_from_last_within5_to_episode_start,rows_from_episode_end_to_next_within5,pre128_error_slope_ft_per_row,pre128_error_start_ft,pre128_error_end_ft,mean_error_ft,rmse_ft,error_std_ft,error_slope_ft_per_row,error_sign_consistency,max_abs_error_ft,episode_sse,last_known_tvt,last_known_md,episode_start_md_since,episode_end_md_since,shard_index
00bbac68:000,00bbac68,5515,7495,3970,1980,6014,5387,3842,0.6601263717991354,0.32923179248420353,960,,0.010255797881605074,8.548828125,9.966796875,25.738982599431818,27.080063289891488,8.41632951652172,-0.002465603764481742,1.0,37.6220703125,1451993.0590133667,12223.54,13122.0,3971.0,5950.0,3
00e12e8b:000,00e12e8b,2414,2716,331,302,4301,2286,203,0.07695884677981865,0.07021622878400371,72,139.0,-0.1023432967907735,2.6923828125,-9.984375,-12.556931653559603,12.647645722394367,1.512087883369691,-0.0048300961549877135,1.0,15.3984375,48308.80858039856,11604.82,12538.0,332.0,633.0,1
00e12e8b:001,00e12e8b,3880,4507,1797,627,4301,3752,1669,0.4178098116717043,0.14578005115089515,83,,0.09695846705706515,-0.2490234375,9.9990234375,17.03945655153509,17.60037150237902,4.407947078868286,0.00014572737394587335,1.0,23.37109375,194227.7192926407,11604.82,12538.0,1798.0,2424.0,1
00e12e8b:002,00e12e8b,5162,5881,3079,719,4301,5034,2951,0.7158800279004882,0.16717042548244596,1365,,-0.0009250162372962827,8.7021484375,9.94921875,14.680814825278164,14.804839648441229,1.9123161563795592,-0.0029588982217783355,1.0,17.0244140625,157592.7761745453,11604.82,12538.0,3080.0,3798.0,1
00e12e8b:003,00e12e8b,6214,6384,4131,170,4301,6086,4003,0.9604743083003953,0.039525691699604744,2417,,0.010857590998600874,7.7275390625,9.984375,13.642491957720589,13.75602954035666,1.7637352121829837,0.034774924232188975,1.0,16.076171875,32168.819281578064,11604.82,12538.0,4132.0,4301.0,1
015fe0d2:000,015fe0d2,5404,5704,3750,300,4296,5276,3622,0.8729050279329609,0.06983240223463687,360,,0.019203869201961925,6.5595703125,9.970703125,13.012571614583333,13.170688513386319,2.0347029001764416,-0.0176677553361704,1.0,16.9052734375,52040.1107749939,12233.78,13487.0,3751.0,4050.0,1
01869cd4:000,01869cd4,3665,6850,2372,3185,5557,3537,2244,0.4268490192549937,0.5731509807450063,183,,0.03294613133898325,6.736328125,9.9755859375,21.21308532427394,21.673105377982207,4.441678483433363,0.0019179079793288259,1.0,32.029296875,1496069.3370695114,11745.94,12548.0,2373.0,5557.0,0
01982c1d:000,01982c1d,3710,4020,2064,310,3941,3582,1936,0.5237249429078914,0.0786602385181426,980,411.0,-0.0032583396309484296,-9.6806640625,-9.9521484375,-11.001521547379033,11.021468156864781,0.6627850144196147,-0.002224667009538047,1.0,12.05859375,37656.55570316315,10694.08,11666.0,2065.0,2374.0,1
01982c1d:001,01982c1d,4287,4427,2641,140,3941,4159,2513,0.6701344836335955,0.035523978685612786,1557,4.0,-0.015327111331343847,-7.798828125,-9.9736328125,-12.026918247767858,12.113340227638378,1.4443853128686737,-0.03173882792512191,1.0,16.888671875,20542.621605873108,10694.08,11666.0,2642.0,2781.0,1
028d7b28:000,028d7b28,2897,3977,1370,1080,6234,2769,1242,0.2197625922361245,0.17324350336862368,426,,0.019661758610058828,7.6669921875,9.98828125,15.183326099537037,15.338504814790197,2.1763130538733253,0.003411900384157184,1.0,19.162109375,254091.30834960938,12427.92,13423.0,1371.0,2450.0,0
028d7b28:001,028d7b28,5005,7761,3478,2756,6234,4877,3350,0.5579082451074752,0.4420917548925249,2534,,0.015323682923693292,7.517578125,9.9853515625,23.78070537860577,25.002135426081416,7.71912090591059,-0.004767111220968769,1.0,35.775390625,1722794.2742815018,12427.92,13423.0,3479.0,6234.0,0
02e7fe5a:000,02e7fe5a,6531,6822,4751,291,5108,6403,4623,0.9301096319498825,0.05696945967110415,623,,-0.022350203006439126,-8.3046875,-9.9892578125,-13.706725864475946,13.861120457320732,2.063086621657331,-0.011141101551504998,1.0,16.890625,55910.02215671539,12178.98,13254.0,4752.0,5042.0,3
03a935ae:000,03a935ae,3571,4128,1927,557,2786,3443,1799,0.6916726489590811,0.19992821249102657,161,,0.021432314615855614,6.541015625,9.9814453125,11.35017216954668,11.365775346224787,0.5953494289064261,-0.001617155711132142,1.0,12.22265625,71953.7330160141,12792.17,13951.0,1928.0,2484.0,2
0498acab:000,0498acab,5608,5751,3974,143,4798,5480,3846,0.8282617757398916,0.02980408503543143,300,23.0,-0.030976677394965436,-5.544921875,-9.99609375,-11.713751092657343,11.733014519093365,0.6720602982802903,-0.004756934879417824,1.0,12.466796875,19685.899047851562,11400.71,12543.0,3975.0,4117.0,2
059c8f24:000,059c8f24,7675,7998,5935,323,6258,7547,5807,0.9483860658357303,0.05161393416426974,62,,-0.10904127091982495,0.8984375,-10.0,-16.586596604102166,16.734638913883046,2.221025139622493,-0.020012969740639073,1.0,18.7265625,90455.54908370972,10300.07,11570.0,5936.0,6258.0,0
05a0ee4d:000,05a0ee4d,4785,5568,3035,783,4348,4657,2907,0.6980220791168353,0.18008279668813248,93,85.0,0.05352422759288878,2.3603515625,9.9541015625,18.74745944085249,19.565332539695913,5.597767582034332,-0.003768109416313066,1.0,27.892578125,299734.1518754959,11927.5,12719.0,3036.0,3818.0,1
