well,episodes,episode_rows,suffix_rows,episode_sse,suffix_rmse_ft,suffix_max_abs_error_ft,last_known_tvt,last_known_md,shard_index
00bbac68,1,1980,6014,1451993.0590133667,15.947084457029842,37.6220703125,12223.54,13122.0,3
00e12e8b,4,1818,4301,432298.1233291626,10.979768349060992,23.37109375,11604.82,12538.0,1
015fe0d2,1,300,4296,52040.1107749939,5.424089205495237,16.9052734375,12233.78,13487.0,1
01869cd4,1,3185,5557,1496069.3370695114,16.49330906056564,32.029296875,11745.94,12548.0,0
01982c1d,2,450,3941,58199.177309036255,6.833402755504468,16.888671875,10694.08,11666.0,1
028d7b28,2,3836,6234,1976885.5826311111,18.24647650103712,35.775390625,12427.92,13423.0,0
02e7fe5a,1,291,5108,55910.02215671539,5.384771434770674,16.890625,12178.98,13254.0,3
03a935ae,1,557,2786,71953.7330160141,6.244181004943039,12.22265625,12792.17,13951.0,2
0498acab,1,143,4798,19685.899047851562,4.08937297628671,12.466796875,11400.71,12543.0,2
059c8f24,1,323,6258,90455.54908370972,4.805691963449996,18.7265625,10300.07,11570.0,0
05a0ee4d,1,783,4348,299734.1518754959,8.99617891445915,27.892578125,11927.5,12719.0,1
0849b4e2,1,818,5537,167082.63965034485,7.300992006290169,20.98046875,11944.08,12980.0,0
08fecf00,4,1389,5574,217612.99763584137,8.746870799723851,15.7919921875,12148.1,12984.0,3
09053135,2,1292,5907,216819.93425273895,7.5921258436019325,16.509765625,11461.63,12789.0,0
09ec2ca9,1,2229,5885,458038.9983406067,9.882286959698979,16.66796875,11053.11,12408.0,3
0a57a29c,1,3211,5821,1103799.8333015442,14.364241971359403,27.0400390625,11195.4,12084.0,1
0c1b160c,2,2944,5054,1050861.686457634,14.750255514201767,30.689453125,11159.32,12101.0,0
0d99f8e4,1,323,5823,55002.529485702515,4.29686589261845,15.3115234375,11199.34,12132.0,3
0dc5e64d,2,2541,4879,880442.8696117401,13.716770670704339,35.326171875,10861.64,12103.0,2
0dc835f3,1,418,4428,73536.76678180695,6.604989542325193,15.6357421875,10687.83,11508.0,2
0e5e560d,1,427,3253,144547.23125362396,7.602280903948473,20.984375,11012.59,12207.0,3
109d9d70,1,2597,4215,1142436.7188339233,16.790432291794264,31.0068359375,12228.18,13641.0,0
10a1281a,5,2316,5609,425228.46973228455,10.034574077248376,19.1455078125,11257.52,12340.0,1
113011eb,1,1854,3272,2715852.2620544434,28.8866301983018,50.3037109375,12534.83,13382.0,2
11d0f5ac,1,3619,4883,2894223.70035553,24.438100412334972,35.8603515625,10917.26,11931.0,1
12203f2a,1,218,3261,46716.34544944763,6.1302997143283875,15.92578125,12031.41,12853.0,0
122bd617,1,2132,4570,1282195.618279457,16.932644390880554,33.4873046875,10813.01,11784.0,1
125be846,4,3839,6510,839695.6764917374,12.131954773960878,18.9169921875,11459.09,12226.0,1
1285a37b,2,332,5597,39923.819140434265,5.258937926463583,11.533203125,12755.8,13811.0,0
1295a25b,3,2424,5551,1291577.5337934494,15.691648976088167,36.1533203125,11752.77,12547.0,3
