well,role,fold,matched_persistent_well,prefix_rows,suffix_rows,suffix_raw_gr_missing_fraction,suffix_row_count_quartile,raw_gr_missing_quartile,prefix_row_count_quartile,quartile_match_distance,selection_hash
9a8ae0d6,control,0,56b00794,1541,6294,0.5111217032094058,3,3,0,1,1310a2cda02215d0d376a787a5952eb5c2b3a2f60e679ae0e87b6252d663b969
e6c55748,control,0,e32da4ec,1487,4472,0.13416815742397137,1,1,0,1,2593526cc3a80c3fad5c5a9bdc411e17385cf17fb8982057adbac0f85393aa55
72dd8501,control,0,c70c0e01,1735,5193,0.5470826112073945,2,3,2,1,328a8ae78aaf5a35a54df23e6a7af09e1fc86d3a2b4abc32b3250b2a172dd1a9
c03d4aed,control,0,cf50c9d1,1734,4641,0.18444300797241975,1,1,2,1,4dac2e897a83b32de5e7204444a549243bed77cdae7fc47c3ea6dae6e99980e2
cf50c9d1,persistent,0,cf50c9d1,1776,4858,0.161177439275422,2,1,2,0,010de258bffd337335657c52ad21047c036998792ade4a8cee1f24e48e00237a
e32da4ec,persistent,0,e32da4ec,1459,4689,0.34250373213904883,1,2,0,0,020c1e7572737e58a4f7b733f814415e1601d1f7da7cd000fc8ef15e0c8f7cc3
c70c0e01,persistent,0,c70c0e01,1745,4312,0.7003710575139147,1,3,2,0,086496721e483e85dfdedd3d5d72828fed5b00d06e9f231a340aa329459ff562
56b00794,persistent,0,56b00794,1228,6065,0.4314921681780709,3,2,0,0,0aff70aff8d5dcc64cbbe480facc191791fe736fbc97859cb9c323d664b976f5
98bc6f66,control,1,4cecf7b3,1657,6063,0.42734619825169057,3,2,1,0,014e0319c12cecd0f0e93c427478473f34a226ec49e4a6754423361488783478
4630ab92,control,1,656a067b,1934,3373,0.27334716869255854,0,1,3,0,1269aec1e6a8cbf595f649240e422ec3a0b066d526d6faaa9a7351e3375fb90e
be35c8f2,control,1,91db7070,1672,4226,0.375769048745859,1,2,1,0,4b87313236cfb704f51762dcbe1b0629ce449b9c60c7450a4212a99ea5ca2dcb
91db7070,persistent,1,91db7070,1573,4073,0.3336606923643506,1,2,1,0,0237ce71e6b505361f65635b407e8e960ea67536136209c1eaa641040088cc9b
4cecf7b3,persistent,1,4cecf7b3,1657,6019,0.48297059312178103,3,2,1,0,039b70791d6730f0e66b2720c89af9635246570afaca2771f3833f9bee56e6c7
656a067b,persistent,1,656a067b,1845,3051,0.20419534578826615,0,1,3,0,055736826f716fb47e06a0bc45ac0a8c0246007a257c1d37872f56ff33e2b283
ea41324e,control,2,fb73b13a,1814,5025,0.3434825870646766,2,2,2,0,302f073788acf1e734d1d3c57f836d510b9978c07012e983a793291ffde24d9e
e5ff9fd2,control,2,dd64382d,1844,2354,0.5951571792693288,0,3,3,0,66c9984b834ff8930de81c74be8b939fbf314aafb127d4ec944821fd519f4e65
d6dd7330,control,2,f72b268f,1467,6193,0.06830292265461005,3,0,0,0,8f49a30e496ce73040111b2388e65fa34cc63d05272d428239000207e9b95118
dd64382d,persistent,2,dd64382d,1934,3124,0.6264404609475032,0,3,3,0,07eeee59fe958398a8360b7c9043989dbb0bb9b5bdad356d668dac6b680b62b4
fb73b13a,persistent,2,fb73b13a,1825,5640,0.4015957446808511,2,2,2,0,08a330806d669c48c32bd6fae4d762a8653f86364aca54df6e879103ea5443f9
f72b268f,persistent,2,f72b268f,1514,6404,0.046845721424109935,3,0,0,0,0d378eaf77a1508c699fefb08eab0ac64b944f3d4a9ab01fd4b624a072c5c365
dd168de0,control,3,1285a37b,1791,3304,0.0847457627118644,0,0,2,2,096b90f686a87c975ec1136b934dffc9c25a57d574c0a6f436dbe4611e792d8f
060ab2b8,control,3,516088b7,1560,6258,0.5749440715883669,3,3,1,0,27564f37b993bcb1aeee0336bd654b72b75330650948cfea61913a8a3400b509
4654e7de,control,3,b1efb8a4,1637,5373,0.05025125628140704,2,0,1,1,9382a08504a520b9327a730041545e3105461d5703e9d4f0166d6c58402e221e
516088b7,persistent,3,516088b7,1655,6645,0.5921745673438675,3,3,1,0,0224cc71514d1ed4b6539035cc67c7fb53116b9051e387ff0a89f943a1df2210
b1efb8a4,persistent,3,b1efb8a4,1564,5998,0.051683894631543846,3,0,1,0,090cf8d93f65ef09f11646fd3a4baf978faf020fc949f62c0285391c4a278281
1285a37b,persistent,3,1285a37b,1806,5597,0.0418081114882973,2,0,2,0,0b900c2fa9ae0fbb9d8a1c4106042ea97e29d39cd2d50edc5ee06896607e8a43
660d9546,control,4,65a5466a,1408,4732,0.2081572273879966,1,1,0,0,214868d75a77c79ecb40690e13311cbb3f47e2ecc579dcea89d8c62dd4713cfb
8ac2f237,control,4,7e208414,1456,5319,0.04230118443316413,2,0,0,1,82be00d199de12be9d3a2d3a6c763d1f5cecc66180981d01cf0bb46d0d34e3f4
d5df0ff5,control,4,5cb483ac,1458,4032,0.03521825396825397,0,0,0,0,b22d0529dab114e01eaf205de39a1f91840769e7e783a41dd31f739b2bc19c1d
65a5466a,persistent,4,65a5466a,1434,4683,0.2746102925475123,1,1,0,0,005a919a35491764f2838d15f05018bf11e512a81d89b4c2c8cc6887e80588d0
7e208414,persistent,4,7e208414,1506,4226,0.09252247988641742,1,0,0,0,03bd7797a4bc36244c653a201ed4b29c7368700b9224e04605a25dd22fd9c64c
5cb483ac,persistent,4,5cb483ac,1354,3852,0.11941848390446522,0,0,0,0,0439cd9a8331cf0607d32bd8f33349286edcb67821b10d212905efb612ed699b
