well,role,cause,fold,matched_cause_well,matched_cause_role,prefix_rows,suffix_rows,suffix_raw_gr_missing_fraction,suffix_row_count_quartile,raw_gr_missing_quartile,prefix_row_count_quartile,quartile_match_distance,selection_hash
fae0c593,backward_cause,backward_smoothing_reversal,0,fae0c593,backward_cause,1744,4403,0.03202362025891438,1,0,2,0,020fff4b8ad996ffbc989644d4ab08ae9b54f7011f33863843ef951dc9e8cf93
8a9c8932,control,,0,fae0c593,backward_cause,1681,4663,0.04524983915933948,1,0,1,1,061bd99af915de11a518fc73367b998c10dd92c4d7e3f13717338ec3f2000f84
5a1a8fd8,control,,0,14fee784,forward_cause,1554,5260,0.5304182509505704,2,3,1,1,0ef60a50eaf6b03d7f83e2d71ab19d2f1719d6a317d966779404be41d92899e3
2e43c2ea,control,,0,15e154a1,forward_cause,1651,5698,0.3508248508248508,3,2,1,0,1b56ddeba71457f9ef73ce803e75d98c548bceee1e1c7fce4b6125a61a0a6f72
a959858c,control,,0,aed44918,forward_cause,1366,4404,0.6139872842870118,1,3,0,1,4c0839c5c873969680d859cc538aa81919f4f7623ada3c2663d6ae72b5f72d6b
aed44918,forward_cause,forward_transition_prior_hysteresis,0,aed44918,forward_cause,1301,2719,0.7006252298639205,0,3,0,0,007883ab4fbfc5dbc5743caae2786df4bc792469e1314ae80079bdd7073ad413
15e154a1,forward_cause,forward_transition_prior_hysteresis,0,15e154a1,forward_cause,1631,6068,0.48599208965062624,3,2,1,0,00a5a54155923feaafb8694cf72c2878447d2495526b3083922690fb02842228
14fee784,forward_cause,forward_transition_prior_hysteresis,0,14fee784,forward_cause,1496,4910,0.6004073319755601,2,3,0,0,022375d6e79e5c5d659bc62bd637f94c51cc7c7b0d46590b349071dd07568ee2
d6c320d9,backward_cause,backward_smoothing_reversal,1,d6c320d9,backward_cause,1494,5452,0.036867204695524576,2,0,0,0,0ed4d1b8c12fdfcd56c2753a8a2bd388283bff4237ccfbd8b42ff56ecd7211f8
729665c0,backward_cause,backward_smoothing_reversal,1,729665c0,backward_cause,1512,4263,0.555008210180624,1,3,0,0,115a94fc36c081774a32fcf4a2227699b9d41651f36de7a9df3f2e20e8877d1b
368fe682,control,,1,d6c320d9,backward_cause,1480,4936,0.03606158833063209,2,0,0,0,0282387013f26856908548be0d2925f80acc1c8d6f549bd2ebec27d0cc10f776
d50c649a,control,,1,da3bfe4e,forward_cause,1675,4873,0.33182844243792325,2,2,1,1,1a2398d4e9a76a204e3111418ded5436d8c0d2d8f0159cce59137d259c0f01e4
16e4a047,control,,1,729665c0,backward_cause,1553,4131,0.5727426773178407,1,3,1,1,a730f48acbe710431d19285df2c8cc188d1dc2a2cd7168bb63bace4dd460ebe8
da3bfe4e,forward_cause,forward_transition_prior_hysteresis,1,da3bfe4e,forward_cause,1558,5549,0.5846098396107406,2,3,1,0,0579b3f8db57d4ea31026ac88e8b4c2d0c57c239b3667f92db4e942d573a56b6
