well_id,selection_sha256,total_rows,suffix_rows
2e29e833,00312fdfdc94bd3ccad45c5b79e6dd470f6d235a21b564e4ca7cd54a16258d12,7254,5428
b3388334,003224c682e4ee99a297aa81ee7f33143b7917fbe19afde5f9a624beb8b0d855,7807,6080
69e41fa6,00620768b3e3cdd5ebb606511fd10b32d40bf08a553a90ca27d6935c2d887a5d,7167,5772
8cc21f01,00e35625b03c296fde105fa41e4489fac45b0e32896b529234bd00e2c243a79c,5806,4044
3ac16ad0,015791bad2609d433ba8654fdc7c664bd97aabd6c3c0037024f245e532108a56,7412,5649
8bb9c1e6,01632800196ab3265f74d7f9750e12ac6bd8c93becd1d6516089621337bb5c86,6382,4546
86454a6f,019e7b4bb2e1f045f6c363c2166bdf173490a6c2026e7d2abf95a12ced43482a,9100,7964
c1708b88,0267157b68befac2a2877453a19412f0db20812f9fe874339e6712341b40eba9,7960,6315
fd8f77fa,0381c2481e05b63844e472e8dd4858055d05407f992c22f7b7f2cfa3e006b0c6,6756,5272
43b06c70,0408381b67931094e712f0ec55cbb45fe6d99dde26baeb2a9f740182af44df68,6590,4846
974802e7,044074d596e8e901c8b44b4e7c58e55ecf91d6cb00a007497774b2f3da6bb4ea,7537,5843
940e709a,045a77cc5c440ab2f2552a93227dd604dc25249a4ff4245919421142319988c1,4989,3348
c99f9fae,04633bd7b2f67e7e2f1c7f9a937883e3f8b9fc111f584ed0dee36044164452a8,8394,6361
ebe69318,047c896836acfbc0ebd4f1e8b302b9d30b408779fb2e8b53f9fe7be6c1ac6232,6718,4976
353e5502,0513988156e75df76105d1b2ee1a7629d74feadf33b5212c760d03dae23ff8e0,7901,6062
78a4a386,051d1fcd5a4f852b058c54c02bf49ad39633da10dfbf6476912914f73c99e5e5,6246,5119
26623a50,05732967c24afd14103ebb3cb8ee23b18502fd5c6eae9d8945259d54889119d2,7479,5735
367456ce,059e196877ecb6388388c7de798129dd6bba89c37f9ecd5a306bfd9231f82538,7312,5569
593876b6,05d384492d6a9d3651f0edf9c44783e349dd53c6f1cd00d54d75fcbd0774651e,6366,4842
77b0d905,06a0e7729ea5a4ed4d9fe51fbaa53dc40341bafc03a8deb3f0930bfcd7cea3c9,5923,4174
084d66f9,06af122d2a011da18928231235834214d6d5a76cd35937e1ef423eec81fc88ab,5632,3885
3c3dbcbc,06b268ca11afd2d5b65c078c852fd15ce66b96d8059df0d83d09ac62f55ffcd4,6911,5069
1bcb2fcf,06e8fcdd25986230f4e18adc7a8bc0da9082118de20a2e690258acfa49745ed9,6202,4524
0c1b160c,07be2693183d5b34b825010a938dadfe672ebd4ff3bca1c21288fb5eeb236bb3,6714,5054
1b6ba517,0825c49d613899ab904dece7dd6bcf8ae2677bc94a03c935c9cff66e03e5e816,8611,6597
f16e25e3,085e8b4ef3160e6ba0dd301f3a79ae9ccb0314f693ed4fb8187db0f5bdf15b83,6585,4651
81bf5923,087153caf049bc7f31cc01553d76796395d6b376faf1e53c3e306044670a5fd1,6386,4543
201661b5,089428bb39aa33821f9e036912d14553244792553e986b61384019d1f447c955,8136,5955
4936af16,08c1f44e2a1e7524a2fa79c3f307821cf634c6c7e6fdf1f63500837aca92bd36,5559,3991
c6797dd7,099c6a770ecef3b33254a76b053c1ed406ba78bcd8ddc8b0777db250cf81eb08,6281,4664
9719aa04,09e64685225093f6b4d7d5f2d43f6467be44c322dca53352d45763074e5c11ee,6665,4871
12203f2a,0abf53ce4e79fb3d208432c9d0fed4ffd9da1a46ca6d553f90395225c0a2a335,4991,3261
