prediction,kind,fold,rows,rmse
likpf_mean,single,0,757738,11.794104719476893
likpf_mean,single,1,756650,11.328918855910082
likpf_mean,single,2,756255,10.852416649089086
likpf_mean,single,3,757101,11.514514099429388
likpf_mean,single,4,756245,12.425794116779846
exact_hmm,single,0,757738,11.228067685311775
exact_hmm,single,1,756650,11.884525033213377
exact_hmm,single,2,756255,12.598949827518082
exact_hmm,single,3,757101,10.691483330157297
exact_hmm,single,4,756245,13.127285746338478
hmm_lgb_exp148,single,0,757738,8.931941062704999
hmm_lgb_exp148,single,1,756650,8.45272323501847
hmm_lgb_exp148,single,2,756255,7.220173400540158
hmm_lgb_exp148,single,3,757101,8.037531725238692
hmm_lgb_exp148,single,4,756245,8.875712904696963
exp226_k16,single,0,757738,9.154079641715171
exp226_k16,single,1,756650,10.244761745705086
exp226_k16,single,2,756255,8.513830004210707
exp226_k16,single,3,757101,10.114274256837643
exp226_k16,single,4,756245,8.989006648835508
selfgr_hmm_a070,single,0,757738,11.053405776143952
selfgr_hmm_a070,single,1,756650,11.797192861811263
selfgr_hmm_a070,single,2,756255,12.171638177143203
selfgr_hmm_a070,single,3,757101,10.218633039471182
selfgr_hmm_a070,single,4,756245,11.411405552250267
hmm_exp218_shrink_a050,single,0,757738,8.946438121878842
hmm_exp218_shrink_a050,single,1,756650,8.489475413781292
hmm_exp218_shrink_a050,single,2,756255,7.317320388361661
hmm_exp218_shrink_a050,single,3,757101,8.02142277147498
hmm_exp218_shrink_a050,single,4,756245,8.80359145230299
hmm_exp218_residual_scale,single,0,757738,9.024971484748063
hmm_exp218_residual_scale,single,1,756650,8.572274912939204
hmm_exp218_residual_scale,single,2,756255,7.472628659197213
hmm_exp218_residual_scale,single,3,757101,8.094423583601513
hmm_exp218_residual_scale,single,4,756245,8.875855957786566
hmm_peer_atlas,single,0,757738,11.18912573493094
hmm_peer_atlas,single,1,756650,11.549629437233879
hmm_peer_atlas,single,2,756255,12.212632877443317
hmm_peer_atlas,single,3,757101,10.187769389880286
hmm_peer_atlas,single,4,756245,12.563417433185036
exp192_likpf,single,0,757738,11.657306585633968
exp192_likpf,single,1,756650,11.72142791006241
exp192_likpf,single,2,756255,11.402157920847053
exp192_likpf,single,3,757101,11.631659278890947
exp192_likpf,single,4,756245,11.305503532334074
exp237_row_selector,single,0,757738,8.212340821451614
exp237_row_selector,single,1,756650,9.48007160924552
exp237_row_selector,single,2,756255,8.10442180289056
exp237_row_selector,single,3,757101,8.515141029506397
exp237_row_selector,single,4,756245,8.342881282605966
exp193_lgb_mean,single,0,757738,9.015426466028005
exp193_lgb_mean,single,1,756650,8.60548020018423
exp193_lgb_mean,single,2,756255,7.382890577836029
exp193_lgb_mean,single,3,757101,8.18278885845106
exp193_lgb_mean,single,4,756245,8.986845421129313
exp251_probability_row,single,0,757738,8.196698226713181
exp251_probability_row,single,1,756650,9.377721109071194
exp251_probability_row,single,2,756255,7.850586099229861
exp251_probability_row,single,3,757101,8.625360109711577
exp251_probability_row,single,4,756245,8.26803221402418
exp238_addonly,single,0,757738,8.141438550998503
exp238_addonly,single,1,756650,8.74766973431301
exp238_addonly,single,2,756255,7.173429999805425
exp238_addonly,single,3,757101,7.7339968325113
exp238_addonly,single,4,756245,7.801775009534298
exp255_assertive,single,0,757738,8.008898634209977
exp255_assertive,single,1,756650,8.686850833125181
exp255_assertive,single,2,756255,7.1134640632105475
exp255_assertive,single,3,757101,7.7832200532309095
exp255_assertive,single,4,756245,7.714951731128236
fixed_likpf_exact_50_50,fixed_equal_path,0,757738,10.161543751064864
fixed_likpf_exact_50_50,fixed_equal_path,1,756650,10.109890177835606
fixed_likpf_exact_50_50,fixed_equal_path,2,756255,10.428403069946299
fixed_likpf_exact_50_50,fixed_equal_path,3,757101,9.853104696799347
fixed_likpf_exact_50_50,fixed_equal_path,4,756245,10.772499474524627
fixed_hmmlgb_exp226_50_50,fixed_equal_path,0,757738,8.081726782928897
fixed_hmmlgb_exp226_50_50,fixed_equal_path,1,756650,8.702995611021217
fixed_hmmlgb_exp226_50_50,fixed_equal_path,2,756255,7.085502693321229
fixed_hmmlgb_exp226_50_50,fixed_equal_path,3,757101,8.1859015559557
fixed_hmmlgb_exp226_50_50,fixed_equal_path,4,756245,7.8912038549535914
fixed_exp226_selfgr_50_50,fixed_equal_path,0,757738,8.56183596743511
fixed_exp226_selfgr_50_50,fixed_equal_path,1,756650,9.166320667718967
fixed_exp226_selfgr_50_50,fixed_equal_path,2,756255,8.366991254526521
fixed_exp226_selfgr_50_50,fixed_equal_path,3,757101,8.10419494179861
fixed_exp226_selfgr_50_50,fixed_equal_path,4,756245,8.427708104525298
fixed_exp226_w500_50_50,fixed_equal_derived_path,0,757738,8.191666965703385
fixed_exp226_w500_50_50,fixed_equal_derived_path,1,756650,8.486255340256877
fixed_exp226_w500_50_50,fixed_equal_derived_path,2,756255,7.859005566324662
fixed_exp226_w500_50_50,fixed_equal_derived_path,3,757101,8.357929870664018
fixed_exp226_w500_50_50,fixed_equal_derived_path,4,756245,8.283040284723956
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,0,757738,8.141724828959036
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,1,756650,8.379402019037759
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,2,756255,7.408612921996164
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,3,757101,7.539410646209812
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,4,756245,7.667832239751927
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,0,757738,8.028127657236187
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,1,756650,7.999287099679131
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,2,756255,7.463094813059177
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,3,757101,7.675788892763743
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,4,756245,8.009541085992522
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,0,757738,7.968313046599699
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,1,756650,7.906134108893976
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,2,756255,7.013733775472839
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,3,757101,7.580316948482202
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,4,756245,7.734380003027702
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,0,757738,8.05232044025616
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,1,756650,7.83767281509443
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,2,756255,7.163030336723458
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,3,757101,7.547265998445347
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,4,756245,7.815223503190765
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,0,757738,8.05130611312064
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,1,756650,7.847710073680812
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,2,756255,7.187612699504665
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,3,757101,7.554571667510317
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,4,756245,7.834576058478308
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,0,757738,8.498643789719697
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,1,756650,8.524469175273088
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,2,756255,8.286964507122496
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,3,757101,7.838054400675953
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,4,756245,8.405999536812825
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,0,757738,8.48437879209004
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,1,756650,8.464753215588585
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,2,756255,8.278772661369395
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,3,757101,7.868606319391173
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,4,756245,8.715223042977255
crossfit_hmmlgb_exp226,crossfit_convex_path,0,757738,8.194199243220627
crossfit_hmmlgb_exp226,crossfit_convex_path,1,756650,8.50104110232258
crossfit_hmmlgb_exp226,crossfit_convex_path,2,756255,6.944107178132227
crossfit_hmmlgb_exp226,crossfit_convex_path,3,757101,7.953903918644932
crossfit_hmmlgb_exp226,crossfit_convex_path,4,756245,8.05457587502652
crossfit_hmmlgb_exp226_exact,crossfit_convex_path,0,757738,8.01446397799216
crossfit_hmmlgb_exp226_exact,crossfit_convex_path,1,756650,8.007070313335209
crossfit_hmmlgb_exp226_exact,crossfit_convex_path,2,756255,7.033885928340001
crossfit_hmmlgb_exp226_exact,crossfit_convex_path,3,757101,7.6273908496206655
crossfit_hmmlgb_exp226_exact,crossfit_convex_path,4,756245,7.750284165651325
crossfit_exp226_likpf_exact,crossfit_convex_path,0,757738,8.123023944779248
crossfit_exp226_likpf_exact,crossfit_convex_path,1,756650,8.553684154324506
crossfit_exp226_likpf_exact,crossfit_convex_path,2,756255,7.797917083545552
crossfit_exp226_likpf_exact,crossfit_convex_path,3,757101,8.430979131836168
crossfit_exp226_likpf_exact,crossfit_convex_path,4,756245,8.231610357225428
crossfit_exp226_exp192likpf_exact,crossfit_convex_path,0,757738,8.11569627314564
crossfit_exp226_exp192likpf_exact,crossfit_convex_path,1,756650,8.564565494379446
crossfit_exp226_exp192likpf_exact,crossfit_convex_path,2,756255,7.803750090386857
