prediction,kind,deploy_status,reference,overall_rmse,delta_vs_reference,folds_improved,wells_improved,wells_worsened,median_well_delta,p90_well_delta,p95_well_delta,max_well_regression,max_regression_well,max_well_improvement,max_improvement_well
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,hmm_lgb_exp148,7.648346049383338,-0.6793824428371611,5,402,371,-0.041446266401932164,2.0451933397774393,3.06413553501202,9.534005319872577,b19b0395,-18.346854201089265,86454a6f
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,hmm_lgb_exp148,7.68930280524387,-0.6384256869766292,5,397,376,-0.03966016069296474,2.367598383297433,3.4895779530362043,12.267146601871477,b19b0395,-19.170793007065825,86454a6f
crossfit_hmmlgb_exp226_exact,crossfit_convex_path,components_deployable_but_final_full_oof_weights_needed,hmm_lgb_exp148,7.695135840947035,-0.6325926512734643,5,402,371,-0.06862845548992702,2.081870216646342,2.975999348105948,9.139360172601279,c9578d27,-17.104010924966627,86454a6f
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,hmm_lgb_exp148,7.701084031761703,-0.6266444604587962,5,398,375,-0.035002010458373256,2.433776826958523,3.5192522757934284,12.217453194594025,b19b0395,-19.16367266571469,86454a6f
crossfit_exp251prob_exp255,crossfit_convex_model_output,both_outputs_guard_failed_no_inference,exp255_assertive,7.81542782679072,-0.06256240097957999,5,448,325,-0.052551287141077374,0.4491721976845524,0.7381207894736248,2.7314139772997237,e7818f7a,-3.783534396589566,81bf5923
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,hmm_lgb_exp148,7.836288269070042,-0.4914402231504571,4,379,394,0.02751059496014574,3.1074804979914203,4.589759163267781,15.755460965877322,b19b0395,-25.365700733641972,86454a6f
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,hmm_lgb_exp148,7.838521094349034,-0.48920739787146506,4,373,400,0.06941141554595553,3.3860426431087687,4.724887427346986,16.18824765395817,b19b0395,-25.365700733641972,86454a6f
fixed_hmmlgb_exp237row_50_50,fixed_equal_mixed,exp237_rawtest_parity_failed,hmm_lgb_exp148,7.838891882944008,-0.48883660927649153,4,399,374,-0.030086493258360214,1.4453080562007992,2.240565955283821,12.07461798925347,70925e23,-19.81132475104225,86454a6f
fixed_exp193_exp237row_50_50,fixed_equal_model_output,exp237_rawtest_parity_failed,exp193_lgb_mean,7.883522611467812,-0.5731428270749666,5,488,285,-0.3580289182809935,1.3211278050198658,2.15395276965507,9.749784896994363,70925e23,-19.847274612336378,86454a6f
fixed_exp251prob_exp238_50_50,fixed_equal_model_output,exp251_guard_failed_no_inference,exp238_addonly,7.886649853358732,-0.050040177511670336,2,395,378,-0.01694188503376548,1.1456003893670663,1.7655116693311212,5.709943435432843,b3388334,-8.124638969780413,86454a6f
