name,source,layer,family,rawtest_status,note,rows_finite,coverage,rmse
hmm_lgb_exp148,exp221,candidate_path,hmm_ml,rawtest_inference_exists,,3783989,1.0,8.3277284922205
hmm_exp218_shrink_a050,exp240,candidate_path,hmm_ml,closed_no_rawtest_port,,3783989,1.0,8.33685425907129
hmm_exp218_residual_scale,exp234,candidate_path,hmm_ml,rejected_no_rawtest,,3783989,1.0,8.427220066306026
exp226_k16,exp226,candidate_path,geometry,rawtest_inference_exists,,3783989,1.0,9.42710967407494
selfgr_hmm_a070,exp223,candidate_path,hmm_selfgr,rawtest_regeneration_exists,,3783989,1.0,11.349942882774709
exp192_likpf,exp192,candidate_path,pf_hard_window,train_cache_only,,3783989,1.0,11.544811567971532
selfgr_hmm_a150,exp223,candidate_path,hmm_selfgr,diagnostic_only,,3783989,1.0,11.559583960382007
hmm_peer_atlas,exp231,candidate_path,hmm_atlas,rejected_no_rawtest,,3783989,1.0,11.569941914757122
likpf_mean,exp072,candidate_path,pf,available_in_existing_rawtest_cache,exp237 base8,3783989,1.0,11.594897672217703
exact_hmm,exp209,candidate_path,hmm,rawtest_regeneration_exists,,3783989,1.0,11.938287416925935
pf_medoid_k8_m0,exp243,candidate_path,pf_medoid,candidate_only_no_rawtest,,3783989,1.0,12.499353298613801
pf_medoid_k8_m1,exp243,candidate_path,pf_medoid,candidate_only_no_rawtest,,3783989,1.0,12.852915740155874
pf_mix_e02,exp233,candidate_path,mixture_pf,rejected_no_rawtest,,3783989,1.0,13.519962656874812
pf_medoid_k8_m2,exp243,candidate_path,pf_medoid,candidate_only_no_rawtest,,3783989,1.0,13.527396469240058
pf_temp_t2,exp232,candidate_path,robust_pf,rejected_no_rawtest,,3783989,1.0,13.52988710902271
pf_temp_t4,exp232,candidate_path,robust_pf,rejected_no_rawtest,,3783989,1.0,13.532730350229121
pf_mix_e05,exp233,candidate_path,mixture_pf,rejected_no_rawtest,,3783989,1.0,13.55017306854338
exp192_pf_ancc,exp192,candidate_path,pf_hard_window,train_cache_only,,3783989,1.0,13.82116547162813
exp103_xy_likpf_scale_12,exp103,candidate_path,xy_likpf,train_candidate_only,,3783989,1.0,13.91627054554864
pf_medoid_k8_m4,exp243,candidate_path,pf_medoid,candidate_only_no_rawtest,,3783989,1.0,13.92265944517539
pf_medoid_k8_m3,exp243,candidate_path,pf_medoid,candidate_only_no_rawtest,,3783989,1.0,13.936274952538461
exp103_xy_likpf_scale_8,exp103,candidate_path,xy_likpf,train_candidate_only,,3783989,1.0,13.961015173264387
exp103_xy_likpf_scale_5,exp103,candidate_path,xy_likpf,train_candidate_only,,3783989,1.0,14.030091561584465
exp103_xy_likpf_scale_3,exp103,candidate_path,xy_likpf,train_candidate_only,,3783989,1.0,14.092583519763123
hmm_state_selfgr,exp225,candidate_path,hmm_selfgr,rejected_no_rawtest,,3783989,1.0,14.212950939176343
pf_medoid_k8_m5,exp243,candidate_path,pf_medoid,candidate_only_no_rawtest,,3783989,1.0,14.482404087953581
pf_ancc,exp072,candidate_path,pf,available_in_existing_rawtest_cache,exp237 base8,3783989,1.0,14.493050689549028
exp103_xy_likpf_mean,exp103,candidate_path,xy_likpf,train_candidate_only,,3783989,1.0,14.58055395716079
exp192_beam_mean,exp192,candidate_path,pf_hard_window,train_cache_only,,3783989,1.0,15.677016390009442
pf_medoid_k8_m6,exp243,candidate_path,pf_medoid,candidate_only_no_rawtest,,3783989,1.0,15.721455750271643
beam_mean,exp072,candidate_path,beam,available_in_existing_rawtest_cache,exp237 base8,3783989,1.0,15.77432703246548
last_anchor,exp072,candidate_path,aggregate_or_anchor,available_in_existing_rawtest_cache,exp072 cache alternative,3783989,1.0,15.909866082049096
