members,best_member_rmse,full_oof_weights_diagnostic,full_oof_rmse_diagnostic,crossfit_rmse,crossfit_delta_vs_best_member,crossfit_folds_beating_best_parent,crossfit_fold_weights
hmm_lgb_exp148|exp226_k16|exact_hmm,8.3277284922205,"[0.5114303111831354, 0.3067424865559377, 0.18182720226092683]",7.645636309054729,7.6951358409470565,-0.632592651273443,5,"[[0.5511114798177242, 0.2676359462370811, 0.18125257394519478], [0.4965356193611441, 0.34454386011370963, 0.15892052052514624], [0.48594064754602945, 0.3055353395620067, 0.20852401289196387], [0.4927538447629882, 0.3358158233197755, 0.17143033191723633], [0.5347033765898106, 0.2775705502382057, 0.18772607317198375]]"
hmm_exp218_shrink_a050|exp226_k16|exact_hmm,8.33685425907129,"[0.5104991726551372, 0.30510623299548856, 0.18439459434937427]",7.66114390686318,7.707358016864771,-0.6294962422065185,5,"[[0.5508679716182023, 0.2663183952592718, 0.18281363312252583], [0.49606132407199377, 0.34203368645016763, 0.16190498947783857], [0.4881579952935847, 0.30198620960529055, 0.20985579510112473], [0.4905517242258215, 0.334490713822193, 0.17495756195198553], [0.5293950582583902, 0.2790479307291081, 0.19155701101250183]]"
hmm_lgb_exp148|exp226_k16|hmm_peer_atlas,8.3277284922205,"[0.5162249553279395, 0.30175699716479654, 0.1820180475072639]",7.672640911623678,7.718508020317791,-0.6092204719027086,5,"[[0.5551904640148877, 0.26082386943527436, 0.183985666549838], [0.49123502368167715, 0.33804594293026125, 0.1707190333880616], [0.49257285207211565, 0.2993500548701673, 0.20807709305771713], [0.5008932419655434, 0.3345931302202245, 0.16451362781423198], [0.544845252729344, 0.27270310400466335, 0.1824516432659925]]"
hmm_lgb_exp148|exp226_k16|selfgr_hmm_a070,8.3277284922205,"[0.5084412757942243, 0.306215257601622, 0.18534346660415382]",7.6810158766663195,7.727201477153059,-0.6005270150674402,5,"[[0.5409931063407856, 0.26853076944828264, 0.19047612421093182], [0.4792438182180304, 0.33911222818096853, 0.18164395360100108], [0.4803138452077228, 0.30409743794019206, 0.21558871685208508], [0.4973638881539179, 0.33681522876473774, 0.16582088308134424], [0.5501931696222128, 0.27864761307905167, 0.1711592172987356]]"
hmm_exp218_shrink_a050|exp226_k16|hmm_peer_atlas,8.33685425907129,"[0.515224033494141, 0.29986058183844605, 0.18491538466741292]",7.687927639146787,7.729972902557617,-0.6068813565136724,5,"[[0.5549208398476851, 0.2592921708695052, 0.1857869892828098], [0.4907446349841053, 0.3351585031130426, 0.17409686190285206], [0.4947564603675765, 0.2957835276484826, 0.2094600119839409], [0.49844889540199594, 0.33295934555387996, 0.1685917590441241], [0.5393840201794255, 0.27390311658903577, 0.18671286323153866]]"
hmm_exp218_shrink_a050|exp226_k16|selfgr_hmm_a070,8.33685425907129,"[0.5070485441447602, 0.3048314504305129, 0.1881200054247269]",7.6973424732827285,7.739626841824926,-0.5972274172463639,5,"[[0.540427934866583, 0.26721441317829986, 0.1923576519551172], [0.47833689792207296, 0.3367371207287406, 0.18492598134918645], [0.48216216294428005, 0.3009168487173869, 0.21692098833833315], [0.4944549109445843, 0.3360480694880697, 0.16949701956734606], [0.5444169442071898, 0.2803026921958611, 0.17528036359694904]]"
hmm_exp218_residual_scale|exp226_k16|exact_hmm,8.427220066306026,"[0.4945758780601207, 0.3120639811092225, 0.19336014083065678]",7.719767423029018,7.767180420262744,-0.6600396460432814,5,"[[0.5358755401454722, 0.273869219622812, 0.19025524023171578], [0.4787205917751972, 0.3498691331039095, 0.17141027512089335], [0.4756366678531232, 0.305456910883505, 0.2189064212633718], [0.47328876495822825, 0.3441329458148048, 0.18257828922696687], [0.5116252387510313, 0.28539067931353596, 0.2029840819354327]]"
hmm_exp218_residual_scale|exp226_k16|hmm_peer_atlas,8.427220066306026,"[0.4990757362735603, 0.3058536718603613, 0.19507059186607845]",7.745329308407857,7.788916526746299,-0.6383035395597263,5,"[[0.5398640957948306, 0.2657810206541361, 0.19435488355103325], [0.4735034212200737, 0.34227280711087127, 0.18422377166905504], [0.48203482413145127, 0.2981140596384552, 0.21985111623009354], [0.4808039968297229, 0.34174504870373407, 0.177450954466543], [0.520965632976095, 0.2792335476915021, 0.19980081933240287]]"
hmm_exp218_residual_scale|exp226_k16|selfgr_hmm_a070,8.427220066306026,"[0.48986232197702595, 0.3105769798142678, 0.19956069820870626]",7.75201208082973,7.794503072522757,-0.6327169937832684,5,"[[0.5241501065330529, 0.27373185337246697, 0.2021180400944801], [0.46017181002794244, 0.34356522139744033, 0.1962629685746173], [0.4685473953996601, 0.3027395188919627, 0.2287130857083772], [0.4759618949195651, 0.3442633834936568, 0.17977472158677815], [0.5246212738039104, 0.2858215527964749, 0.18955717339961464]]"
hmm_lgb_exp148|exp226_k16|selfgr_hmm_a150,8.3277284922205,"[0.559136158139456, 0.3069597752545648, 0.13390406660597923]",7.797421771311436,7.845717577694331,-0.4820109145261684,5,"[[0.5939242303955508, 0.2686468932418576, 0.13742887636259166], [0.5284331852917766, 0.3397736461684167, 0.13179316853980666], [0.5418967977700846, 0.30525023936560375, 0.15285296286431158], [0.5200860316470088, 0.34103854730188415, 0.1388754210511069], [0.6196311719003846, 0.2750833654893478, 0.10528546261026754]]"
