well,rows,fold
000d7d20,3836,0
00bbac68,6014,3
00e12e8b,4301,3
015fe0d2,4296,0
01869cd4,5557,0
01982c1d,3941,3
028d7b28,6234,4
02e7fe5a,5108,4
0390d174,4411,1
03a935ae,2786,0
044af7d1,4519,1
0498acab,4798,0
052d64df,2445,1
05948241,3879,4
059c8f24,6258,1
05a0ee4d,4348,3
060ab2b8,6258,4
06df5958,3509,0
071d7b45,3211,4
0849b4e2,5537,2
084d66f9,3885,3
08fecf00,5574,2
09053135,5907,2
09441b8d,5488,2
0955cd6c,5195,3
09ec2ca9,5885,0
0a57a29c,5821,3
0bbf5e67,4298,4
0be01c24,4738,1
0c1b160c,5054,2
0d99f8e4,5823,2
0dc5e64d,4879,4
0dc835f3,4428,2
0dd99dc5,7342,4
0e5e560d,3253,4
109d9d70,4215,4
10a1281a,5609,3
10b89021,5414,0
10be2420,3271,2
113011eb,3272,4
1131525f,4159,3
11d0f5ac,4883,2
12203f2a,3261,1
122bd617,4570,4
125be846,6510,2
1285a37b,5597,4
1295a25b,5551,3
12f0cd90,5947,3
137d1e44,4554,1
13ce113d,2966,0
13f598d9,7306,2
14a53cb3,6919,1
14ab73fb,3649,4
14ad5efb,5842,3
14fee784,4910,3
153552f5,4695,4
1550491d,4563,2
155887bb,5585,3
1590af81,3799,4
15e154a1,6068,0
1619e2ca,4443,1
16e4a047,4131,3
173ed841,4883,0
1770d7c6,7240,4
177622d7,3154,3
18d24f7b,4558,2
19137a89,6267,2
1944513c,4722,2
197f8a5a,6310,4
19871e7f,5293,2
198a5607,6251,3
19fb4f7b,5620,1
1a518997,4606,1
1a68190b,4474,3
1a730ac2,4605,3
1aaf1da0,4804,1
1b08ed48,5618,0
1b1c5372,4261,2
1b1eba53,4655,0
1b6ba517,6597,3
1b82b665,3806,3
1bcb2fcf,4524,2
1beca81d,5036,0
1d3fbf02,2694,4
1d78281a,4949,2
1e30dedf,4071,2
1e5e3573,5480,3
1f9afacb,5328,2
1fdbba44,4911,4
1fee2b62,4641,4
20096916,5133,3
200d233d,3926,3
201661b5,5955,1
203721ab,5730,0
20402d71,6372,2
2043abc5,6958,2
204cc64b,4805,4
206b6193,6535,1
2075c696,3188,3
22c5f93f,5172,1
230eaaa3,4690,3
2364716c,4316,3
23b9beb0,7340,2
24d8997e,3442,2
25050f63,6124,3
25939962,4319,4
25fd32b3,2885,2
261785ee,3646,2
264feceb,5665,0
26623a50,5735,3
26d3a96a,4721,3
272abef3,4135,2
27300fd5,5467,2
276b012a,4837,1
27c3155b,4958,4
27ebb9b9,5766,3
283269ac,2626,3
28473855,4290,3
28f4eda9,5266,0
29b24409,5587,0
29de15c8,3431,4
2ab29395,1852,1
2ac7cb6b,4990,2
2acc78d4,4266,4
2b034622,5203,1
2b06ad65,4256,0
2b547943,3480,4
2be5c96a,4210,3
2bff06cf,7624,2
2c0c4a4e,4790,4
2cee0cba,5500,0
2d0c268a,4550,4
2d179ded,7008,1
2d196986,6474,4
2d2d0c6b,5045,4
2d35f86d,4896,1
2d9f6cb9,7338,1
2ddad940,5331,1
2e29e833,5428,2
2e43c2ea,5698,2
2e63d9de,4699,1
2ee0235b,5556,0
2f19d536,3088,0
2f8e53c3,2594,1
2fa01aa6,2174,4
2fd68f7b,4730,4
2fe023be,4221,1
30d75030,3404,1
310c71a5,5245,1
32fe84c9,6408,4
33c40295,4169,4
3407f5bf,3638,1
3417285d,5449,0
347242c8,3595,3
353e5502,6062,4
357c12f9,4079,2
3584a6eb,4494,0
35b30c7f,9579,3
35b3ef6a,3904,4
367456ce,5569,2
368131f9,4991,1
368fe682,4936,0
3690a146,4073,0
37344c2a,5197,2
373ef48b,3509,0
374be387,9965,2
37d36812,4367,1
38991fd4,4798,3
389ae58f,6463,3
3932faa6,5452,3
398dce4b,3166,4
39b51819,4231,0
3a0af893,2927,3
3a223519,4583,0
3a7dd95d,3072,0
3a824aa7,4201,1
3a86fe8d,5118,0
3aaa2b30,4711,4
3ac16ad0,5649,1
3b21ea64,7376,0
3bbe1f5d,6918,3
3bfee975,3603,0
3c3dbcbc,5069,0
3d96d897,5659,3
3df4b19e,4988,1
3e011332,2723,2
3e678ea7,6858,2
3ef6372a,4727,1
3ef98781,3892,0
3f603129,5051,1
404c4384,911,3
4121c517,3723,0
41fb0192,2973,0
42669188,4282,1
42c538a1,3279,1
43b06c70,4846,1
43c7f85a,5978,0
43e16325,3720,2
44441e54,4357,2
445af6c2,6041,2
4463446c,3256,3
44a94013,4903,2
45fb3e21,3649,3
460f859e,3336,3
4630ab92,3373,4
463c38f2,4460,4
4654e7de,5373,0
466fc788,6197,2
46a301e9,8226,1
46a7190b,4215,2
46d24a09,4449,1
46d41ff6,7901,0
46dfcfca,3606,3
47222616,4406,4
47ee27ab,6397,3
481de5fc,5952,0
48c1f673,2917,0
4936af16,3991,4
493b5b31,4671,2
49dbc14c,3872,0
4a035ec2,2588,3
4a335117,5015,2
4a8ecc0b,5809,1
4b462989,3106,4
4b831d20,7312,3
4c2208f5,5384,2
4c3168cf,4334,2
4c3df468,5392,4
4caa7289,5396,2
4cd1ac61,4489,2
4cecf7b3,6019,0
4ddde4c1,4472,1
4e050c92,3705,1
4ed93db6,4657,1
4f3eb9e9,4697,2
4f4ac5ce,5162,4
4f4afcc6,5645,4
4f69febf,5460,1
4fbe9c06,6287,1
504c8b08,6367,0
511e1db0,3821,1
512943b2,5029,2
5138a660,3559,3
516088b7,6645,4
521a7819,5200,4
5254b6db,3274,3
529e88ca,3417,1
52f1e77a,4442,0
5305524b,4898,4
53134831,5126,4
5397ceb1,5255,0
53f23031,8550,0
543198e8,6503,0
54753541,4026,0
54a7e3c2,6155,1
5542c301,3591,2
5567d551,6889,4
55efee7f,4801,3
5663b2b7,4972,4
5693dde2,3488,1
56b00794,6065,1
57796579,5890,4
577eec7c,4539,1
57f05c51,4771,1
58850d2c,4995,0
58fa8486,4475,0
591cc951,4609,1
593876b6,4842,0
59f8b2e8,3747,1
5a1a8fd8,5260,4
5a5269a9,6513,1
5a5d1982,3894,2
5a63b5d1,6217,1
5aa03df7,4871,1
5aa403d0,3118,1
5aef5c6c,3121,2
5b7b6324,6564,4
5bd25f59,4210,2
5beded95,3057,2
5cb483ac,3852,1
5cdd8dbc,4010,0
5d11dfb5,5895,1
5d7198fd,3368,2
5def1ce5,6443,2
5eae34a8,4904,0
5f4d2a52,5225,3
5f6756c5,5931,2
5f75f796,5562,1
5fb1c15f,2860,1
5fffa282,4201,4
60e37807,2699,2
61f27424,6220,0
62569ae3,3588,4
62a6f539,3693,3
633774dc,6233,3
63559d57,4069,3
647f2a41,3881,2
65156b96,3221,2
653612bc,4605,2
656a067b,3051,3
65a5466a,4683,1
660d9546,4732,2
6767c111,6783,0
67847288,7429,4
67a8da4a,4911,4
684a6fc1,9818,4
698930d1,4741,1
699ea575,4120,0
69c1bdad,2714,4
69e41fa6,5772,0
6a0ff78e,6465,3
6a8fa194,3017,2
6ae68655,4204,1
6d1d74e1,5830,0
6d590e26,6096,4
6d6d93af,3595,1
6dbe4b60,4648,3
6e6d122c,5632,2
6e9ccd38,8282,2
6ea22614,5971,2
6ede926a,4938,1
708caea9,6548,2
70925e23,5947,4
70e1788b,9285,2
71642c7d,4648,2
71ccf778,2698,0
7224331b,6063,0
722cf0d8,5143,2
7256229b,5415,3
726f3dc2,6723,2
7271dd80,4340,1
727a3a10,4397,2
729665c0,4263,3
729e9750,5919,0
729f4217,6195,3
72dd8501,5193,4
73348914,4221,3
739a914f,5505,0
73b1447d,5670,1
74b6186b,3405,0
75c20ec7,5361,0
75cd5f11,4946,2
75d20a82,5067,3
76201745,4448,3
764072a5,2949,4
77b0d905,4174,2
77e4821c,5393,1
7850c72e,5497,1
78a4a386,5119,1
79507629,5302,4
796dbd4c,6248,2
7987f2f2,3705,4
7993a768,5487,0
7a5660b0,4998,4
7acda2df,3091,2
7b2c7b3c,2584,1
7b38844c,3749,3
7bb17b96,3922,1
7c607683,5328,4
7cbbd047,5121,3
7cd4bb31,6439,0
7d50373e,5122,2
7d57c75d,4405,0
7e208414,4226,1
7e721392,6174,3
7ff89f8f,7337,0
8050c789,3077,3
807f0298,3747,2
811f52b3,4836,3
81bf5923,4543,3
81fc01c6,5909,3
8255c867,3589,1
82aab6d2,6140,0
82fcf37c,6014,2
833af382,3628,0
8382f4b6,4967,1
84633df4,4972,3
8478df29,4857,2
84815d5a,3647,4
84c3b497,5312,1
85380836,6618,0
8612b37f,5165,0
861e71df,4700,0
86454a6f,7964,4
8648abae,4244,4
865033f8,3557,4
87695469,7003,0
877ed19c,3708,1
87aa3730,5607,1
884ecb5f,6724,3
8902c3f6,4959,3
896d15b9,4279,1
8995c945,6724,0
89969c7a,4947,1
89f1085d,5994,4
89f36adf,5292,3
89fdb2f2,2031,2
8a3da6d1,4593,4
8a89da23,3935,1
8a9c8932,4663,3
8ac2f237,5319,0
8b12bab6,5234,1
8b5be31b,5672,4
8b95d6d1,1731,0
8b9d8326,6163,1
