driver,quartile,wells,driver_median,well_rmse_median,well_abs_bias_median,persistent_episode_well_fraction,gr_well_rmse_delta_median,u_well_rmse_delta_median
donor_dist_min,bottom_quartile,193,565.429967369398,4.5838037073331925,2.3707534432171884,0.44559585492227977,-0.5737999757514318,-0.03604977799854825
donor_dist_min,top_quartile,194,1454.598518071328,7.9690263818079075,5.429564618396335,0.7268041237113402,-0.4450451329785885,-0.06757641562419137
donor_dist_max,bottom_quartile,193,891.2043376242553,4.099483091788376,2.1059760148931583,0.43523316062176165,-0.54662235004555,-0.02571354826344674
donor_dist_max,top_quartile,194,2457.3749426986433,7.774612788239999,5.156783662480235,0.7268041237113402,-0.34254644823064995,-0.1089746320362337
unknown_rows,bottom_quartile,193,3442.0,5.2320626239781864,3.0362619397887753,0.45595854922279794,-0.43260445340713805,-0.054905156506087405
unknown_rows,top_quartile,194,6250.0,6.520663106331623,4.1649612222369345,0.7010309278350515,-0.8460583109324693,-0.055334387376208216
gate_segments,bottom_quartile,193,0.0,5.431731122943123,2.607241985714685,0.5544041450777202,-0.7381724710477986,-0.03147874648612614
gate_segments,top_quartile,194,0.0,5.969621934817345,3.3313779474713496,0.634020618556701,-0.39116624616150353,-0.05839366597215068
delta_abs_median,bottom_quartile,193,0.7672136856813445,4.850369432842137,2.8548951611654902,0.47150259067357514,-0.11787780605402753,-0.03723067440826444
delta_abs_median,top_quartile,194,4.0,7.3071759342966836,4.911545803497111,0.7268041237113402,-2.427136869528108,-0.06227074115561493
suffix_gr_missing_fraction,bottom_quartile,193,0.046674727932285366,6.098951594358749,3.590883739894339,0.6424870466321243,-0.30011279232441845,-0.025630954086437896
suffix_gr_missing_fraction,top_quartile,194,0.5737156859750563,5.293833971981382,3.022840464075897,0.5154639175257731,-0.6207755308834756,-0.06988789691487796
suffix_u_true_range,bottom_quartile,193,100.84000000000015,5.1423392302547475,2.9334029512364084,0.45595854922279794,-0.4980878648672169,-0.0427795178468795
suffix_u_true_range,top_quartile,194,231.28499999999985,6.6999151580454654,3.92429453365854,0.7216494845360825,-0.5756378708564367,-0.07870154381826655
suffix_xy_displacement,bottom_quartile,193,3436.6995522158363,5.226987557908581,3.017543030517176,0.46113989637305697,-0.4315132900975964,-0.05458993923399191
suffix_xy_displacement,top_quartile,194,6240.136995251993,6.520663106331623,4.1649612222369345,0.7010309278350515,-0.8460583109324693,-0.055334387376208216
