metric,value
episodes,645.0
wells_with_episode,449.0
episode_sse_fraction_of_total,0.8200729735991091
episode_rows,718744.0
episode_rows_fraction_of_total,0.18994346970881787
geometry_already_over_threshold_fraction,0.5457364341085271
gr_crossed_threshold_fraction,0.23565891472868217
u_projection_crossed_threshold_fraction,0.2186046511627907
gr_worsens_episode_sse_fraction,0.4573643410852713
u_worsens_episode_sse_fraction,0.4666666666666667
onset_distance_to_k16_boundary_median,81.0
onset_distance_to_k16_boundary_p90,162.0
onset_one_row_change_abs_median,0.021148228259336932
pre_onset_64row_rate_abs_median,0.01794419810130421
