left_candidate,right_candidate,residual_correlation
pf_ancc,beam_mean,0.5672306186193762
pf_ancc,likpf_mean,0.6280192447264209
pf_ancc,sc_ens,0.07196839036141342
pf_ancc,hyb,0.11343921968424109
pf_ancc,tvt_dense,0.08141712696707216
pf_ancc,tvt_densew,0.09828626880043248
pf_ancc,tvt_dense50,0.10012165414941547
pf_ancc,blend_likpf_hmm_w500,0.5820591537311259
pf_ancc,hmm_selfgr_boost_only_a070_c100,0.4343694141434782
pf_ancc,v6_k16_geometry_gr_u_projection,0.4075198966122786
beam_mean,likpf_mean,0.4875771605339345
beam_mean,sc_ens,0.11011967511936313
beam_mean,hyb,0.183808563547914
beam_mean,tvt_dense,0.07775403706042576
beam_mean,tvt_densew,0.121274324946793
beam_mean,tvt_dense50,0.12120247407071047
beam_mean,blend_likpf_hmm_w500,0.4728052016516261
beam_mean,hmm_selfgr_boost_only_a070_c100,0.4133985860487752
beam_mean,v6_k16_geometry_gr_u_projection,0.5480826609535878
likpf_mean,sc_ens,0.05694452101129207
likpf_mean,hyb,0.09256799368292186
likpf_mean,tvt_dense,0.09231496542096512
likpf_mean,tvt_densew,0.11341768676668888
likpf_mean,tvt_dense50,0.11534514467625517
likpf_mean,blend_likpf_hmm_w500,0.8674639548040759
likpf_mean,hmm_selfgr_boost_only_a070_c100,0.5530621554462808
likpf_mean,v6_k16_geometry_gr_u_projection,0.39887753860545644
sc_ens,hyb,0.9971795913642714
sc_ens,tvt_dense,0.012010242386351448
sc_ens,tvt_densew,0.0016344283866827377
sc_ens,tvt_dense50,0.0014346283431458705
sc_ens,blend_likpf_hmm_w500,0.06305209925212248
sc_ens,hmm_selfgr_boost_only_a070_c100,0.06199463746343425
sc_ens,v6_k16_geometry_gr_u_projection,0.06195901636698374
hyb,tvt_dense,0.017738007649204197
hyb,tvt_densew,0.011015331812581047
hyb,tvt_dense50,0.010817051691015834
hyb,blend_likpf_hmm_w500,0.09715900173017418
hyb,hmm_selfgr_boost_only_a070_c100,0.09181776329974577
hyb,v6_k16_geometry_gr_u_projection,0.10277928128847402
tvt_dense,tvt_densew,0.8995533235769745
tvt_dense,tvt_dense50,0.8945139545717602
tvt_dense,blend_likpf_hmm_w500,0.1085924181759413
tvt_dense,hmm_selfgr_boost_only_a070_c100,0.08205489490011526
tvt_dense,v6_k16_geometry_gr_u_projection,0.3284044815964727
tvt_densew,tvt_dense50,0.9993502683299643
tvt_densew,blend_likpf_hmm_w500,0.13633989243117048
tvt_densew,hmm_selfgr_boost_only_a070_c100,0.11262292631271971
tvt_densew,v6_k16_geometry_gr_u_projection,0.38340160606417373
tvt_dense50,blend_likpf_hmm_w500,0.13794472778756336
tvt_dense50,hmm_selfgr_boost_only_a070_c100,0.112557898583389
tvt_dense50,v6_k16_geometry_gr_u_projection,0.38294926172408716
blend_likpf_hmm_w500,hmm_selfgr_boost_only_a070_c100,0.8642062167204446
blend_likpf_hmm_w500,v6_k16_geometry_gr_u_projection,0.3974851619176018
hmm_selfgr_boost_only_a070_c100,v6_k16_geometry_gr_u_projection,0.3423497527745983
