variant,mode,selected_candidate,rows,rate
lgb_candidate_error_ranker,oof,beam_mean,79508,0.021011688987467986
lgb_candidate_error_ranker,oof,blend_likpf_hmm_w500,325641,0.08605759689047722
lgb_candidate_error_ranker,oof,hmm_selfgr_boost_only_a070_c100,974865,0.25762892016863687
lgb_candidate_error_ranker,oof,hyb,21948,0.0058002282776192
lgb_candidate_error_ranker,oof,likpf_mean,509839,0.13473585679028136
lgb_candidate_error_ranker,oof,pf_ancc,842380,0.2226169262119948
lgb_candidate_error_ranker,oof,sc_ens,6038,0.0015956706005223588
lgb_candidate_error_ranker,oof,tvt_dense,105687,0.02793004947953073
lgb_candidate_error_ranker,oof,tvt_dense50,120287,0.03178841164707403
lgb_candidate_error_ranker,oof,tvt_densew,150130,0.03967506248036133
lgb_candidate_error_ranker,oof,v6_k16_geometry_gr_u_projection,647666,0.17115958846603413
likpf_mean_single,baseline,likpf_mean,3783989,1.0
multiobs_score_top1,baseline,likpf_mean,3783989,1.0
oracle,oracle,beam_mean,316191,0.08356023233682762
oracle,oracle,blend_likpf_hmm_w500,282804,0.07473700372807637
oracle,oracle,hmm_selfgr_boost_only_a070_c100,842877,0.22274826908852008
oracle,oracle,hyb,52915,0.013983920143531073
oracle,oracle,likpf_mean,482794,0.12758863728197942
oracle,oracle,pf_ancc,543401,0.14360533289076685
oracle,oracle,sc_ens,51384,0.013579320658701703
oracle,oracle,tvt_dense,250856,0.06629406163707136
oracle,oracle,tvt_dense50,216697,0.05726681552192673
oracle,oracle,tvt_densew,186544,0.049298240560424464
oracle,oracle,v6_k16_geometry_gr_u_projection,557526,0.14733816615217432
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,beam_mean,66111,0.017471245291675003
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,blend_likpf_hmm_w500,241862,0.06391720483331215
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,hmm_selfgr_boost_only_a070_c100,1156372,0.3055960257812589
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,hyb,81,2.1405981888425153e-05
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,likpf_mean,478876,0.12655322200989486
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,pf_ancc,852219,0.22521709233298512
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,sc_ens,39,1.0306583872204702e-05
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,tvt_dense,97829,0.02585340496497215
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,tvt_dense50,153297,0.04051200994506062
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,tvt_densew,89946,0.023770153665880107
viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001,viterbi,v6_k16_geometry_gr_u_projection,647357,0.1710779286092005
