feature_index,feature
0,last_known_tvt
1,pf_ancc_std
2,beam_mean_d
3,sc_ens_d
4,hyb_d
5,eval_len
6,md_since
7,likpf_mean_d
8,hmm_exact_std
9,hmm_exact_loglik
10,hmm_exact_minus_likpf_mean
11,self_gr_quality
12,self_gr_peak_gap
13,self_gr_typewell_agreement
14,self_gr_valid
15,hmm_selfgr_std
16,hmm_selfgr_loglik
17,exp226_gr_delta
18,exp226_geop_minus_pred
19,exp226_geop_minus_pred_abs
20,multiobs_score_max
21,multiobs_score_mean
22,multiobs_score_gap
23,multiobs_top1_source_id
24,multiobs_top1_mae
25,multiobs_top1_ncc
26,multiobs_score_pf_ancc
27,multiobs_mae_pf_ancc
28,multiobs_ncc_pf_ancc
29,multiobs_score_beam_mean
30,multiobs_mae_beam_mean
31,multiobs_ncc_beam_mean
32,multiobs_score_likpf_mean
33,multiobs_mae_likpf_mean
34,multiobs_ncc_likpf_mean
35,multiobs_score_sc_ens
36,multiobs_mae_sc_ens
37,multiobs_ncc_sc_ens
38,multiobs_score_hyb
39,multiobs_mae_hyb
40,multiobs_ncc_hyb
41,tvt_dense_d
42,tvt_densew_d
43,tvt_dense50_d
44,dense_std
45,dense_dist
46,pf_vs_dense
47,copcf_cluster_feature_valid
48,copcf_own_cluster_dist
49,copcf_own_cluster_dist_z
50,copcf_nearest_other_cluster_dist
51,copcf_nearest_other_closer
52,copcf_nearby_majority_count_k8
53,copcf_nearby_majority_share_k8
54,copcf_nearby_majority_diff_k8
55,copcf_gate_own_z_gt2p0
56,copcf_gate_nearest_other_closer
57,copcf_gate_nearby_majority_diff_k8
58,copcf_gate_any_outlier_signal_k8
59,copcf_well_gate_ratio_any_outlier_signal_k8
60,copcf_any_configured_gate
61,copcf_typewell_spatial_prior_abs_delta
62,copcf_typewell_native_overlap_0p999_valid_prior
63,copcf_typewell_native_overlap_0p999_prior_std
64,copcf_typewell_native_overlap_0p999_neighbor_wells
65,copcf_spatial_xy_plus_trajectory_shape_k8_valid_prior
66,copcf_spatial_xy_plus_trajectory_shape_k8_prior_std
67,copcf_spatial_xy_plus_trajectory_shape_k8_neighbor_wells
68,pf_ancc_minus_last
69,beam_mean_minus_last
70,likpf_mean_minus_last
71,sc_ens_minus_last
72,hyb_minus_last
73,tvt_dense_minus_last
74,tvt_densew_minus_last
75,tvt_dense50_minus_last
76,blend_likpf_hmm_w500_minus_last
77,hmm_selfgr_boost_only_a070_c100_minus_last
78,v6_k16_geometry_gr_u_projection_minus_last
79,pf_ancc_vs_beam_mean_abs
80,pf_ancc_vs_likpf_mean_abs
81,pf_ancc_vs_sc_ens_abs
82,pf_ancc_vs_hyb_abs
83,pf_ancc_vs_tvt_dense_abs
84,pf_ancc_vs_tvt_densew_abs
85,pf_ancc_vs_tvt_dense50_abs
86,pf_ancc_vs_blend_likpf_hmm_w500_abs
