model,feature,importance
lgb0,nsel_top1_minus_anchor,3547.6
lgb0,spatial_knn_dist,3352.2
lgb0,slp_b_d_50,3167.8
lgb0,grwr_fft_rotation_ratio_x_log1p_md_since,3027.0
lgb0,frac,2976.4
lgb0,dz,2859.6
lgb0,nsel_top2_minus_anchor,2823.0
lgb0,dx,2757.4
lgb0,dense_std,2713.2
lgb0,dy,2682.2
lgb0,dense_dist,2587.0
lgb0,slp_b_d_all,2478.6
lgb0,form_mean_d,2027.2
lgb0,dense_nb_std,1835.8
lgb0,nsel_top2_minus_top1,1824.2
lgb0,spatial_vs_dense,1821.4
lgb0,tvt_dense_d,1814.2
lgb0,uproj_likpf_mean_resid_mad,1812.2
lgb0,beam_vcons_d,1809.8
lgb0,beam_vloose_d,1808.4
lgb0,grwr_gr_missing_rate,1773.0
lgb0,form_rng_d,1767.6
lgb0,form_std_d,1738.4
lgb0,uproj_pf_ancc_resid_mad,1683.6
lgb0,beam_vs_spatial,1660.0
lgb0,grwr_fft_dominant_frequency_norm,1645.4
lgb0,tvt_dense50_d,1637.0
lgb0,slp_50,1593.8
lgb0,pf_vs_spatial,1580.6
lgb0,slp_z,1563.0
lgb0,pfx_rmse,1549.2
lgb0,cal_a,1537.2
lgb0,ll_learned_pred_abs_error_beam_mean,1527.6
lgb0,nsel_pred_error_hmm_selfgr_boost_only_a070_c100_mean_tvt,1513.0
lgb0,dxdmd,1490.0
lgb0,tw_gr_mean,1489.2
lgb0,md_since,1477.4
lgb0,z,1461.6
lgb0,spatial_ancc_d,1452.6
lgb0,eval_len,1449.8
lgb0,beam_std_d,1447.6
lgb0,uproj_pf_z_resid_mad,1445.8
lgb0,dense_ancc,1443.8
lgb0,grwr_fft_high_frequency_ratio,1443.4
lgb0,beam_cons_d,1422.8
lgb0,nsel_pred_error_beam_mean,1417.0
lgb0,nsel_pred_error_exp226_v6_k16_geometry_gr_u_projection,1408.6
lgb0,beam_loose_d,1391.6
lgb0,tvt_densew_d,1386.6
lgb0,beam_stiff_d,1382.0
lgb0,grwr_fft_dominant_energy_ratio,1378.2
lgb0,cal_b,1350.8
lgb0,pf_vs_dense,1349.0
lgb0,dxy,1341.2
lgb0,uproj_beam_mean_resid_mad,1335.6
lgb0,likpf_mean_d,1308.8
lgb0,beam_mean_d,1279.6
lgb0,known_len,1278.2
lgb0,beam_mid_d,1277.0
lgb0,uproj_diff_beam_mean_minus_beam_med,1266.8
lgb0,pf_z_delta,1264.8
lgb0,beam_sm5_d,1254.4
lgb0,grwr_fft_rotation_energy_ratio,1236.0
lgb0,uproj_diff_pf_z_minus_likpf_mean,1231.0
lgb0,grwr_known_prefix_fraction,1229.6
lgb0,slp_all,1224.4
lgb0,pf_vs_z,1177.6
lgb0,uproj_beam_med_resid_mad,1172.8
lgb0,grwr_fft_notch_residual_energy_ratio,1145.0
lgb0,dzdmd,1129.2
lgb0,uproj_diff_pf_ancc_minus_likpf_mean,1115.0
lgb0,dydmd,1073.6
lgb0,pf_ancc_delta,1063.6
lgb0,ll_learned_prob_likpf_mean,1022.4
lgb0,nsel_pred_error_blend_likpf_hmm_w500,968.4
lgb0,ll_learned_prob_beam_mean,952.0
