rank,feature,family,mean_split_importance,std_split_importance,importance_share_pct,folds,description
1,candidate_minus_last,candidate_identity_or_context,1903.2,53.74662780119326,5.5975153525799435,5,この候補TVT − last_known_tvt。候補の外挿量。
2,candidate_index,candidate_identity_or_context,1155.4,50.13282357896869,3.398155337521473,5,固定11候補bank内の候補index。候補identityを木に伝える数値code。
3,v6_k16_geometry_gr_u_projection_minus_last,candidate_path_value,979.6,68.7589994109862,2.881108679795772,5,exp226 K16 geometry/GR/U-projection TVT − last_known_tvt。
4,candidate_tvt,candidate_identity_or_context,838.8,47.30433383951198,2.4670007764523207,5,このcandidate-long行が表す候補パスの絶対TVT。
5,hmm_selfgr_boost_only_a070_c100_minus_last,hmm_confidence,774.6,63.66160538346484,2.2781816898425937,5,Self-GR likelihood HMM TVT − last_known_tvt。
6,copcf_spatial_xy_plus_trajectory_shape_k8_minus_candidate,cluster_prior_confidence,704.2,69.73306245963963,2.071127738170868,5,XY距離とtrajectory shapeを使うK=8 spatial prior TVT − 対象候補TVT。
7,tvt_densew_vs_tvt_dense50_abs,candidate_disagreement,703.8,25.547994050414214,2.0699512952636425,5,|dense spatial ANCC（prefix加重bias） TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
8,copcf_nearest_other_cluster_dist,cluster_prior_confidence,691.4,62.52839355045034,2.0334815651396454,5,最も近い別cluster中心までの距離。
9,hmm_exact_std,hmm_confidence,648.2,77.58350340117413,1.9064257311592685,5,exact HMM posteriorのTVT標準偏差。
10,eval_len,distance_or_anchor_context,566.4,35.3100552251055,1.6658431566316099,5,そのwellの予測tail行数。
11,copcf_own_cluster_dist,cluster_prior_confidence,562.2,34.636685753691864,1.65349050610574,5,test wellと割当先cluster中心の距離。
12,hmm_selfgr_boost_only_a070_c100_vs_v6_k16_geometry_gr_u_projection_abs,hmm_confidence,558.8,46.17033679755868,1.6434907413943212,5,|Self-GR likelihood HMM TVT − exp226 K16 geometry/GR/U-projection TVT|。
13,copcf_spatial_xy_only_k8_minus_candidate,cluster_prior_confidence,538.6,33.701632007960676,1.584080374579423,5,XY距離だけを使うK=8 spatial prior TVT − 対象候補TVT。
14,hmm_selfgr_std,hmm_confidence,536.4,39.189284249651706,1.5776099385896813,5,Self-GR likelihood HMM posteriorのTVT標準偏差。
15,blend_likpf_hmm_w500_minus_last,candidate_path_value,536.0,33.904277016329374,1.5764334956824557,5,likPF / exact-HMM 50:50 blend TVT − last_known_tvt。
16,copcf_own_cluster_dist_z,cluster_prior_confidence,522.6,44.303498733170045,1.5370226582903943,5,割当先cluster距離のcluster内z-score。
17,hmm_exact_loglik,hmm_confidence,487.2,24.386471659508267,1.4329074610009187,5,exact HMMの行別観測log-likelihood。
18,copcf_typewell_native_overlap_1_minus_candidate,cluster_prior_confidence,470.6,15.208550226763887,1.3840850803510516,5,native-overlap閾値1.0のtypewell cluster prior TVT − 対象候補TVT。
19,dense_dist,pf_dense_confidence,469.6,38.5914498302409,1.3811439730829873,5,dense spatial KNNで使う最短正規化XY距離。
20,beam_mean_d,candidate_path_value,458.2,19.070920271449932,1.3476153502270545,5,複数Beam path平均候補 − last_known_tvt。
21,copcf_spatial_xy_plus_trajectory_shape_k8_minus_candidate_abs,cluster_prior_confidence,431.6,33.28362960976462,1.2693818968965447,5,|XY距離とtrajectory shapeを使うK=8 spatial prior TVT − 対象候補TVT|。
22,beam_mean_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,415.2,36.5814160469493,1.2211477377002904,5,|複数Beam path平均 TVT − Self-GR likelihood HMM TVT|。
23,tvt_dense_vs_tvt_densew_abs,candidate_disagreement,407.0,26.15339366124404,1.1970306581021632,5,|dense spatial ANCC（full-prefix bias） TVT − dense spatial ANCC（prefix加重bias） TVT|。
24,pf_ancc_minus_last,candidate_path_value,399.4,37.46731909277737,1.1746782428648748,5,ANCC PF TVT − last_known_tvt。
25,copcf_spatial_xy_plus_trajectory_shape_k8_minus_candidate_abs_norm,cluster_prior_confidence,395.8,38.76467464070865,1.1640902566998432,5,|XY距離とtrajectory shapeを使うK=8 spatial prior TVT − 対象候補TVT|をprior標準偏差で正規化。
