rank,feature,family,importance_share_pct,mean_model_rank,lgb0_split,lgb1_split,lgb2_split,all_models_zero,description,duplicate_bucket,duplicate_relation,keep_feature,pair_corr,recommended_action
1,nsel_top1_minus_anchor,nested_selector,1.622820471428862,1.6666666666666667,3547.6,2209.6,2358.0,False,selector top1候補TVT − last_known_tvt。,,,,,
2,slp_b_d_50,base_replay,1.5241201401422753,2.3333333333333335,3167.8,2276.4,2145.0,False,末尾50行 slope外挿TVT − anchor。,,,,,
3,grwr_fft_rotation_ratio_x_log1p_md_since,gr_wavelet_rotation,1.5002390492003188,2.6666666666666665,3027.0,2245.2,2176.4,False,FFT rotation-band energy比 × log1p(md_since)。,,,,,
4,dz,base_replay,1.4108759188173563,4.666666666666667,2859.6,2111.2,2037.2,False,予測行Z − anchor行Z。,,,,,
5,dx,base_replay,1.336442237954802,6.333333333333333,2757.4,2031.0,1862.6,False,予測行X − anchor行X。,,,,,
6,dy,base_replay,1.3252249077053835,7.0,2682.2,2022.6,1878.2,False,予測行Y − anchor行Y。,,,,,
7,frac,base_replay,1.3182069306655324,6.333333333333333,2976.4,1847.2,1792.8,False,予測tail内の0〜1正規化行位置。,,,,,
8,spatial_knn_dist,base_replay,1.298126921598722,8.333333333333334,3352.2,1634.4,1623.6,False,formation spatial KNNで使う最短正規化XY距離。,,,,,
9,nsel_top2_minus_anchor,nested_selector,1.2707249844669632,8.0,2823.0,1768.6,1775.0,False,selector top2候補TVT − last_known_tvt。,,,,,
10,dense_dist,base_replay,1.2245439516691161,9.333333333333334,2587.0,1813.8,1706.2,False,dense spatial KNNの最短正規化XY距離。,,,,,
11,dense_std,base_replay,1.1899089248870864,11.333333333333334,2713.2,1609.2,1654.4,False,dense spatial KNN近傍ANCCの重み付き標準偏差。,,,,,
12,slp_b_d_all,base_replay,1.107987453552484,14.666666666666666,2478.6,1578.6,1499.4,False,全prefix slope外挿TVT − anchor。,,,,,
13,uproj_likpf_mean_resid_mad,u_projection,1.011705321833149,14.666666666666666,1812.2,1632.0,1528.0,False,likpf_mean U-projection: 上記|residual|のwell内中央値。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
14,dense_nb_std,base_replay,1.0045489837217618,14.0,1835.8,1657.0,1454.2,False,既知prefixのdense KNN近傍標準偏差平均（well定数）。,,,,,
15,grwr_gr_missing_rate,gr_wavelet_rotation,0.9959478451050526,16.0,1773.0,1638.0,1482.2,False,水平井GRのwell内欠損率。,,,,,
