combined_rank,feature,family,combined_importance_share_pct,expected_error_rank,expected_error_split_importance,expected_error_share_pct,within10_rank,within10_split_importance,within10_share_pct,description
1,candidate_z_within_view,raw_test_view_context,4.665591787046699,1,1486.0,4.945881538482017,1,742.8,4.385302035611382,(対象候補TVT − view内候補平均) / view内候補標準偏差。
2,candidate_minus_last,candidate_identity_or_context,3.061375083112937,4,837.4,2.787134051362612,2,565.0,3.335616114863262,この候補TVT − last_known_tvt。候補の外挿量。
3,copcf_nearest_other_cluster_dist,cluster_prior_confidence,3.0599487304428097,3,840.8,2.798450334828856,3,562.6,3.321447126056763,最も近い別cluster中心までの距離。
4,candidate_index,candidate_identity_or_context,2.940139004622002,2,880.2,2.929586090290627,4,499.8,2.9506919189533773,固定11候補bank内の候補index。候補identityを木に伝える数値code。
5,v6_k16_geometry_gr_u_projection_minus_last,candidate_path_value,2.780107059390202,5,829.8,2.7618388294968894,5,474.0,2.7983752892835154,exp226 K16 geometry/GR/U-projection TVT − last_known_tvt。
6,tvt_densew_vs_tvt_dense50_abs,candidate_disagreement,2.5092737776303773,6,711.4,2.3677658993782686,6,449.0,2.650781655882486,|dense spatial ANCC（prefix加重bias） TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
7,copcf_own_cluster_dist,cluster_prior_confidence,2.346048010943157,8,645.6,2.148762531119778,7,430.8,2.543333490766537,test wellと割当先cluster中心の距離。
8,eval_len,distance_or_anchor_context,2.288072403318382,9,643.4,2.141440230053385,9,412.4,2.4347045765833792,そのwellの予測tail行数。
9,candidate_tvt,candidate_identity_or_context,2.254277786134578,11,605.0,2.0136327932581564,8,422.6,2.494922779010999,このcandidate-long行が表す候補パスの絶対TVT。
10,hmm_selfgr_boost_only_a070_c100_minus_last,hmm_confidence,2.2433352684688077,7,678.6,2.2585970471156775,11,377.4,2.228073489821938,Self-GR likelihood HMM TVT − last_known_tvt。
11,copcf_own_cluster_dist_z,cluster_prior_confidence,2.1459220084979207,12,589.2,1.9610453583267866,10,394.8,2.3307986586690546,割当先cluster距離のcluster内z-score。
12,hmm_exact_std,hmm_confidence,2.0542758037626405,10,621.4,2.068217219389452,12,345.6,2.040334388135829,exact HMM posteriorのTVT標準偏差。
13,hmm_exact_loglik,hmm_confidence,1.8417551036185005,15,516.4,1.7187437594024992,13,332.8,1.9647664478345017,exact HMMの行別観測log-likelihood。
14,hmm_selfgr_boost_only_a070_c100_vs_v6_k16_geometry_gr_u_projection_abs,hmm_confidence,1.7905798894039155,13,586.4,1.9517260660604676,18,276.0,1.6294337127473633,|Self-GR likelihood HMM TVT − exp226 K16 geometry/GR/U-projection TVT|。
15,tvt_dense_vs_tvt_densew_abs,candidate_disagreement,1.6991139889009368,17,498.8,1.6601653508713528,14,294.4,1.7380626269305206,|dense spatial ANCC（full-prefix bias） TVT − dense spatial ANCC（prefix加重bias） TVT|。
16,tvt_dense_vs_tvt_dense50_abs,candidate_disagreement,1.678771773027416,18,495.8,1.6501803948717255,16,289.2,1.7073631511831067,|dense spatial ANCC（full-prefix bias） TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
17,candidate_abs_minus_view_mean,raw_test_view_context,1.651623316038874,14,547.6,1.8225873017986223,21,250.8,1.4806593302791258,|対象候補TVT − view内候補平均|。
18,beam_mean_minus_last,candidate_path_value,1.621160672337132,19,492.4,1.6388641114054814,19,271.6,1.6034572332687824,複数Beam path平均 TVT − last_known_tvt。
19,md_since,distance_or_anchor_context,1.5825002774248609,20,445.4,1.4824331340779882,17,285.0,1.6825674207717338,既知prefix末尾から予測行までのMD距離。
20,hmm_selfgr_std,hmm_confidence,1.5771998203039268,16,508.2,1.6914515463368514,22,247.8,1.4629480942710023,Self-GR likelihood HMM posteriorのTVT標準偏差。
21,hmm_selfgr_loglik,hmm_confidence,1.5408485378369576,21,407.6,1.3566226884826853,15,292.2,1.7250743871912302,Self-GR likelihood HMMの行別観測log-likelihood。
22,beam_mean_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,1.3349459776357628,22,375.4,1.2494508274200198,23,240.6,1.420441127851506,|複数Beam path平均 TVT − Self-GR likelihood HMM TVT|。
23,last_known_tvt,distance_or_anchor_context,1.3138389307011678,25,365.2,1.2155019770212871,24,239.2,1.4121758843810481,既知prefix末尾のTVT。全候補deltaのanchor。
24,beam_mean_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,1.275808382330113,31,309.0,1.0284504679616038,20,258.0,1.5231662966986221,|複数Beam path平均 TVT − exp226 K16 geometry/GR/U-projection TVT|。
25,pf_ancc_minus_last,candidate_path_value,1.2052338946460717,23,371.6,1.2368032164871585,25,198.8,1.1736645728049848,ANCC PF TVT − last_known_tvt。
26,copcf_spatial_xy_plus_trajectory_shape_k8_minus_candidate,cluster_prior_confidence,1.1323639391613352,26,353.0,1.1748964892894698,27,184.6,1.0898313890332003,XY距離とtrajectory shapeを使うK=8 spatial prior TVT − 対象候補TVT。
27,blend_likpf_hmm_w500_minus_last,candidate_path_value,1.1247804406124722,24,367.6,1.223489941820989,30,173.8,1.0260709394039556,likPF / exact-HMM 50:50 blend TVT − last_known_tvt。
28,copcf_typewell_native_overlap_0p999_neighbor_wells,cluster_prior_confidence,1.1129563814433676,29,323.6,1.077043920493123,26,194.6,1.148868842393612,native-overlap閾値0.999のtypewell cluster priorを作る近傍well数。
