component_id,threshold,n_features,keeper_by_importance,drop_candidates,features,families,keeper_importance,drop_importance_sum,max_abs_corr,min_abs_corr_in_component_pairs
2,0.995,53,pf_z,pf_ancc|tvtF_ASTNU|tvtF_ANCC|last_known_tvt|tvtFw_ASTNU|tvtF_ASTNL|tvtF_EGFDL|tvtF50_ASTNU|tvtFw_ANCC|tvtF_EGFDU|dense_rmse|tvtF_BUDA|tvtF50_ANCC|tvtFw_ASTNL|tvtF50_ASTNL|bw_early_ANCC|tvtFw_EGFDL|tvtF50_EGFDL|bw_early_ASTNU|tvtFw_EGFDU|tvtFw_BUDA|tvtF50_EGFDU|tvtF50_BUDA|bw_ANCC|bw_early_EGFDU|bw_ASTNU|bw_early_ASTNL|bww_ANCC|bww_ASTNU|bw_early_EGFDL|dense_bias|bw_mid_ASTNU|bw_mid_ANCC|bww_EGFDU|bw50_ASTNU|bw50_ANCC|bww_ASTNL|bw_EGFDU|bw_ASTNL|bw_early_BUDA|bw_mid_ASTNL|bw_mid_EGFDL|bww_EGFDL|bw_mid_EGFDU|bw50_ASTNL|bw50_EGFDU|bw_EGFDL|bw_BUDA|bw50_EGFDL|bw_mid_BUDA|bww_BUDA|bw50_BUDA,pf_z|pf_ancc|tvtF_ASTNU|tvtF_ANCC|last_known_tvt|tvtFw_ASTNU|tvtF_ASTNL|tvtF_EGFDL|tvtF50_ASTNU|tvtFw_ANCC|tvtF_EGFDU|dense_rmse|tvtF_BUDA|tvtF50_ANCC|tvtFw_ASTNL|tvtF50_ASTNL|bw_early_ANCC|tvtFw_EGFDL|tvtF50_EGFDL|bw_early_ASTNU|tvtFw_EGFDU|tvtFw_BUDA|tvtF50_EGFDU|tvtF50_BUDA|bw_ANCC|bw_early_EGFDU|bw_ASTNU|bw_early_ASTNL|bww_ANCC|bww_ASTNU|bw_early_EGFDL|dense_bias|bw_mid_ASTNU|bw_mid_ANCC|bww_EGFDU|bw50_ASTNU|bw50_ANCC|bww_ASTNL|bw_EGFDU|bw_ASTNL|bw_early_BUDA|bw_mid_ASTNL|bw_mid_EGFDL|bww_EGFDL|bw_mid_EGFDU|bw50_ASTNL|bw50_EGFDU|bw_EGFDL|bw_BUDA|bw50_EGFDL|bw_mid_BUDA|bww_BUDA|bw50_BUDA,base_replay,805.0666666666667,15620.8,0.9999999994694734,0.989954308244938
8,0.995,11,ll_candidate_tvt_hyb_minus_likpf_mean_tvt,ll_candidate_tvt_sc_ens_minus_likpf_mean_tvt|sc_vs_beam|ll_learned_pred_abs_error_hyb|hyb_d|ll_candidate_tvt_range|ll_candidate_tvt_std|sc_ens_d|ll_learned_pred_abs_error_sc_ens|ll_candidate_tvt_hyb_minus_last_known_tvt|ll_candidate_tvt_sc_ens_minus_last_known_tvt,ll_candidate_tvt_hyb_minus_likpf_mean_tvt|ll_candidate_tvt_sc_ens_minus_likpf_mean_tvt|sc_vs_beam|ll_learned_pred_abs_error_hyb|hyb_d|ll_candidate_tvt_range|ll_candidate_tvt_std|sc_ens_d|ll_learned_pred_abs_error_sc_ens|ll_candidate_tvt_hyb_minus_last_known_tvt|ll_candidate_tvt_sc_ens_minus_last_known_tvt,base_replay|learned_likelihood,346.8666666666667,1565.8,1.0,0.9851544271068512
3,0.995,3,z,spatial_ancc_d|dense_ancc,z|spatial_ancc_d|dense_ancc,base_replay,2353.333333333333,4582.466666666667,0.9969927154771596,0.9950716292726624
14,0.995,2,tvt_dense50_d,tvt_densew_d,tvt_dense50_d|tvt_densew_d,base_replay,3139.6,2990.133333333333,0.9995391837272104,0.9995391837272104
5,0.995,2,form_rng_d,form_std_d,form_rng_d|form_std_d,base_replay,2755.0,2724.2,0.9963955456942082,0.9963955456942082
4,0.995,2,md_since,dxy,md_since|dxy,base_replay,2572.9333333333334,2375.733333333333,0.9999979497943934,0.9999979497943934
9,0.995,2,likpf_mean_d,ll_candidate_tvt_likpf_mean_minus_last_known_tvt,likpf_mean_d|ll_candidate_tvt_likpf_mean_minus_last_known_tvt,base_replay|learned_likelihood,2142.0666666666666,902.2666666666668,1.0,1.0
17,0.995,2,uproj_likpf_mean_corr,uproj_likpf_mean_resid,uproj_likpf_mean_corr|uproj_likpf_mean_resid,u_projection,1811.4,1676.4,1.0,1.0
1,0.995,2,beam_mean_d,ll_candidate_tvt_beam_mean_minus_last_known_tvt,beam_mean_d|ll_candidate_tvt_beam_mean_minus_last_known_tvt,base_replay|learned_likelihood,1775.2,1123.7333333333331,0.9999999962819376,0.9999999962819376
12,0.995,2,uproj_diff_pf_ancc_minus_likpf_mean,ll_candidate_tvt_pf_ancc_minus_likpf_mean_tvt,uproj_diff_pf_ancc_minus_likpf_mean|ll_candidate_tvt_pf_ancc_minus_likpf_mean_tvt,learned_likelihood|u_projection,1740.6666666666667,736.1333333333333,1.0,1.0
