feature,in_exp145_train,in_exp145_rawtest,status
candidate_tvt_beam_mean,True,True,both
candidate_tvt_hyb,True,True,both
candidate_tvt_likpf_mean,True,True,both
candidate_tvt_pf_ancc,True,True,both
candidate_tvt_range,True,True,both
candidate_tvt_sc_ens,True,True,both
candidate_tvt_std,True,True,both
fold,True,True,both
id,True,True,both
learned_error_likpf_rank,True,True,both
learned_error_margin_top2_top1,True,True,both
learned_error_top1_index,True,True,both
learned_error_top1_value,True,True,both
learned_error_top2_value,True,True,both
learned_error_top3_contains_likpf,True,True,both
learned_error_weighted_tvt,True,True,both
learned_pred_abs_error_beam_mean,True,True,both
learned_pred_abs_error_hyb,True,True,both
learned_pred_abs_error_likpf_mean,True,True,both
learned_pred_abs_error_pf_ancc,True,True,both
learned_pred_abs_error_sc_ens,True,True,both
learned_prob_beam_mean,True,True,both
learned_prob_entropy,True,True,both
learned_prob_hyb,True,True,both
learned_prob_likpf_mean,True,True,both
learned_prob_likpf_rank,True,True,both
learned_prob_margin_top1_top2,True,True,both
learned_prob_pf_ancc,True,True,both
learned_prob_sc_ens,True,True,both
learned_prob_top1_index,True,True,both
learned_prob_top1_value,True,True,both
learned_prob_top2_value,True,True,both
learned_prob_top3_contains_likpf,True,True,both
learned_prob_weighted_tvt,True,True,both
md_since,True,True,both
multiobs_mae_beam_mean,True,True,both
multiobs_mae_hyb,True,True,both
multiobs_mae_likpf_mean,True,True,both
multiobs_mae_pf_ancc,True,True,both
multiobs_mae_sc_ens,True,True,both
multiobs_ncc_beam_mean,True,True,both
multiobs_ncc_hyb,True,True,both
multiobs_ncc_likpf_mean,True,True,both
multiobs_ncc_pf_ancc,True,True,both
multiobs_ncc_sc_ens,True,True,both
multiobs_score_beam_mean,True,True,both
multiobs_score_hyb,True,True,both
multiobs_score_likpf_mean,True,True,both
multiobs_score_pf_ancc,True,True,both
multiobs_score_sc_ens,True,True,both
well,True,True,both
