feature,in_train,in_inference,status
beam_cons_d,True,True,both
beam_loose_d,True,True,both
beam_mean_d,True,True,both
beam_med_d,True,True,both
beam_mid_d,True,True,both
beam_sm5_d,True,True,both
beam_std_d,True,True,both
beam_stiff_d,True,True,both
beam_vcons_d,True,True,both
beam_vloose_d,True,True,both
beam_vs_spatial,True,True,both
bw50_ANCC,True,True,both
bw50_ASTNL,True,True,both
bw50_ASTNU,True,True,both
bw50_BUDA,True,True,both
bw50_EGFDL,True,True,both
bw50_EGFDU,True,True,both
bw_ANCC,True,True,both
bw_ASTNL,True,True,both
bw_ASTNU,True,True,both
bw_BUDA,True,True,both
bw_EGFDL,True,True,both
bw_EGFDU,True,True,both
bw_early_ANCC,True,True,both
bw_early_ASTNL,True,True,both
bw_early_ASTNU,True,True,both
bw_early_BUDA,True,True,both
bw_early_EGFDL,True,True,both
bw_early_EGFDU,True,True,both
bw_mid_ANCC,True,True,both
bw_mid_ASTNL,True,True,both
bw_mid_ASTNU,True,True,both
bw_mid_BUDA,True,True,both
bw_mid_EGFDL,True,True,both
bw_mid_EGFDU,True,True,both
bww_ANCC,True,True,both
bww_ASTNL,True,True,both
bww_ASTNU,True,True,both
bww_BUDA,True,True,both
bww_EGFDL,True,True,both
bww_EGFDU,True,True,both
cal_a,True,True,both
cal_b,True,True,both
dense_ancc,True,True,both
dense_bias,True,True,both
dense_dist,True,True,both
dense_nb_std,True,True,both
dense_rmse,True,True,both
dense_std,True,True,both
dx,True,True,both
dxdmd,True,True,both
dxy,True,True,both
dy,True,True,both
dydmd,True,True,both
dz,True,True,both
dzdmd,True,True,both
eval_len,True,True,both
form_mean_d,True,True,both
form_rng_d,True,True,both
form_std_d,True,True,both
frac,True,True,both
frac2,True,True,both
frm_rmse_ANCC,True,True,both
frm_rmse_ASTNL,True,True,both
frm_rmse_ASTNU,True,True,both
frm_rmse_BUDA,True,True,both
frm_rmse_EGFDL,True,True,both
frm_rmse_EGFDU,True,True,both
glag1,True,True,both
glag15,True,True,both
glag30,True,True,both
glag5,True,True,both
glead1,True,True,both
glead15,True,True,both
glead30,True,True,both
glead5,True,True,both
gr,True,True,both
gr_d1,True,True,both
gr_d2,True,True,both
gr_env,True,True,both
gr_nrg,True,True,both
gr_vs_slp_all,True,True,both
gr_vs_tw_anc,True,True,both
grm101,True,True,both
grm21,True,True,both
grm5,True,True,both
grm51,True,True,both
grs101,True,True,both
grs21,True,True,both
grs5,True,True,both
grs51,True,True,both
hyb_d,True,True,both
known_len,True,True,both
ktvt_range,True,True,both
ktvt_std,True,True,both
last_known_tvt,True,True,both
likpf_mean_d,True,True,both
ll_candidate_tvt_beam_mean_minus_last_known_tvt,True,True,both
ll_candidate_tvt_beam_mean_minus_likpf_mean_tvt,True,True,both
ll_candidate_tvt_hyb_minus_last_known_tvt,True,True,both
ll_candidate_tvt_hyb_minus_likpf_mean_tvt,True,True,both
ll_candidate_tvt_likpf_mean_minus_last_known_tvt,True,True,both
ll_candidate_tvt_likpf_mean_minus_likpf_mean_tvt,True,True,both
ll_candidate_tvt_pf_ancc_minus_last_known_tvt,True,True,both
ll_candidate_tvt_pf_ancc_minus_likpf_mean_tvt,True,True,both
ll_candidate_tvt_range,True,True,both
ll_candidate_tvt_sc_ens_minus_last_known_tvt,True,True,both
ll_candidate_tvt_sc_ens_minus_likpf_mean_tvt,True,True,both
ll_candidate_tvt_std,True,True,both
ll_learned_error_likpf_rank,True,True,both
ll_learned_error_margin_top2_top1,True,True,both
ll_learned_error_top1_index,True,True,both
ll_learned_error_top1_value,True,True,both
ll_learned_error_top2_value,True,True,both
ll_learned_error_top3_contains_likpf,True,True,both
ll_learned_error_weighted_tvt_minus_last_known_tvt,True,True,both
ll_learned_error_weighted_tvt_minus_likpf_mean_tvt,True,True,both
ll_learned_pred_abs_error_beam_mean,True,True,both
ll_learned_pred_abs_error_hyb,True,True,both
ll_learned_pred_abs_error_likpf_mean,True,True,both
ll_learned_pred_abs_error_pf_ancc,True,True,both
ll_learned_pred_abs_error_sc_ens,True,True,both
ll_learned_prob_beam_mean,True,True,both
ll_learned_prob_entropy,True,True,both
ll_learned_prob_hyb,True,True,both
ll_learned_prob_likpf_mean,True,True,both
ll_learned_prob_likpf_rank,True,True,both
ll_learned_prob_margin_top1_top2,True,True,both
ll_learned_prob_pf_ancc,True,True,both
ll_learned_prob_sc_ens,True,True,both
ll_learned_prob_top1_index,True,True,both
ll_learned_prob_top1_value,True,True,both
