experiment,config_path,parse_error,status,route,metrics_status,metrics_cv,has_sig_p,sig_p_entries,local_contract_count,numeric_sig_p_values,numeric_step_values,numeric_momentum_values,nondefault_sig_p_values,nondefault_step_values,nondefault_momentum_values,position_sigma_schedule_paths,momentum_schedule_paths,has_position_intervention_design,has_momentum_intervention_design,terminal_without_run,has_recorded_metric,completed_position_intervention,completed_momentum_intervention
exp205_exact_hmm_smoother_exp072_compatible_cache_audit,/home/kento/work/kaggle/ROGII/experiments/exp205_exact_hmm_smoother_exp072_compatible_cache_audit/config.yaml,,completed_train_feature_cache_direct_pfbeam_supported_no_submit,pf_beam,completed_train_feature_cache_direct_pfbeam_supported_no_submit,10.269699957242537,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp209_exp072_exp205_joint_exact_parity_fast_cache_generation,/home/kento/work/kaggle/ROGII/experiments/exp209_exp072_exp205_joint_exact_parity_fast_cache_generation/config.yaml,,completed_v6_outer_workers_4_numba_threads_1_slower_best_runtime_v5_default,pf_beam,completed_v6_outer_workers_4_numba_threads_1_slower_best_runtime_v5_default,10.269696146642758,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp221_lgb_oof_gaussian_emission_hmm_on_exp148,/home/kento/work/kaggle/ROGII/experiments/exp221_lgb_oof_gaussian_emission_hmm_on_exp148/config.yaml,,submitted_v1_public_lb_7p953_not_adopted,ensemble,submitted_v1_public_lb_7p953_not_adopted,8.32773695096078,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp223_joint_typewell_self_gr_hmm_likelihood_probe,/home/kento/work/kaggle/ROGII/experiments/exp223_joint_typewell_self_gr_hmm_likelihood_probe/config.yaml,,completed_train_side_supported_vs_exp072_not_direct_port,ensemble,completed_train_side_supported_vs_exp072_not_direct_port,11.349950650072172,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp225_state_known_tvt_self_gr_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp225_state_known_tvt_self_gr_hmm_emission/config.yaml,,completed_train_side_rejected_no_inference_no_submit,ensemble,completed_train_side_rejected_no_inference_no_submit,14.212954500008003,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp229_lgb_quantile_band_emission_hmm_on_exp148,/home/kento/work/kaggle/ROGII/experiments/exp229_lgb_quantile_band_emission_hmm_on_exp148/config.yaml,,completed_train_side_rejected_no_inference_no_submit,ensemble,completed_train_side_rejected_no_inference_no_submit,8.684401098734789,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp230_dtw_typewell_warp_hmm_emission_correction,/home/kento/work/kaggle/ROGII/experiments/exp230_dtw_typewell_warp_hmm_emission_correction/config.yaml,,completed_train_side_rejected_no_inference_no_submit,pf_beam,completed_train_side_rejected_no_inference_no_submit,13.611292322617885,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp231_same_typewell_horizontal_gr_atlas_gated_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp231_same_typewell_horizontal_gr_atlas_gated_hmm_emission/config.yaml,,completed_train_side_rejected_no_inference_no_submit,pf_beam,completed_train_side_rejected_no_inference_no_submit,11.569950235624306,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp234_crossfitted_residual_scale_emission_hmm_on_exp218,/home/kento/work/kaggle/ROGII/experiments/exp234_crossfitted_residual_scale_emission_hmm_on_exp218/config.yaml,,completed_train_side_rejected_no_inference_no_submit,ensemble,completed_train_side_rejected_no_inference_no_submit,8.42723140171221,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp236_exact_hmm_posterior_bimodality_audit,/home/kento/work/kaggle/ROGII/experiments/exp236_exact_hmm_posterior_bimodality_audit/config.yaml,,completed_train_side_posterior_diagnostic,ensemble,completed_train_side_posterior_diagnostic,8.327728486025844,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
