experiment,status,path,sig_p,step,mom
exp205_exact_hmm_smoother_exp072_compatible_cache_audit,completed_train_feature_cache_direct_pfbeam_supported_no_submit,model.hmm,0.02,0.35,0.998
exp209_exp072_exp205_joint_exact_parity_fast_cache_generation,completed_v6_outer_workers_4_numba_threads_1_slower_best_runtime_v5_default,model.hmm,0.02,0.35,0.998
exp221_lgb_oof_gaussian_emission_hmm_on_exp148,submitted_v1_public_lb_7p953_not_adopted,model.hmm,0.02,0.35,0.998
exp223_joint_typewell_self_gr_hmm_likelihood_probe,completed_train_side_supported_vs_exp072_not_direct_port,model.hmm,0.02,0.35,0.998
exp225_state_known_tvt_self_gr_hmm_emission,completed_train_side_rejected_no_inference_no_submit,model.hmm,0.02,0.35,0.998
exp229_lgb_quantile_band_emission_hmm_on_exp148,completed_train_side_rejected_no_inference_no_submit,model.hmm,0.02,0.35,0.998
exp230_dtw_typewell_warp_hmm_emission_correction,completed_train_side_rejected_no_inference_no_submit,model.hmm,0.02,0.35,0.998
exp231_same_typewell_horizontal_gr_atlas_gated_hmm_emission,completed_train_side_rejected_no_inference_no_submit,model.hmm,0.02,0.35,0.998
exp234_crossfitted_residual_scale_emission_hmm_on_exp218,completed_train_side_rejected_no_inference_no_submit,model.hmm,0.02,0.35,0.998
exp236_exact_hmm_posterior_bimodality_audit,completed_train_side_posterior_diagnostic,model.hmm,0.02,0.35,0.998
exp237_hmm_exp226_candidate_selector_on_exp183,completed_rawtest_inference_not_submitted_after_guard_failure,inference.hmm.exact,0.02,0.35,0.998
exp240_shrinkage_residual_scale_emission_hmm_on_exp218,closed_train_side_alpha050_best_rmse_mixed_guards_no_inference_no_submit,model.hmm,0.02,0.35,0.998
exp247_missing_gr_masking,completed_rejected,model.hmm,0.02,0.35,0.998
exp251_raw_test_safe_dual_objective_candidate_ranker,completed_train_side_guard_failed,inference.hmm.exact,0.02,0.35,0.998
exp263_last_anchor_better_candidate_confidence_pair_cache,stage1_namespaced_confidence_kaggle_v3_completed,stage1.raw_test_generation.exact_hmm.params,0.02,0.35,0.998
exp268_multi_scale_initial_rate_candidates,completed_train_side_candidate_bank_audit,model.hmm,0.02,0.35,0.998
exp269_raw_hmm_likpf_missing_gr_observation_neutrality_ablation,completed_stage1_guard_failed_pf_closed,model.hmm,0.02,0.35,0.998
exp270_exact_hmm_posterior_mode_candidate_audit,completed_train_side_direct_negative_oracle_diagnostic_only_no_inference_no_submit,model.hmm,0.02,0.35,0.998
exp273_two_dimensional_formation_gradient_transition,completed_negative_direct_gradient_candidates,model.hmm,0.02,0.35,0.998
exp279_exp226_geop_centered_exact_hmm_redecode,completed_train_side_guard_failed_branch_closed,model.hmm,0.02,0.35,0.998
exp281_exp226_residual_offset_exact_hmm_transition_probe,completed_train_side_guard_failed,model.hmm,0.02,0.35,0.998
