experiment,source,line,value
exp205_exact_hmm_smoother_exp072_compatible_cache_audit,/home/kento/work/kaggle/ROGII/experiments/exp205_exact_hmm_smoother_exp072_compatible_cache_audit/exact_hmm_smoother.py,420,0.02
exp205_exact_hmm_smoother_exp072_compatible_cache_audit,/home/kento/work/kaggle/ROGII/experiments/exp205_exact_hmm_smoother_exp072_compatible_cache_audit/kaggle/inference/exact_hmm_smoother.py,420,0.02
exp205_exact_hmm_smoother_exp072_compatible_cache_audit,/home/kento/work/kaggle/ROGII/experiments/exp205_exact_hmm_smoother_exp072_compatible_cache_audit/kaggle/train/exact_hmm_smoother.py,420,0.02
exp209_exp072_exp205_joint_exact_parity_fast_cache_generation,/home/kento/work/kaggle/ROGII/experiments/exp209_exp072_exp205_joint_exact_parity_fast_cache_generation/exact_hmm_smoother.py,423,0.02
exp209_exp072_exp205_joint_exact_parity_fast_cache_generation,/home/kento/work/kaggle/ROGII/experiments/exp209_exp072_exp205_joint_exact_parity_fast_cache_generation/kaggle/train/exact_hmm_smoother.py,423,0.02
exp221_lgb_oof_gaussian_emission_hmm_on_exp148,/home/kento/work/kaggle/ROGII/experiments/exp221_lgb_oof_gaussian_emission_hmm_on_exp148/exact_hmm_smoother.py,579,0.02
exp221_lgb_oof_gaussian_emission_hmm_on_exp148,/home/kento/work/kaggle/ROGII/experiments/exp221_lgb_oof_gaussian_emission_hmm_on_exp148/kaggle/inference/exact_hmm_smoother.py,579,0.02
exp221_lgb_oof_gaussian_emission_hmm_on_exp148,/home/kento/work/kaggle/ROGII/experiments/exp221_lgb_oof_gaussian_emission_hmm_on_exp148/kaggle/train/exact_hmm_smoother.py,579,0.02
exp223_joint_typewell_self_gr_hmm_likelihood_probe,/home/kento/work/kaggle/ROGII/experiments/exp223_joint_typewell_self_gr_hmm_likelihood_probe/exact_hmm_smoother.py,757,0.02
exp223_joint_typewell_self_gr_hmm_likelihood_probe,/home/kento/work/kaggle/ROGII/experiments/exp223_joint_typewell_self_gr_hmm_likelihood_probe/kaggle/train/exact_hmm_smoother.py,757,0.02
exp225_state_known_tvt_self_gr_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp225_state_known_tvt_self_gr_hmm_emission/exact_hmm_smoother.py,963,0.02
exp225_state_known_tvt_self_gr_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp225_state_known_tvt_self_gr_hmm_emission/kaggle/train/exact_hmm_smoother.py,963,0.02
exp229_lgb_quantile_band_emission_hmm_on_exp148,/home/kento/work/kaggle/ROGII/experiments/exp229_lgb_quantile_band_emission_hmm_on_exp148/exact_hmm_smoother.py,670,0.02
exp229_lgb_quantile_band_emission_hmm_on_exp148,/home/kento/work/kaggle/ROGII/experiments/exp229_lgb_quantile_band_emission_hmm_on_exp148/kaggle/train/exact_hmm_smoother.py,670,0.02
exp229_lgb_quantile_band_emission_hmm_on_exp148,/home/kento/work/kaggle/ROGII/experiments/exp229_lgb_quantile_band_emission_hmm_on_exp148/kaggle/train_aggregate/exact_hmm_smoother.py,670,0.02
exp230_dtw_typewell_warp_hmm_emission_correction,/home/kento/work/kaggle/ROGII/experiments/exp230_dtw_typewell_warp_hmm_emission_correction/exact_hmm_smoother.py,713,0.02
exp230_dtw_typewell_warp_hmm_emission_correction,/home/kento/work/kaggle/ROGII/experiments/exp230_dtw_typewell_warp_hmm_emission_correction/kaggle/train/exact_hmm_smoother.py,713,0.02
exp231_same_typewell_horizontal_gr_atlas_gated_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp231_same_typewell_horizontal_gr_atlas_gated_hmm_emission/exact_hmm_smoother.py,1085,0.02
exp231_same_typewell_horizontal_gr_atlas_gated_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp231_same_typewell_horizontal_gr_atlas_gated_hmm_emission/kaggle/train/exact_hmm_smoother.py,1085,0.02
exp234_crossfitted_residual_scale_emission_hmm_on_exp218,/home/kento/work/kaggle/ROGII/experiments/exp234_crossfitted_residual_scale_emission_hmm_on_exp218/exact_hmm_smoother.py,670,0.02
exp234_crossfitted_residual_scale_emission_hmm_on_exp218,/home/kento/work/kaggle/ROGII/experiments/exp234_crossfitted_residual_scale_emission_hmm_on_exp218/kaggle/train/exact_hmm_smoother.py,670,0.02
exp234_crossfitted_residual_scale_emission_hmm_on_exp218,/home/kento/work/kaggle/ROGII/experiments/exp234_crossfitted_residual_scale_emission_hmm_on_exp218/kaggle/train_aggregate/exact_hmm_smoother.py,670,0.02
exp236_exact_hmm_posterior_bimodality_audit,/home/kento/work/kaggle/ROGII/experiments/exp236_exact_hmm_posterior_bimodality_audit/exact_hmm_smoother.py,579,0.02
exp236_exact_hmm_posterior_bimodality_audit,/home/kento/work/kaggle/ROGII/experiments/exp236_exact_hmm_posterior_bimodality_audit/kaggle/train/exact_hmm_smoother.py,579,0.02
exp240_shrinkage_residual_scale_emission_hmm_on_exp218,/home/kento/work/kaggle/ROGII/experiments/exp240_shrinkage_residual_scale_emission_hmm_on_exp218/exact_hmm_smoother.py,670,0.02
exp240_shrinkage_residual_scale_emission_hmm_on_exp218,/home/kento/work/kaggle/ROGII/experiments/exp240_shrinkage_residual_scale_emission_hmm_on_exp218/kaggle/inference/exact_hmm_smoother.py,670,0.02
exp240_shrinkage_residual_scale_emission_hmm_on_exp218,/home/kento/work/kaggle/ROGII/experiments/exp240_shrinkage_residual_scale_emission_hmm_on_exp218/kaggle/train/exact_hmm_smoother.py,670,0.02
exp247_missing_gr_masking,/home/kento/work/kaggle/ROGII/experiments/exp247_missing_gr_masking/exact_hmm_smoother.py,636,0.02
exp247_missing_gr_masking,/home/kento/work/kaggle/ROGII/experiments/exp247_missing_gr_masking/kaggle/train/exact_hmm_smoother.py,636,0.02
exp263_last_anchor_better_candidate_confidence_pair_cache,/home/kento/work/kaggle/ROGII/experiments/exp263_last_anchor_better_candidate_confidence_pair_cache/kaggle/output/inference_confidence_20260717/artifacts/trusted_upstream_sources/exp263_exact_hmm_source.py,423,0.02
exp263_last_anchor_better_candidate_confidence_pair_cache,/home/kento/work/kaggle/ROGII/experiments/exp263_last_anchor_better_candidate_confidence_pair_cache/kaggle/output/inference_confidence_20260717/artifacts/trusted_upstream_sources/exp263_selfgr_hmm_source.py,757,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/exp268_multi_scale_initial_rate_candidates_train.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/exp268_multi_scale_initial_rate_candidates_train_variant0.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/exp268_multi_scale_initial_rate_candidates_train_variant1.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/inference/exp268_multi_scale_initial_rate_candidates_train.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/inference/exp268_multi_scale_initial_rate_candidates_train_variant0.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/inference/exp268_multi_scale_initial_rate_candidates_train_variant1.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/output/aggregate_v1/exp268_multi_scale_initial_rate_candidates_train.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/output/aggregate_v1/exp268_multi_scale_initial_rate_candidates_train_variant0.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/output/aggregate_v1/exp268_multi_scale_initial_rate_candidates_train_variant1.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train/exp268_multi_scale_initial_rate_candidates_train.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train/exp268_multi_scale_initial_rate_candidates_train_variant0.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train/exp268_multi_scale_initial_rate_candidates_train_variant1.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train_variant0/exp268_multi_scale_initial_rate_candidates_train.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train_variant0/exp268_multi_scale_initial_rate_candidates_train_variant0.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train_variant0/exp268_multi_scale_initial_rate_candidates_train_variant1.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train_variant1/exp268_multi_scale_initial_rate_candidates_train.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train_variant1/exp268_multi_scale_initial_rate_candidates_train_variant0.py,602,0.02
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/kaggle/train_variant1/exp268_multi_scale_initial_rate_candidates_train_variant1.py,602,0.02
exp269_raw_hmm_likpf_missing_gr_observation_neutrality_ablation,/home/kento/work/kaggle/ROGII/experiments/exp269_raw_hmm_likpf_missing_gr_observation_neutrality_ablation/exact_hmm_smoother.py,492,0.02
exp269_raw_hmm_likpf_missing_gr_observation_neutrality_ablation,/home/kento/work/kaggle/ROGII/experiments/exp269_raw_hmm_likpf_missing_gr_observation_neutrality_ablation/kaggle/train/exact_hmm_smoother.py,492,0.02
exp273_two_dimensional_formation_gradient_transition,/home/kento/work/kaggle/ROGII/experiments/exp273_two_dimensional_formation_gradient_transition/exp273_two_dimensional_formation_gradient_transition_train.py,773,0.02
