well,last_tvt_grid_ledger,typewell_tvt_min,typewell_tvt_max,grid_min,grid_max,grid_size,grid_span_ft,grid_low_source,grid_high_source,init_rate,rate_span,rate_step,true_rate_abs_p95,true_rate_abs_max,true_rate_outside_fraction,raw_md_step_min,raw_md_step_median,raw_md_step_max,raw_md_step_below_one_fraction,raw_md_step_nonpositive_fraction,rate_lower_edge_lost_mass_mean,rate_lower_edge_lost_mass_max,rate_upper_edge_lost_mass_mean,rate_upper_edge_lost_mass_max
000d7d20,11747.37,11223.95,11871.45,11647.37,11847.570000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.049999999999272404,0.06000000000312866,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
00bbac68,12223.54,11394.45,12366.95,12123.54,12323.740000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.049999999999272404,9.219999999999345,0.00016627868307283005,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
00e12e8b,11604.820000000002,10593.95,11871.45,11504.820000000002,11705.02000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.05999999999949068,0.32999999999992724,0.00372006510113927,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
015fe0d2,12233.78,11734.95,12366.95,12133.78,12333.980000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.039999999999054126,0.1,0.005,0.06000000000130967,0.07000000000334694,0.0,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
01869cd4,11745.94,11345.95,11871.45,11645.94,11846.140000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.039999999999054126,0.1,0.005,0.06000000000130967,0.18999999999869033,0.00017995321216483713,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
01982c1d,10694.08,9915.37,11021.27,10594.08,10794.280000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.039999999997235136,0.1,0.005,0.06000000000130967,0.07999999999992724,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000026,0.06,0.060000000000000026,0.06
028d7b28,12427.92,11862.45,12748.95,12327.92,12528.120000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000000654836,0.1,0.005,0.07999999999992724,0.1000000000003638,0.0008020532563362208,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
02e7fe5a,12178.98,11782.62,12285.1,12078.98,12279.180000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.040000000000873115,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
0390d174,10620.96,10102.6,10956.570000000002,10520.96,10721.160000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.039999999999054126,0.1,0.005,0.06999999999970896,0.09000000000196451,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
03a935ae,12792.17,12179.95,12987.45,12692.17,12892.370000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.08999999999832653,0.1000000000003638,0.0007178750897343862,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
