stratifier,bucket,value_min,value_max,episodes,wells,episode_sse_fraction,current_prior_vs_actual_spearman,current_prior_sign_match_fraction,current_prior_sign_match_sse_fraction_within_group,position_effect_vs_actual_spearman,position_effect_sign_match_fraction,actual_abs_better_than_prior_fraction,viterbi_recoverable_fraction,viterbi_recoverable_sse_fraction_within_group,viterbi_mean_error_sign_matches_actual_fraction,viterbi_abs_mean_error_better_fraction,viterbi_abs_mean_error_better_sse_fraction_within_group,viterbi_abs_mean_error_within5_fraction,all_row_emission_truth_strong_sse_fraction_within_group,all_row_emission_candidate_strong_sse_fraction_within_group,imputed_emission_truth_strong_sse_fraction_within_group,imputed_emission_candidate_strong_sse_fraction_within_group,affine_observed_truth_strong_sse_fraction_within_group,affine_observed_candidate_strong_sse_fraction_within_group,pre128_error_slope_abs_median_ft_per_row,episode_error_slope_abs_median_ft_per_row,pre128_error_change_abs_median_ft,pre128_slope_sign_matches_actual_fraction,current_prior_abs_error_median_ft,actual_abs_error_median_ft,actual_to_current_prior_abs_ratio_median
rows_from_last_within5_to_episode_start,"(23.999, 127.25]",24.0,127.0,160,150,0.3841670632351477,0.658763037618657,0.7875,0.905808070805384,-0.5480428923004805,0.28125,0.81875,0.625,0.8878343703639792,0.74375,0.64375,0.8936066369377482,0.2,0.5654383324299735,0.39565526952978197,0.5317581147733134,0.22312325751244177,0.4623187516156654,0.4530697933672715,0.049605214818715396,0.0037710210997259,6.198999999999615,0.99375,38.109968130013115,16.582679411604662,0.5227518931448432
rows_from_last_within5_to_episode_start,"(127.25, 232.0]",128.0,232.0,160,148,0.27961531992578054,0.556199460916442,0.78125,0.7860532417520654,-0.35881284425172855,0.36875,0.7375,0.60625,0.8221452993607474,0.80625,0.6,0.7974375934155631,0.2,0.7030570616051106,0.23991530565792205,0.6641019541884603,0.24014463036036376,0.7438144748465131,0.1941123038973622,0.02934108622505085,0.0027957232066082,3.844500000000153,1.0,33.190949367315525,13.838901788980749,0.5092568563863984
rows_from_last_within5_to_episode_start,"(232.0, 597.0]",234.0,588.0,158,149,0.17385034089182527,0.6173263011535554,0.740506329113924,0.8435714303437984,-0.44627212831953317,0.33544303797468356,0.7848101265822784,0.6012658227848101,0.6932636329314293,0.7974683544303798,0.6012658227848101,0.6932636329314293,0.20253164556962025,0.4825816583548555,0.46360733692725686,0.4180069056104134,0.3557051875879757,0.4415627197188867,0.4817034457820825,0.0152781198498463,0.00210885417832115,1.956000000000131,0.9177215189873418,30.044498335067686,12.569866607903307,0.4912376451946856
rows_from_last_within5_to_episode_start,"(597.0, 4310.0]",600.0,4310.0,160,129,0.16236727594724648,0.6288380405484589,0.70625,0.8547226906919496,-0.5056310793390367,0.3125,0.89375,0.5875,0.84266184357018,0.75,0.58125,0.8172048136189968,0.25625,0.552348402655148,0.40849763432542885,0.45936481998,0.2726686819899539,0.5764431124463258,0.35506217254838357,0.0098501125881242,0.0025600799423817497,1.2002499999989604,0.8375,44.62874015173416,12.969086601921493,0.34164824998470744
start_suffix_fraction,"(0.011099999999999999, 0.269]",0.0120724346076458,0.2681318681318681,160,149,0.48028043415425925,0.6154869330833236,0.7625,0.8422266012063211,-0.2458543302472753,0.48125,0.5375,0.5625,0.8443869750028721,0.89375,0.5625,0.8305927941052105,0.1125,0.6090414121041172,0.3663594933143587,0.5806300290975852,0.2611591647701149,0.5426266651803796,0.41128561511805867,0.03112747064411155,0.0016088517336091,3.932500000001709,0.975,15.489729293973483,14.582670407612515,0.9405144620313731
start_suffix_fraction,"(0.269, 0.49]",0.2704830815067035,0.4886470257083881,159,145,0.29116288963177567,0.5451516598996896,0.6792452830188679,0.8726544059410716,-0.38082457606878434,0.3584905660377358,0.7924528301886793,0.6352201257861635,0.8240319340791752,0.7295597484276729,0.6352201257861635,0.8240319340791752,0.27672955974842767,0.5409168916330332,0.4090985874457857,0.48344269864799266,0.318802440776005,0.5679548341888456,0.37227842301467706,0.0244423311321211,0.0018421433048611,3.084000000002561,0.9308176100628931,29.41018149335489,13.141668885191194,0.5494185703871616
start_suffix_fraction,"(0.49, 0.773]",0.4910148896115009,0.771509167842031,159,148,0.17202153449854066,0.6423035586338668,0.7169811320754716,0.8156507880584831,-0.48449068545497975,0.3081761006289308,0.9119496855345912,0.610062893081761,0.844457754559848,0.7672955974842768,0.6163522012578616,0.8316718447747684,0.2389937106918239,0.642533986145759,0.2989931951341646,0.5871378377084857,0.1608505072572819,0.6236563072106452,0.26935451031077906,0.0215921620353449,0.0027739935953392,2.8879999999990105,0.89937106918239,46.22606240655327,14.011968493852311,0.3427843890253721
start_suffix_fraction,"(0.773, 0.977]",0.7730263157894737,0.9773538079727004,160,155,0.056535141715424383,0.7046320168756594,0.85625,0.9606289611210801,-0.652692487987812,0.15,0.99375,0.6125,0.664559930052061,0.70625,0.6125,0.664559930052061,0.23125,0.47498454982510574,0.34498486043413523,0.293752227958077,0.23089772269367037,0.4013119981186287,0.3089260948200713,0.0244938934890595,0.0107455451034639,3.094000000001868,0.94375,58.95362440154598,13.838218476224233,0.24700568204744852
episode_suffix_fraction,"(0.016399999999999998, 0.0706]",0.0173535791757049,0.0705558949297495,160,128,0.012197762041403382,0.4888140161725067,0.65625,0.7219066643522306,-0.32252431735614673,0.44375,0.83125,0.46875,0.4571389138045548,0.79375,0.46875,0.4571389138045548,0.16875,0.38105590177724796,0.27983218438462304,0.14674035715431083,0.1030471821531953,0.3111333316098637,0.18525232471613037,0.01895204275201525,0.0026945126778379,2.595499999999446,0.91875,31.24786737077797,11.229658282040349,0.36597577372424295
episode_suffix_fraction,"(0.0706, 0.152]",0.0706465067778936,0.15127229012222,159,142,0.0361919072506203,0.5675364222593743,0.7547169811320755,0.7810788456747063,-0.4469160496775734,0.33962264150943394,0.8176100628930818,0.5157232704402516,0.524392805487568,0.8050314465408805,0.5220125786163522,0.5322282011244927,0.2138364779874214,0.5161038466009498,0.32294491902296807,0.2509073997792863,0.15914576249583906,0.42748390994659663,0.2366664723390478,0.0229012758080024,0.0019758353500432,2.8879999999990105,0.9308176100628931,37.11781710900378,12.142083875162296,0.3576781946075672
episode_suffix_fraction,"(0.152, 0.369]",0.1520197856553998,0.367374681393373,159,142,0.14924342994405912,0.7345354669214236,0.8301886792452831,0.8591278235916121,-0.6190440649629807,0.25157232704402516,0.8113207547169812,0.6352201257861635,0.7155132446985518,0.7547169811320755,0.6477987421383647,0.7284715155344386,0.2389937106918239,0.545247862382852,0.3589545102981224,0.4775444854980261,0.20528526587826817,0.5225260598806798,0.3414358873247209,0.0277927963628461,0.0033818761955175,3.605999999999767,0.9559748427672956,40.71511349392311,15.17662373037871,0.4165656939353004
episode_suffix_fraction,"(0.369, 0.966]",0.3699314941677467,0.9655007187350264,160,160,0.8023669007639171,0.6478290167584672,0.775,0.857356862730676,-0.4656304933786476,0.2625,0.775,0.8,0.8686368688240552,0.74375,0.7875,0.854875032812546,0.2375,0.6015790616108373,0.3705707925259782,0.5671873958281383,0.27583696733351404,0.5716844955600278,0.3837943887099194,0.0294225545344275,0.00284652684469935,3.739499999997861,0.94375,35.57115879769609,22.101930891409925,0.6615431627714287
