variant,steps,true_rate,emission_sigma_ft,emission,position_kernel_kind,predictive_rmse_ft,filtered_rmse_ft,smoothed_rmse_ft,predictive_end_error_ft,filtered_end_error_ft,smoothed_end_error_ft,filtered_position_std_mean_ft,filtered_position_std_end_ft,smoothed_position_std_mean_ft,smoothed_position_std_end_ft,filtered_rate_edge_mass_mean,filtered_rate_edge_mass_max,smoothed_rate_edge_mass_mean,smoothed_rate_edge_mass_max,maximum_position_edge_mass,rate_transition_min_row_sum,rate_transition_max_row_sum
current,512,0.025,,neutral,gaussian,5.842123490945471,5.842123490945471,5.846654796329244,-10.377583798636499,-10.377583798636499,-10.377583796310514,1.7343177475329343,3.4084771183640203,1.7296286866577169,3.408477119622552,0.00014142920289485192,0.000277563657043378,6.252321463674377e-05,0.0002775636587258844,0.0,0.9400000000000002,1.0
position_sigma_phase_minimax,512,0.025,,neutral,gaussian,2.3310799706139558,2.3310799706139558,2.341310390610105,-4.943177173901817,-4.943177173901819,-4.943177162715904,5.520590818558158,10.636179843725797,5.512360315804134,10.636179842536839,0.00014142920289484949,0.0002775636570432559,6.25232146299908e-05,0.00027756365650169414,1.283896754306047e-15,0.9400000000000002,1.0
rate_boundary_row_normalized,512,0.025,,neutral,gaussian,5.828354285320202,5.828354285320202,5.828354285267636,-10.339117891188344,-10.339117891188344,-10.339117893137544,1.7504224835443405,3.4736164572331236,1.7504224836023652,3.4736164575216537,0.00029928436061074697,0.0006453164501443073,0.00029928436072044443,0.0006453164504055834,0.0,1.0,1.0
momentum_one,512,0.025,,neutral,gaussian,5.232943836798623,5.232943836798623,5.320425147167008,-9.23449980265779,-9.23449980265779,-9.234499804385015,2.081984911963638,4.389247295108456,2.017958239904713,4.38924729565834,0.0020857515743343785,0.0044210670803384415,0.0004797665457135504,0.004421067103595351,0.0,0.9200000000000002,1.0
position_sigma_plus_boundary_normalized,512,0.025,,neutral,gaussian,2.2981601812609447,2.2981601812609447,2.298160181689965,-4.8556159038231375,-4.8556159038231375,-4.855615897493521,5.544338188778423,10.737782404308625,5.544338188702962,10.737782400210948,0.000299284360610672,0.0006453164501395658,0.00029928436057320696,0.0006453164483994976,1.9329434157878272e-14,1.0,1.0
position_sigma_plus_momentum_one,512,0.025,,neutral,gaussian,0.7079280091945377,0.7079280091945376,0.8780826490010778,-1.8802880346530255,-1.8802880346530255,-1.8802880295169508,6.197143362952733,12.70183586556438,6.091190288495904,12.701835862017575,0.0020857515743343104,0.004421067080334328,0.0004797665457505715,0.004421067081598438,1.9178570813708704e-14,0.9200000000000002,1.0
boundary_normalized_plus_momentum_one,512,0.025,,neutral,gaussian,4.980178499717315,4.980178499717315,4.980178499586033,-8.486838428494229,-8.486838428494229,-8.486838430823791,2.284406870878721,5.2074247348999565,2.284406870832378,5.20742473465171,0.007738223039598935,0.020599315554550655,0.007738223034286797,0.02059931554908159,0.0,1.0,1.0
all_three_transition_corrections,512,0.025,,neutral,gaussian,0.10714864961842654,0.10714864961842639,0.10714864992733565,-0.2794823840638472,-0.2794823840638472,-0.27948238454535,6.479596553013996,13.905765063066687,6.479596552435377,13.905765063292764,0.007738223039567101,0.020599315552470382,0.007738223038548628,0.0205993155139569,3.4841042811234457e-12,1.0,1.0
exact_mean_transport,512,0.025,,neutral,exact_mean,2.300498367700746,2.300498367700746,2.3107493126342376,-4.894388537928245,-4.894388537928245,-4.8943885341815285,4.391376078742862,9.510535950180321,4.3806374795238945,9.510535953025748,0.0001414292028948521,0.00027756365704337857,6.252321459573534e-05,0.0002775636574764948,2.0223429465015375e-24,0.9400000000000002,1.0
exact_mean_transport_plus_boundary_normalized,512,0.025,,neutral,exact_mean,2.267382515889079,2.267382515889079,2.267382515935265,-4.806388792033647,-4.806388792033645,-4.806388793490763,4.419538894532273,9.626213010615734,4.419538894502662,9.626213008772186,0.00029928436061074697,0.0006453164501443076,0.0002992843605875837,0.0006453164504007528,5.539081887971195e-22,1.0,1.0
exact_mean_transport_plus_momentum_one,512,0.025,,neutral,exact_mean,0.6720550129853935,0.6720550129853935,0.8394969668537646,-1.8144421614930337,-1.8144421614930302,-1.8144421661348655,5.214889438354755,11.832833082684363,5.081642315718069,11.832833086596734,0.0020857515743343807,0.00442106708033845,0.0004797665458182178,0.004421067077813455,4.6412978457476527e-23,0.9200000000000002,1.0
exact_mean_all_transition_corrections,512,0.025,,neutral,exact_mean,0.0679480194190223,0.06794801941902219,0.06794801941773491,-0.20598261804665263,-0.20598261804665263,-0.20598262797552458,5.533390935724303,13.141555557069754,5.5333909355195185,13.141555557696146,0.007738223039598935,0.020599315554550655,0.007738223038729771,0.020599315482371358,4.57496226010216e-19,1.0,1.0
current,512,0.025,10.0,gaussian_10ft,gaussian,1.2619931051323627,1.2496769919961561,0.3252734514517379,-0.7900183626212591,-0.7803666702898582,-0.7803666744054887,0.9955328561804273,1.1784889791607647,0.7324279843358615,1.1784889778386665,0.0011550250837334087,0.0022603724490737483,0.0009192808395277246,0.002180025328618832,0.0,0.9400000000000002,1.0
position_sigma_phase_minimax,512,0.025,10.0,gaussian_10ft,gaussian,0.20466221713966434,0.19893768997794117,0.04437001803979369,-0.24750340499385715,-0.24047642166269867,-0.24047642365149358,1.5928716237749565,1.6849583171541362,1.0928452235356838,1.6849583165664586,2.8726720517273424e-05,4.240400605654834e-05,1.935615552841218e-06,4.2375309682613815e-05,0.0,0.9400000000000002,1.0
rate_boundary_row_normalized,512,0.025,10.0,gaussian_10ft,gaussian,1.2463953400033967,1.2342765100463307,0.3207026283018818,-0.7362838153499851,-0.7272912880978595,-0.7272912866646415,1.0081571799951488,1.2047378802611062,0.7372266972369739,1.204737880724245,0.0024702669837795266,0.00500056427673264,0.00340572116190193,0.005774711977420656,0.0,1.0,1.0
momentum_one,512,0.025,10.0,gaussian_10ft,gaussian,0.9829812758343774,0.9737158406180552,0.2966482274660341,-0.31874591942986896,-0.3149803667048907,-0.31498036959282416,1.0404098006436322,1.2175298324301242,0.733450914736683,1.2175298333629054,0.008533405069575098,0.01570890688908998,0.0021232286718212037,0.015270161970742484,0.0,0.9200000000000002,1.0
