well,suffix_rows,posterior_mean_rmse_ft,persistent_episodes,persistent_rows,persistent_row_fraction,has_persistent_episode,top1_joint_path_log_probability,top5_joint_path_log_mass,top1_joint_path_log10_probability,top5_joint_path_log10_mass,top1_surprisal_nats_per_row,top5_surprisal_nats_per_row,top5_vs_top1_log_mass_gain
000d7d20,3836,6.701227791836168,2,513,0.13373305526590198,True,-824.073545724532,-822.4744805488605,-357.8905935906113,-357.1961284086135,0.2148262632232878,0.21440940577394693,1.5990651756715124
00bbac68,6014,4.224995442776048,1,295,0.049052211506484866,True,-1348.8320719193216,-1347.2241714650947,-585.7903258486914,-585.092023553971,0.2242820206051416,0.22401466103510057,1.607900454226865
00e12e8b,4301,7.555206391396678,2,1130,0.26272959776796095,True,-952.0677595208174,-950.4634191165587,-413.4777743578831,-412.78101817321914,0.22135962788207797,0.22098661221031357,1.6043404042586644
015fe0d2,4296,7.181338219795383,1,858,0.19972067039106145,True,-961.5225316383752,-959.9141432903992,-417.58392971619116,-416.8854155319077,0.22381809395679125,0.22344370188324006,1.6083883479759606
01869cd4,5557,7.35219209942589,2,840,0.1511606982184632,True,-1254.2402527622787,-1252.6317180103995,-544.7096207555974,-544.0110429889066,0.2257045623110093,0.22541510131552986,1.6085347518792332
01982c1d,3941,2.7265740763566746,0,0,0.0,False,-856.7883226174459,-855.1791288359508,-372.0984406718998,-371.39957669228346,0.2174037865053149,0.2169954653224945,1.6091937814951507
028d7b28,6234,28.19060949233911,1,4839,0.7762271414821944,True,-1512.997561952773,-1511.3881972807383,-657.0864922891626,-656.3875540927279,0.24270092427859688,0.2424427650434293,1.6093646720346442
02e7fe5a,5108,6.830467428356592,1,652,0.12764291307752546,True,-1099.6393008148757,-1098.035825886745,-477.5672804278505,-476.8709001146931,0.21527785842107983,0.21496394398722493,1.6034749281307086
0390d174,4411,3.8650828831850546,0,0,0.0,False,-975.346331399828,-974.3216167717693,-423.58752967152566,-423.1425017630342,0.22111682870093585,0.22088451978503046,1.0247146280587458
03a935ae,2786,1.1780829861111344,0,0,0.0,False,-749.2434281230774,-747.6340268312899,-325.39228643612813,-324.69333233593693,0.2689315965983767,0.26835392204999636,1.6094012917874352
044af7d1,4519,2.0694637833980973,0,0,0.0,False,-1002.2065823059344,-1000.6014328717456,-435.25278842258444,-434.5556808806861,0.22177618550695605,0.22142098536661775,1.6051494341887746
0498acab,4798,4.790759203860665,1,278,0.05794080867027928,True,-1016.3343197372492,-1014.7442384152965,-441.3883868307825,-440.69782328688103,0.21182457685228204,0.21149317182478045,1.5900813219526526
