episode_id,well,start_row_idx,end_row_idx_exclusive,start_suffix_offset,rows,suffix_rows,start_suffix_fraction,episode_suffix_fraction,rows_from_last_within5_to_episode_start,rows_from_episode_end_to_next_within5,pre128_error_slope_ft_per_row,pre128_error_start_ft,pre128_error_end_ft,prefix_init_rate,episode_true_rate_median,episode_candidate_rate_median,episode_true_minus_init_rate_median,pre128_true_minus_init_rate_median,mean_error_ft,rmse_ft,error_std_ft,error_slope_ft_per_row,error_sign_consistency,map_rmse_ft,viterbi_rmse_ft,rowwise_oracle_decoder_rmse_ft,posterior_mean_to_map_rmse_ft,posterior_mean_to_viterbi_rmse_ft,fraction_map_improves_mean,fraction_viterbi_improves_mean,mean_truth_minus_candidate_nll,total_truth_minus_candidate_nll,observed_total_truth_minus_candidate_nll,imputed_total_truth_minus_candidate_nll,observed_mean_truth_minus_candidate_nll,observed_longest_candidate_favoring_run,observed_longest_truth_favoring_run,observed_adjacent_sign_persistence,observed_advantage_lag1_correlation,observed_advantage_positive_sequence_iat_lag20,affine_observed_total_truth_minus_candidate_nll,affine_observed_mean_truth_minus_candidate_nll,observed_truth_emission_cap_fraction,observed_candidate_emission_cap_fraction,imputed_mean_truth_minus_candidate_nll,reference_candidate_truth_gr_corr_observed,raw_candidate_gr_corr_observed,raw_truth_gr_corr_observed,raw_candidate_gr_rmse_observed,raw_truth_gr_rmse_observed,reference_candidate_truth_gr_rmse_observed,median_truth_minus_candidate_nll,fraction_gr_favors_candidate,fraction_gr_favors_truth,mean_map_nll_advantage,mean_viterbi_nll_advantage,posterior_std_mean,marginal_mode_mass_mean,marginal_mode_gap_mean,true_rate_outside_fraction,raw_gr_missing_fraction,prefix_sigma_gr,prefix_cal_a,prefix_cal_b,rate_span,emission_evidence_class,observed_emission_evidence_class,affine_observed_emission_evidence_class,viterbi_recovery_class,episode_sse,viterbi_rmse_gain_ft,cause_bucket,episode_start_suffix_index,episode_end_suffix_index_exclusive,truth_episode_rows,truth_episode_out_of_grid_fraction,truth_episode_local_illegal_fraction,truth_episode_dynamic_break_fraction,truth_episode_best_position_nll_median,truth_episode_best_position_nll_p90,truth_episode_support_rate_count_median,truth_episode_conditioned_transition_nll_mean,truth_episode_conditioned_transition_nll_median,truth_episode_conditioned_transition_nll_p90,truth_episode_conditioned_rate_edge_mass_mean,posterior_mean_episode_rows,posterior_mean_episode_out_of_grid_fraction,posterior_mean_episode_local_illegal_fraction,posterior_mean_episode_dynamic_break_fraction,posterior_mean_episode_best_position_nll_median,posterior_mean_episode_best_position_nll_p90,posterior_mean_episode_support_rate_count_median,posterior_mean_episode_conditioned_transition_nll_mean,posterior_mean_episode_conditioned_transition_nll_median,posterior_mean_episode_conditioned_transition_nll_p90,posterior_mean_episode_conditioned_rate_edge_mass_mean,marginal_map_episode_rows,marginal_map_episode_out_of_grid_fraction,marginal_map_episode_local_illegal_fraction,marginal_map_episode_dynamic_break_fraction,marginal_map_episode_best_position_nll_median,marginal_map_episode_best_position_nll_p90,marginal_map_episode_support_rate_count_median,marginal_map_episode_conditioned_transition_nll_mean,marginal_map_episode_conditioned_transition_nll_median,marginal_map_episode_conditioned_transition_nll_p90,marginal_map_episode_conditioned_rate_edge_mass_mean,global_viterbi_episode_rows,global_viterbi_episode_out_of_grid_fraction,global_viterbi_episode_local_illegal_fraction,global_viterbi_episode_dynamic_break_fraction,global_viterbi_episode_best_position_nll_median,global_viterbi_episode_best_position_nll_p90,global_viterbi_episode_support_rate_count_median,global_viterbi_episode_conditioned_transition_nll_mean,global_viterbi_episode_conditioned_transition_nll_median,global_viterbi_episode_conditioned_transition_nll_p90,global_viterbi_episode_conditioned_rate_edge_mass_mean,truth_pre16_rows,truth_pre16_any_local_illegal,truth_pre16_any_dynamic_break,truth_pre16_conditioned_transition_nll_mean,truth_episode_minus_pre16_conditioned_transition_nll,truth_pre64_rows,truth_pre64_any_local_illegal,truth_pre64_any_dynamic_break,truth_pre64_conditioned_transition_nll_mean,truth_episode_minus_pre64_conditioned_transition_nll,truth_pre128_rows,truth_pre128_any_local_illegal,truth_pre128_any_dynamic_break,truth_pre128_conditioned_transition_nll_mean,truth_episode_minus_pre128_conditioned_transition_nll,truth_pre256_rows,truth_pre256_any_local_illegal,truth_pre256_any_dynamic_break,truth_pre256_conditioned_transition_nll_mean,truth_episode_minus_pre256_conditioned_transition_nll,truth_pre512_rows,truth_pre512_any_local_illegal,truth_pre512_any_dynamic_break,truth_pre512_conditioned_transition_nll_mean,truth_episode_minus_pre512_conditioned_transition_nll,truth_rows_since_last_dynamic_break,truth_last_dynamic_break_excess_cells,truth_dynamic_break_sign_matches_offset,truth_ring_000_016_rows,truth_ring_000_016_transition_nll_mean,truth_ring_016_064_rows,truth_ring_016_064_transition_nll_mean,truth_ring_064_128_rows,truth_ring_064_128_transition_nll_mean,truth_ring_128_256_rows,truth_ring_128_256_transition_nll_mean,truth_ring_256_512_rows,truth_ring_256_512_transition_nll_mean,truth_pre_crescendo_near_minus_far_nll,truth_pre_ring_crescendo_spearman,truth_pre_ring_crescendo_eligible,truth_pre_ring_strict_increase
000d7d20:000,000d7d20,4499,4741,3057,242,3836,0.7969238790406674,0.0630865484880083,603,,0.0063845807201044,9.144000000000233,9.99499999999898,0.0200000000004365,0.0200000000004365,0.0200000000004365,0.0,-1.8189894035458565e-12,10.309940082644417,10.311011934561275,0.1486694553265787,9.154519333072557e-05,1.0,10.342222853712926,7.442477843284081,7.442477843284081,0.1041385708976649,2.896861904018084,0.4669421487603306,1.0,0.1548398354129556,37.47124016993527,22.26115738000702,15.210082789928256,0.1624901998540658,29,3,0.9382716049382716,0.8944892394671793,24.41340914546933,15.74327434754561,0.1149144112959533,0.0,0.0,0.14485793133265,-0.9679810418024216,0.7315345443331515,-0.7045484832932009,6.351575210063866,26.58810466761132,23.79646312905817,0.165238976670928,0.9421487603305784,0.0578512396694214,0.1551104502724941,0.1552105697172949,1.5893865458677685,0.3625021440909091,0.0754258795458677,0.0,0.4338842975206611,45.28966618016938,0.83583176424522,15.573486498498134,0.1,candidate_strong,candidate_strong,candidate_strong,partial_recovery,25728.70604174894,2.868534091277194,candidate_gr_with_opposed_prior,3057,3299,242,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.1177990187939448,0.0786806194801146,0.0844634462464098,0.0376644409380546,242,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,242,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,242,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.1067616273737181,0.0786806194801146,0.0844634462464098,0.0373726750246995,16,False,False,0.0760225567277796,0.0417764620661652,64,False,False,0.1307759883461706,-0.0129769695522257,128,False,False,0.1032368361774671,0.0145621826164776,256,False,False,0.1159816122441985,0.0018174065497462,512,False,False,0.1333305519236746,-0.0155315331297298,,,False,16,0.0760225567277796,48,0.1490271322189676,64,0.07569768400876359,128,0.12872638831092992,256,0.1506794916031507,-0.07465693487537109,-0.49999999999999994,True,False
000d7d20:001,000d7d20,5007,5278,3565,271,3836,0.9293534932221064,0.0706465067778936,1111,,0.0039736970106209,9.479999999999563,9.99200000000019,0.0200000000004365,0.0200000000004365,0.0229999999974097,0.0,-1.8189894035458565e-12,10.182964944649308,10.18317089464546,0.0647642308507138,0.0006585021585503,1.0,10.459058627918846,6.419727552342504,6.419727552342504,0.3356539921633604,3.7878805745953934,0.1107011070110701,1.0,0.1213513606351635,32.886218732129315,24.04353316039378,8.842685571735537,0.1252267352103842,15,3,0.8686131386861314,0.9318101419037268,31.006078170692973,17.527636893107232,0.0912897754849335,0.0,0.0,0.111932728756146,0.1968299198112069,-0.1843744389794956,-0.4533694941627188,8.717956846556115,24.28417951797824,21.45207120190845,0.0604743001489875,0.8228782287822878,0.1771217712177121,0.12417449949551,0.1223397420100287,1.8656523837638377,0.2135455069741697,0.0239466796380811,0.0,0.2915129151291513,45.28966618016938,0.83583176424522,15.573486498498134,0.1,candidate_strong,candidate_strong,candidate_strong,partial_recovery,28101.87872624924,3.7634433423029545,candidate_gr_with_opposed_prior,3565,3836,271,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.1165604882875445,0.0780658243675984,0.0786806194812168,0.0378454987363225,271,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,271,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,271,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.0769812350963736,0.0780658243675984,0.0786806194812168,0.0366126985063088,16,False,False,0.2949730984082418,-0.1784126101206972,64,False,False,0.1809011782511551,-0.0643406899636105,128,False,False,0.1292906355270804,-0.0127301472395358,256,False,False,0.12981690836471,-0.0132564200771655,512,False,False,0.1227717695614667,-0.0062112812739222,,,False,16,0.2949730984082418,48,0.14287720486545952,64,0.0776800928030057,128,0.1303431812023396,256,0.1157266307582234,0.17924646765001842,0.7,True,False
00bbac68:000,00bbac68,6171,6466,4626,295,6014,0.7692051878949119,0.0490522115064848,114,281.0,0.0458513536325762,4.385000000000218,9.980999999999767,0.0300000000006548,0.0300000000006548,0.0249999999978172,0.0,-0.0100000000020372,10.797291525423608,10.80902461175959,0.5034965468005437,-0.0029927007862244,1.0,10.729280766409788,24.783553041496948,10.720395981240998,0.1144419325214587,13.983002939136853,0.7966101694915254,0.0,0.0980161700016095,28.91477015047481,24.44551295769132,4.469257192783489,0.0973924819031526,19,6,0.832579185520362,0.8161282158652177,18.270375726205547,15.650350493240248,0.0623519939969731,0.0,0.0,0.1015740271087156,-0.5672540027519062,0.36670472335984,-0.2502812933947924,8.241833383970697,14.5088304357732,9.79344080849367,0.034242976243355,0.7254237288135593,0.2745762711864407,0.1041340133686951,0.0820356123333755,0.3022511587457627,0.4952020124745763,0.1919072936033898,0.0,0.1491525423728813,27.055095248480068,0.8118441359944655,15.740553190445189,0.1,candidate_strong,candidate_strong,candidate_strong,not_better,34466.32885199924,-13.974528429737358,candidate_gr_with_opposed_prior,4626,4921,295,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.1710908248716979,0.0844634462446262,0.104799843295045,0.0387882572664265,295,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,295,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,295,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.0854468752770888,0.0844634462446262,0.1047998432919352,0.0362786414902064,16,False,False,0.267645167868694,-0.096554342996996,64,False,False,0.3765050681753226,-0.2054142433036246,128,False,False,0.3768009577121434,-0.2057101328404454,256,False,False,0.3927926858133902,-0.2217018609416922,512,False,False,0.4339599653763552,-0.2628691405046572,1615.0,-24.0,True,16,0.267645167868694,48,0.4127917016108655,64,0.3770968472489642,128,0.40878441391463705,256,0.4751272449393201,-0.2074820770706261,-0.7,True,False
00e12e8b:000,00e12e8b,2293,3226,210,933,4301,0.0488258544524529,0.2169262962101836,128,359.0,-0.0384342825833173,-4.9870000000009895,-9.983000000000176,0.0400000000008731,0.0499999999992724,0.0479999999988649,0.0099999999983992,0.0099999999983992,-13.282504823151212,13.322539682836474,1.0320509792240649,-0.0004673781681272,1.0,13.25849592318684,13.28412067301102,13.059073829672824,0.2324049426173601,0.3946544603834093,0.7384780278670954,0.3858520900321543,0.0876018879158739,81.73256142551034,75.024914056739,6.7076473687713625,0.0881608860831245,42,14,0.9356499356499356,0.7874377150217363,24.925186869758605,-22.525654085096043,-0.0264696287721457,0.0,0.0,0.0818005776679434,0.569711778407173,0.7359471884324443,0.7439796046022338,4.924316449466447,13.371562721303864,14.25936266824722,0.0824991282014015,0.8917470525187567,0.1082529474812433,0.0909699034383899,0.0770557396951483,3.154678644694534,0.3001473271275455,0.0931381124855091,0.0,0.0878885316184351,29.60610319286587,1.3073291123727897,-21.661002590795466,0.1,candidate_strong,candidate_strong,truth_strong,partial_recovery,165598.22933950217,0.0384190098254535,prior_and_wrong_gr_reinforce,210,1143,933,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.217517344446283,0.1047998432919352,0.1385804819070823,0.0388741206551852,933,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,933,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,933,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.103291774368757,0.1047998432919352,0.1347340245494455,0.0357813238268231,16,False,False,0.3105089301167875,-0.0929915856705045,64,False,False,0.3644591727486672,-0.1469418283023841,128,False,False,0.3844745842461616,-0.1669572397998786,210,False,False,0.4139190914662372,-0.1964017470199541,210,False,False,0.4139190914662372,-0.1964017470199541,,,False,16,0.3105089301167875,48,0.3824425869592938,64,0.404489995743656,82,0.45988124907806255,0,,,,False,False
00e12e8b:001,00e12e8b,4077,4274,1994,197,4301,0.4636131132294815,0.0458033015577772,83,94.0,0.0638345741393436,2.965000000000145,9.979999999999563,0.0400000000008731,0.0299999999988358,0.0310000000008585,-0.0100000000020372,-0.0200000000022555,11.110842639593868,11.121923500239374,0.4963448230409823,0.0005908643568167,1.0,10.785604172347696,13.823666383672816,10.785604172347696,0.3570850826876079,2.705335930714118,1.0,0.0,0.0571697363293964,11.262438056891105,10.614765459953183,0.6476725969379195,0.0576889427171368,47,8,0.8830409356725146,0.9229633976782342,24.67443089858268,-13.11539565630762,-0.0712793242190631,0.0,0.0,0.0498209689952245,0.7913046052846632,0.8358725445563698,0.5515561791693544,7.228240106223899,12.384612812012714,11.009364776080236,0.0460218554354928,0.7258883248730964,0.2741116751269035,0.0623343602466422,0.0527340703864323,0.6759299342639594,0.259329188680203,0.0332761566940609,0.0,0.065989847715736,29.60610319286587,1.3073291123727897,-21.661002590795466,0.1,candidate_strong,candidate_strong,truth_strong,not_better,24368.34492199984,-2.701742883433443,candidate_gr_with_opposed_prior,1994,2191,197,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.2939217346433193,0.085474048660735,0.2106490061814891,0.0419642763904284,197,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,197,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,197,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.0900970400324386,0.083331621760263,0.1186162479543056,0.0361954380609595,16,False,False,0.2787242356777554,0.0151974989655638,64,False,False,0.5132607978561463,-0.2193390632128269,128,False,False,0.5161396056582709,-0.2222178710149515,256,False,False,0.4176116007864585,-0.1236898661431391,512,False,False,0.3685177336949096,-0.0745959990515902,,,False,16,0.2787242356777554,48,0.5914396519156099,64,0.5190184134603955,128,0.3190835959146461,256,0.3194238666033607,-0.0406996309256053,-0.09999999999999999,True,False
015fe0d2:000,015fe0d2,5092,5950,3438,858,4296,0.8002793296089385,0.1997206703910614,226,,0.0233111609595295,7.059000000001106,9.997999999999593,-0.0399999999990541,-0.0499999999992724,-0.0470000000022992,-0.0100000000002182,-0.0100000000020372,14.42931468531457,14.513136522083064,1.5575652220008736,0.0037062138364783,1.0,15.54406810173351,23.537166379168177,14.513136522083064,1.0495041321374916,37.91715867094298,0.0,0.0,0.1455974658908668,124.92262573436376,83.30608045110488,41.61654528325889,0.1409578349426478,23,23,0.8780487804878049,0.8102552364426917,27.219040375586523,195.2223469574413,0.3303254601648753,0.0,0.0,0.1558672107987224,-0.4969494117883798,-0.3828068088130872,0.4797212406835324,9.60940381085769,16.99776014239743,17.898705161014597,0.1241082017084176,0.8333333333333334,0.1666666666666666,0.1806107061344739,0.1722454224721199,4.030278731934732,0.2767720656876457,0.0521392545932167,0.0,0.3111888111888112,26.40666775000396,0.8476846554521483,2.640894421049974,0.1,candidate_strong,candidate_strong,candidate_strong,not_better,180721.51100599708,-9.024029857085113,prior_and_wrong_gr_reinforce,3438,4296,858,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.2047881459758554,0.1024524894492411,0.1215136818726016,0.0390307693518429,858,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,858,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,858,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.1104126462033488,0.102452489447937,0.1215136818720999,0.0362821066870664,16,False,False,0.348040549684354,-0.1432524037084986,64,False,False,0.222008462535489,-0.0172203165596336,128,False,False,0.2584517441743759,-0.0536635981985204,256,False,False,0.2571998339975451,-0.0524116880216897,512,False,False,0.2674556736673943,-0.0626675276915389,,,False,16,0.348040549684354,48,0.17999776681920068,64,0.29489502581326277,128,0.2559479238207143,256,0.27771151333724353,0.07032903634711046,0.3,True,False
01869cd4:000,01869cd4,4939,5302,3646,363,5557,0.6561094115529962,0.0653230160158358,112,137.0,0.046948761673687,4.0900000000001455,9.97900000000118,-0.0399999999990541,-0.0400000000008731,-0.0390000000006693,-1.8189894035458565e-12,-0.0100000000020372,11.8943209366389,11.926905883326125,0.8810297418094271,-0.0003845293330476,1.0,10.829295195802423,7.30914938531488,7.2947743097465425,1.1082925139914186,19.135083294990714,1.0,1.0,0.0421358114211657,15.295299545883177,8.688897082564708,6.606402463318466,0.0430143419928945,14,5,0.9270833333333334,0.7843537396413992,8.313107505154225,9.34144199604528,0.0462447623566598,0.0,0.0,0.0410335556727855,0.5436610685587169,-0.0525173796294977,0.1686967153092666,7.046838986732579,14.765129016591354,12.5054740362402,0.0384714464926687,0.8347107438016529,0.1652892561983471,0.0430587272358347,0.0384992866828662,3.0149804730027543,0.1604844855096418,0.0087993964564462,0.0,0.443526170798898,44.23706787228067,0.9324021953874878,7.09920951175561,0.1,candidate_strong,candidate_strong,candidate_strong,partial_recovery,51637.1434737481,4.617756498011243,prior_and_wrong_gr_reinforce,3646,4009,363,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.2585413400297903,0.094892646048385,0.1385804819077512,0.0402198094490605,363,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,363,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,363,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.1004288377754993,0.0933902944735216,0.1347340245501754,0.0359270030797463,16,False,False,0.516485860676595,-0.2579445206468047,64,False,False,0.4963484958547857,-0.2378071558249954,128,False,False,0.5657269380930591,-0.3071855980632688,256,False,False,0.4896585612317244,-0.2311172212019341,512,False,False,0.4218458470902101,-0.1633045070604198,,,False,16,0.516485860676595,48,0.4896360409141826,64,0.6351053803313325,128,0.41359018437038975,256,0.3540331329486958,0.16245272772789915,0.7,True,False
01869cd4:001,01869cd4,6373,6850,5080,477,5557,0.9141623177973728,0.0858376822026273,113,,0.043542121120217,4.460999999999331,9.96099999999933,-0.0399999999990541,-0.0599999999994906,-0.0239999999994324,-0.0200000000004365,-0.0100000000002182,19.525186582809127,20.03623920225593,4.49643973344556,0.0318860023917993,1.0,19.35067090220449,10.231886280320785,8.951593208116154,1.1084905817362225,29.233825567979203,0.9035639412997905,0.8322851153039832,0.0294783340605052,14.06116534686099,8.150658821464559,5.910506525396431,0.0311093848147502,9,7,0.9215686274509804,0.9287414435844944,24.22855884927037,8.934490806296646,0.0341011099476971,0.0,0.0,0.0274907280250996,-0.2400887254013465,0.5476272843057919,0.1223407753688785,6.84287513864254,12.983912400005114,14.847956828661372,0.0116978675025021,0.7044025157232704,0.2955974842767295,0.0300858280300702,0.0279084483847164,7.781682554716981,0.1314222219266247,0.0125822564651209,0.0,0.450733752620545,44.23706787228067,0.9324021953874878,7.09920951175561,0.1,candidate_strong,candidate_strong,candidate_strong,partial_recovery,191492.0704134984,9.804352921935152,prior_and_wrong_gr_reinforce,5080,5557,477,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.3723949397505215,0.0854740486625569,0.1580021456923373,0.0442490873668789,477,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,477,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,477,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.1040398713774883,0.085474048660735,0.1347340245501754,0.0363057205459678,16,False,False,0.3096926830763774,0.0627022566741441,64,False,False,0.4734694723452272,-0.1010745325947056,128,False,False,0.4682612247028885,-0.0958662849523669,256,False,False,0.3556720706197584,0.0167228691307631,512,False,False,0.2873192867576357,0.0850756529928858,,,False,16,0.3096926830763774,48,0.5280617354348438,64,0.4630529770605498,128,0.24308291653662834,256,0.21896650289551295,0.09072618018086442,0.7,True,False
028d7b28:000,028d7b28,2494,7333,967,4839,6234,0.1551170997754251,0.7762271414821944,262,,0.0179094688472794,7.470999999999549,9.99199999999837,-0.0300000000006548,-0.0499999999992724,-0.0395000000007712,-0.0199999999986175,-0.0399999999990541,29.297103223806428,31.84499602462645,12.481326632297773,-0.0014130881987872,1.0,32.28561250586503,13.42496969233646,12.340931563213246,2.239499976110795,41.08121340192704,0.3957429220913412,0.7803265137425088,0.0329635719706716,159.51072476607996,141.5346616354832,17.976063130596696,0.0383770774499683,38,13,0.7345807345807346,0.94420704520688,16.036591518203924,141.3472200901642,0.0383262527359447,0.0,0.0,0.0156177785669823,0.6581955068347823,0.8133629532753095,0.6458750554181037,9.182598637187477,11.96082699780182,10.425850283039118,0.0073156918602832,0.5875180822483984,0.4124819177516016,0.0517199256420681,0.0405951427454875,1.7160933255926845,0.3058762096433147,0.1067175718925625,0.0010332713370531,0.2378590617896259,27.664364576319123,0.7597053682027307,13.27675829652338,0.1,candidate_strong,candidate_strong,candidate_strong,large_recovery,4907248.151781209,18.42002633229,prior_and_wrong_gr_reinforce,967,5806,4839,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.2415239371530945,0.0948926460508544,0.1733644433841373,0.0395859382310642,4839,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,4839,0.0,0.0012399256044637,0.0012399256044637,0.0332025737602601,0.0332025737602601,41.0,,,,,4839,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.1421239628952911,0.0933902944735216,0.1580021456923373,0.0371384497740525,16,False,False,0.3971421822640116,-0.155618245110917,64,False,False,0.1990374339549829,0.0424865031981116,128,False,False,0.1910841781692081,0.0504397589838864,256,False,False,0.2428789026856888,-0.0013549655325943,512,False,False,0.3314652978567368,-0.0899413607036422,,,False,16,0.3971421822640116,48,0.13300251785197334,64,0.18313092238343331,128,0.2946736272021695,256,0.4200516930277848,-0.022909510763773178,-0.39999999999999997,True,False
02e7fe5a:000,02e7fe5a,6236,6888,4456,652,5108,0.8723570869224746,0.1276429130775254,375,,-0.0020205047724774,-9.527000000000044,-9.975500000000466,0.0300000000006548,0.0200000000004365,0.011000000000422,-0.0100000000002182,-0.0300000000006548,-16.350089723926477,16.722630599094174,3.5101196807679544,-0.0178790389688162,1.0,21.359503502496672,13.93811253836606,13.93811253836606,4.789062679280765,3.11634006682049,0.0,1.0,-0.0131304216202011,-8.561034896371158,-3.8120178382893095,-4.749017058081851,-0.0142239471577959,3,14,0.8110236220472441,0.6762704115996159,16.710545899121687,-4.062342457223233,-0.0151579942433702,0.0,0.0,-0.0123672319220881,-0.7154408556629247,-0.535592529746094,0.5441400167127943,12.42643162438419,10.518520728567715,11.636735323832417,-0.0051225056906396,0.4493865030674847,0.5506134969325154,0.0095797918169211,-0.0066243816964106,7.1712915819018415,0.0870278378251533,0.0075890495876355,0.0,0.588957055214724,39.22812597108573,1.0125173937059184,3.476189958748242,0.1,truth_strong,near_tie,near_tie,partial_recovery,182329.435948252,2.7845180607281126,prior_aligned_gr_ambiguous,4456,5108,652,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.2818142178470739,0.074501708092126,0.0975180625750957,0.0430236702053722,652,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,652,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,,,,,652,0.0,0.0,0.0,0.0332025737602601,0.0332025737602601,41.0,0.0753070657221346,0.0742211065937422,0.0780658243677175,0.0366934392995365,16,False,False,0.2700406847963401,0.0117735330507338,64,False,False,0.1719745771033164,0.1098396407437574,128,False,False,0.1228428030089709,0.1589714148381029,256,False,False,0.1744828663126535,0.1073313515344203,512,False,False,0.1877241336253768,0.094090084221697,,,False,16,0.2700406847963401,48,0.13928587453897517,64,0.07371102891462539,128,0.22612292961633612,256,0.20096540093810009,0.06907528385824,0.19999999999999998,True,False
