well,top1_rate_switch_rate,top1_grid_edge_rate,top1_rate_path_sha256,top1_tvt_path_sha256,rows,top5_unique_rate_path_hashes,top5_unique_tvt_path_hashes,top1_rate_switch_count,has_persistent_offset_episode
000d7d20,0.0,0.0,39758655b841b3ba2e1c07e4766d9c17e354c4572b0122afd8afa309d6ab2dbb,02faf03da52df35b1c16b7fe6e4ce9cf0aa0c4818526a565294b3c10bd687ace,3836,1,5,0,True
00bbac68,0.0,0.0,c147342797f54fc18cf764f9355cd83614b8f7d317e3d5a31b4a59df2bda109e,f9b8e37010e64227882a43e3de7b33d77477cc93cb6d1bbc0f009aeb1dc89409,6014,1,5,0,True
00e12e8b,0.0,0.0,8a95a7f4927200473d190a04c63c78190e7771b586c677a0d3365fcbf3b7e6af,be8b90404e22e36d468e7f5a693eb1d2d1f45820a55e47481dc89643f2ced977,4301,1,5,0,True
015fe0d2,0.0,0.0,1feb40c181d942f61bfcd9d019c256f10db4bc0c90d820cf01af0d9e7d72a6cc,9a709bcf63c7c6370dd289699fbec8fa95cbb9ec8d8d4be7c1c973873835eb55,4296,1,5,0,True
01869cd4,0.0,0.0,84f3d6a12e62fe4fd3beaaf0cf9fea1df5c792af6543f08290ce22b7ac75559c,81ef11624cf3a721fb1c955768bebf6774ffe5b028a06adc1440821b0af3146c,5557,1,5,0,True
01982c1d,0.0005076142131979,0.0,08e43e7abbf48cadb67ef4d05deda9619d2203e5dbef832ec026635150040769,acb25bfa12755a237dc93cf7a0830162ab2d4f1bdbeba5eea940085978eedf7f,3941,5,1,2,False
028d7b28,0.001443927482753,0.0,4c707a7e50281d2ef8a7682551f47ac91853b8841f3d940b06316a5f2cb60760,f4c99d6777f9a29699ef25ec8cdcef719c0899dfb534adb88bbaf2a045942b22,6234,2,3,9,True
02e7fe5a,0.0,0.0,385a21561d4d1bc52c6c129179cad3a69a7dcf5cdc696cdde0a116c41db34a72,8e2c5f4e08c735f9e002b1d581e0ee9df40a223e2af2169e45143662fb0295f4,5108,1,5,0,True
0390d174,0.0,0.0,268f170457049f2de5659b62c3adad5ced9e1a5fb46638093d8aa06cac13aa0e,3c3f37383124261924f8508d4851142af7662b23eccd6242af387fac75d9e46f,4411,1,5,0,False
03a935ae,0.0017953321364452,0.0,1a21e689ad221b6c1209cbe552e09dc4ff5e17fae024465538853c161611a3f4,fed166472d949a1fca5b8ab6527d5b53f1df2de1eae9b46b03c07fb2c077beae,2786,5,1,5,False
044af7d1,0.0,0.0,1ad1c2ba0e899f8ea9fcb9a35702159224ad8d9aeece5191aaafcbc908deac92,81e80218662f7f577ab21faee92132a2816c0aca57f274a9bfb87923a6173036,4519,1,5,0,False
0498acab,0.0,0.0,49cac297d54de017bfe5676416ab107d207e3a7777c2fbf4708e2b8251f40412,a4a08956f4643b64999f7ca105571370d46e609be6d4346aece8611e651ec53c,4798,1,5,0,True
052d64df,0.0,0.0,0dfa7110d8fd63242f3708434c9ffb57d16f4f25074af2bca6659698f04bd4fd,a9baf107375500ac69bcc72ffa94675480759d0bace746be56f949d4ae513287,2445,2,4,0,False
05948241,0.0,0.0,335f4fb15dc9701a7d32d1b7767e81b7750c6d578d79724999e3573406313b1d,b3b70238db18293c2fed6a40354cc514a52e8760e01df5ae4b4d7fe80301249a,3879,1,5,0,False
059c8f24,0.0015982100047946,0.0,e92d8d6889410ebdfebc65159556a4cec49dfec6637da47373e040c0161afcb6,6d901e291d705b817369bfdd73a2d7eea0a49b73ef4e8d2f116052699410a344,6258,5,1,10,True
05a0ee4d,0.0,0.0,39a4a7bd1fe5b69cd5a56a5776d0d9d0836acdc586f7f5891b360657daf91da2,ff269980e5177b8f15fa24b4ca14d627ada9a026af95392d097f9c015db0a90b,4348,1,5,0,True
060ab2b8,0.0,0.0,26659838b22583cf3340012bf093a1b123baf13fe34d831a17220920c5d3ed3e,888cb2a880a9dbf4d357479098bfdfe4c1ac211d07a2df11dc8926c8bda2a157,6258,1,5,0,False
06df5958,0.0,0.0,6fa4d787b54feaf547dd2711bbf1ee1a690d5680ad0a773c7982f31507ad9378,80ed83f3dc83a4a839b16016d464eb4df76d2af37e5c9e6870691c57f0473d34,3509,1,5,0,False
071d7b45,0.0,0.0,968a6621280e1cef91da85773ca624b455733aeb9c9ee9c04d7a702b5c41f07f,f17cbab0675c88420b5a68ed932c8c248db1a9aeccea377f566585d05c4310f7,3211,1,5,0,False
0849b4e2,0.0,0.0,960b082b092f61631929c4be0d253cf4e0b8bd7d9486ab3229c6fca5e39eee12,e389bc3e0ba20523227ed2186c84b1036ca81e3b6b5ef8875256f917fd3160c4,5537,1,5,0,False
084d66f9,0.0,0.0,32eb5f91c0afb10a857c6851302887f1b047965a767efdb37bce4c398a92cb6d,dbbf3fcdad76dbf0c62abe76b4579b09cc83315a082ed30e96136c15227476cd,3885,1,5,0,True
08fecf00,0.0,0.0,cf4b652785e232546ec3aa82754de73bf70b839e55da655376e6e94b8ac0dc98,420205a8be9bb71e7894c7a760c7c74ea7bce16b4be0e7d072f847d41844416d,5574,1,5,0,True
09053135,0.0,0.0,3f9013ccd0b1253e08a0058f659a76eb857a4358c058ff58d40f310d9968a685,cdb19f5df3a0434160efaee67b638e4c5422fce17cdc9bbd86180493eec7c1a7,5907,1,5,0,True
09441b8d,0.0,0.0,1a98b8931089df72aeb5c3d8f4d2d29d7cb2b9224611365ba1e731f02b3c5c8a,452c2d0bbb17a5ec558dfabb006a89e71272e87704e0f761974c3fd874e44c6a,5488,1,5,0,True
0955cd6c,0.0,0.0,514a58b810117510750c95ee1ab9fdf4f9dcde26917104ac9768bb535b05921a,e3207fcc0ebea020fb0392eab38755eaf51c413aefa049907cc8a14095ca3539,5195,1,5,0,False
09ec2ca9,0.0,0.0,74dfdf233c6d5f876ad1f561759c7a5eb0aa0be71b504ec7d4ce7886aae51be1,b6c1e82e5e3799feaf0806949b38d53bc03f3a314427cfb04345efe923b1e1cb,5885,1,5,0,True
0a57a29c,0.0,0.0,574fc3f6cfc03e5f4acd02c3f0bf7c0e9657c1f5f0a170ac776dcb7bab2406b1,e85e075578316c793b0d9e7cb3d4829e8d37bb960b0f793cda03dbac3b7c3fa8,5821,1,5,0,False
0bbf5e67,0.0,0.0,b58ed7f4a043bace290e8379f2a2bf9ed0ef5ba5e51f2fe25f19d9d5b70ed845,e26962015e0e9cc6dad42ad460db54a46a7e13d0d1b519816d1ff50283bd639c,4298,1,5,0,False
0be01c24,0.0,0.0,3262031f24bba4ecbc5bd397e200230533eb6fd8952494412d45f59ffccd9bc4,c67a72fa001e8268ca820bd8fc9e51a9ceb3a73c589e760d55c30fc4a8c04073,4738,1,5,0,False
0c1b160c,0.0,0.0,7beda2fe57a5c491d06dc09a1fe8684872b0e828d078f6e07b0da5330c930e14,838ebc2e105c33369a007a6d2783c87f6d6bfbc5d4df0afb43edaad920c8dfd5,5054,1,5,0,True
0d99f8e4,0.0,0.0,9c58ddd90b996c80099b341e78b923f1acfaf765b831e399920c98f4ba80566b,32974ae1c631183b950b4c6d4e516bd7e08f77e2472b3d3cfb6b7eacdf87bb37,5823,1,5,0,False
0dc5e64d,0.000410004100041,0.0,c3f2430f2308c66515bad0082a4216ce74810a71d21ba8d260f51409940e535e,d875909e5f7fa178002fe9af90566aa2afd9e8b034553a6598ef0f3438f9f482,4879,5,1,2,True
0dc835f3,0.0002258866049243,0.0,575bc1375e890cbd5ab5fafddb53601822d3bf04dc4a2a60158e9d86ca0a41a8,36ad4a550df7baecc323264bd7898509157ac7b3558412fe2600f25f5a35dba8,4428,5,1,1,True
0dd99dc5,0.0,0.0,4a38b99c96ce1c223f94fb41fe0aa66ab812a985cf1001eb22d9402f92515601,a78fead3cd82fcf13d7251e45cd3ed37b27cd4573b76863f19f9c0f4dda96f65,7342,1,5,0,True
0e5e560d,0.0,0.0,66145cf83293cc56755b00350c138580c2e27ca11c1ae5530c8f9cd885020b8c,71ceb5960dd551e4b4c974ad265f40f1c6a130baf2e3119685602e1dcfad8dfa,3253,1,5,0,True
109d9d70,0.0,0.0,1fe250e230c5a14b173e9c924e59f4cd4fe6f1fb394a529641702e1b3fe5213e,2c90bb3a13103de506225ae4601c22b14ea193b38083322bf22c6b5ddbffb0d8,4215,1,5,0,True
10a1281a,0.0003566333808844,0.0,904c63f355c49e556d9f5210452d5d89b57d85a6027f9c93e11613b85fa91bb2,8c97f2decd2c0deef9c1e056bfaddab2d726e198efa27ae4efdef47c22b26f30,5609,5,1,2,True
10b89021,0.0007389617587289,0.0,7224033a2f62eec7c2da30fd82247911213ac1701406b2c5ad3bc7c91a8b093c,e7c783b17a1491b7b2edf29cb2d177de5fbac8d4b9b4f937e4564d1d58974935,5414,5,1,4,False
10be2420,0.0,0.0,7140adce0910bac6a4992cf4d5f69554f704df88d6dceac6ecf75945a2822e0c,81f50df2d27d93da377f75e2e000811d21e219a3f383186e028fc12f03511362,3271,1,5,0,False
113011eb,0.0,0.0,8227ceed9a9688b66e3eaa74db062ac1135501a2eca88d532e93f4c219e20673,0396ba9ac44b14cf05c3ef16cc9b253351796d1333b431ae7c40f4d2ec9fdc17,3272,1,5,0,True
1131525f,0.0,0.0,86bd7129604112de4b0919ba5037533715758a8c7ecc290ada6cb8bfbbafb802,6378af94aa8ddc316e527534bc8fed2e7f3cd8c87a7d7d90230e43b476c63ade,4159,1,5,0,True
11d0f5ac,0.0,0.0,d57591f9174b734bd5ee515a2f30ff4c8e40369fbdd50ee6eb519b5a57b0626b,c351e0d739f1945985b1f5334769fbffbeae1b8febce590a738ef53d06ec8e60,4883,1,5,0,True
12203f2a,0.0,0.0,d4617c2322553aad54033155fd011249cf51e43c1f84707fdb8a315833ba62e9,1ba5d4bb23d8e0fad01f73531b15a458fc3eb9d47c5d5944d094263852d4b983,3261,1,5,0,True
122bd617,0.0,0.0,3f7f7256cf717aa89fde5d531a53bfb9ff42bd01589a05d914d676b5b4529f86,e74b2ad0d1125bac003d96a6403094a25a301211cd9ddab3fb188a19da757602,4570,1,5,0,True
125be846,0.0,0.0,0960b6dc547f38e7ca6b6ed702f5b9660735380e3a493b01d64de6a7b19c5f3b,5b4a36ab631128efef6a64579515350505abbcbc2f21491d4b290ffbd2be6de9,6510,1,5,0,True
1285a37b,0.0,0.0,d719f16faaf3663fb3555fcb03afbdf93b9335f95dea8cca7a5d0502e1afa8bc,e31f97ff822eef9af412b00d307b12af3e31fcac43e1b215e549662b82cc099e,5597,1,5,0,True
1295a25b,0.0001801801801801,0.0,39058f32eb155ea983dba7866820c4663cfe531256ca4d4eaead87ff86415949,3380ff6c4003f325772e4c309fa80c771cf0db3b539303bb5c97aa0b83e83b50,5551,5,1,1,False
12f0cd90,0.0005045408678102,0.0,ced17734b3f26e2d480e199cb9eb13a50c5b2d4a010dbc926f9f8b593597dc4b,a39171fc6deefb3622e453a32f06a2453e88754349a947d7dd6b83abd9809a24,5947,5,1,3,True
137d1e44,0.0002196354052273,0.0,1a7bc6981de859e3e857ba3b1eed36d2377892cae6b6230c7df4620931bfecc2,eba47640a515f2b77acc20f2488bad10f9e26939fb2bf92c13c74306409ce3b6,4554,2,4,1,True
13ce113d,0.0,0.0,eb626497f228325ea031e01ca832d8aaefcd395bcb2b4d121de8769bc9fbf5b6,28575367dff111ac1e5b2420fa0d7d9050d7518edd98cf17fd8db51d44499d70,2966,1,5,0,False
13f598d9,0.0,0.0,e5166034fa795fec3744dd882eab76447177e6ceabc4581b7908bc655d0e1c6b,172884ee85e7062fba78956ed4d9555d9db108c0734a9aba558c27366e5827f3,7306,1,5,0,True
14a53cb3,0.0,0.0,cf5434d36711eafa26e1b2f54949eb3cdc878a1d4dc8a2a1f2b839a22123f9cb,74acdbcc31e92938f132f86571dec3c8031ec2fd4607186e431539f33e738370,6919,1,5,0,False
14ab73fb,0.0008223684210526,0.0,8f32249960a302e0709413791cd4260cfc80e76654e28753c50495048640ba3d,2772e3083bd037f34a83dce0a545a53db3cf3f498a51cac978b27c66a5e8f592,3649,5,1,3,False
14ad5efb,0.0,0.0,28aa7912b696119689787fe5cefd5f070e1d6534f0cad8f0421a3f4648ee1052,09d5df0a2d44246438f5ad1d90ceb1304b5a7130bb8e03d92a45fe02fae70f31,5842,1,5,0,False
