well_a,well_b,min_xy_dist_ft,sample_min_xy_dist_ft,global_angle_deg,eval_angle_deg,local_angle_at_closest_deg,a_md,b_md,a_closest_idx,b_closest_idx,a_x,a_y,b_x,b_y,a_length_ft,b_length_ft,a_eval_start_idx,a_eval_end_idx,b_eval_start_idx,b_eval_end_idx,a_start_x,a_start_y,a_end_x,a_end_y,b_start_x,b_start_y,b_end_x,b_end_y
1e30dedf,2fd68f7b,0.09219544488607884,1.9859506541256566,151.9508859982491,151.3499975180549,154.78433395644967,10496.0,10558.0,171,484,2997428.74,1127774.07,2997428.65,1127774.05,5368.016315027349,5844.750879797963,1403,5473,1651,6380,2997516.11,1127688.92,2993563.11,1131320.64,2997404.6,1127840.23,2999343.73,1122326.53
155887bb,c2c6fc71,0.26076809645096516,1.4152384958779736,176.00692005273166,177.0000118131009,168.2048295213738,13778.0,18841.0,2293,7457,3008884.08,1085088.14,3008883.86,1085088.28,6388.894492672258,8369.117184625973,1477,7061,1721,8839,3010274.69,1084199.15,3005466.7,1088406.43,3003952.04,1090038.77,3009851.18,1084102.25
4ed93db6,861e71df,9.625725946508611,10.297849289789768,175.97621173557135,174.79965591487445,167.5758035565586,10879.0,11186.0,169,413,3007331.58,1116662.39,3007321.97,1116661.84,5914.786134172615,5762.5805064224905,1839,6495,1584,6283,3007332.06,1116661.89,3007503.19,1122574.2,3007309.18,1116754.23,3006738.67,1111019.96
7d57c75d,dc7f9757,29.65004215837745,29.65004215837745,179.89464418991858,179.7530550455435,175.4927826609756,14720.0,16679.0,4675,6202,3003884.54,1128589.86,3003914.17,1128588.77,5672.721427930417,5636.236475033719,1742,6146,1843,6202,3004005.64,1132791.73,3003840.94,1127121.4,3003740.17,1122955.22,3003914.17,1128588.77
bf39bc20,cc08aa63,48.66975344095047,49.33189637580046,177.77299489273688,179.42981887030948,178.6202335631411,10682.0,11365.0,225,867,2912730.62,1041683.93,2912687.37,1041661.61,4528.747450697674,4482.141922351332,1744,5046,1744,5017,2912731.02,1041687.95,2915607.41,1038189.96,2912816.02,1041323.75,2910105.91,1044893.75
2e43c2ea,b4f37e6e,49.391831308261125,49.82905176692247,179.882434120567,179.59405660709805,179.79062665402208,11966.0,10986.0,1528,406,2916321.25,1044287.71,2916283.72,1044255.6,6797.516712925476,4156.215573391354,1651,7348,1507,4498,2916948.48,1043528.2,2912606.04,1048757.87,2916184.23,1044345.05,2918845.89,1041152.92
722cf0d8,c50b42f6,57.43212341519655,57.680700411900226,178.23622921751559,179.8382120896044,134.21943035825706,10026.0,10914.0,0,768,2889590.54,1025829.33,2889641.76,1025855.31,6669.763625864011,7279.126095747983,2132,7274,1906,7919,2889590.54,1025829.33,2884875.22,1030546.48,2889674.09,1026152.49,2894659.32,1020848.42
9af1ffd0,9d3ec64c,59.22413190578583,59.41376355696669,178.76044413614315,179.1202062282547,179.73945092918316,10103.0,10644.0,147,607,2952798.18,1081861.19,2952754.35,1081821.36,4914.752749854335,4513.024306537642,1929,5453,1457,4936,2952800.95,1081859.12,2949661.06,1085640.11,2952594.62,1082006.45,2955552.29,1078597.7
c2c4db09,cb879f40,59.39303157766356,59.39658239348676,179.78588240055115,179.77273513947085,179.33795557023032,10790.0,11744.0,195,1126,2995554.7,1115138.32,2995608.89,1115162.63,7458.938708858213,7603.243900507182,1812,7850,1589,7903,2995539.8,1115168.82,2998194.85,1108198.42,2995922.42,1114384.03,2993189.47,1121479.12
3407f5bf,f439a621,64.01609797558247,64.17771653762229,179.67704121523388,179.10384197240808,133.09152026775644,10413.0,10825.0,0,433,2928499.02,1055640.45,2928442.3,1055610.77,4932.229963870348,4255.696921410205,1671,5308,1874,4694,2928499.02,1055640.45,2931661.08,1051855.18,2928485.46,1055520.11,2925738.76,1058770.74
5397ceb1,8d92cb49,71.30908567649446,71.30908567649446,176.21296206054657,176.18520735829804,131.32202634313862,11170.0,11284.0,0,0,2990465.23,1089508.6,2990521.22,1089552.76,6430.251919738481,4612.258162982885,1556,6810,1250,4838,2990465.23,1089508.6,2992846.0,1083535.32,2990521.22,1089552.76,2988534.3,1093715.1
2d0c268a,c1d046f4,71.56410622639605,71.64751496000676,177.4132200320769,178.67099519691286,174.50090986713448,11085.0,11061.0,415,0,3002590.63,1116645.44,3002662.01,1116640.31,5745.931902363478,6698.863805094217,1739,6288,1404,6916,3002585.95,1116598.81,3002839.16,1122339.16,3002662.01,1116640.31,3002669.15,1109941.45
c3957531,e5864244,75.36658477049615,75.37660379693345,163.35663563479557,162.80602004071596,177.2367151541961,12765.0,12232.0,1050,246,3020728.39,1087563.02,3020799.44,1087588.16,6644.7088663462855,5568.5778687559805,1938,7253,1568,6036,3020875.58,1087131.53,3018515.67,1093343.05,3020801.18,1087588.12,3024186.98,1083167.1
8c167025,ef04658e,76.06231261276365,76.07797644501953,173.5775273654967,173.56241192480582,171.89702631004266,10461.0,10274.0,195,1,2941140.47,1064412.04,2941065.2,1064401.09,6605.5737199733385,5223.297371909938,1745,7112,1560,5663,2941142.83,1064409.76,2945482.99,1059430.14,2941065.2,1064401.08,2938095.25,1068697.85
2acc78d4,9b9e3b49,77.06220149984756,77.22058922299777,177.792514664268,178.78194525123982,179.97976899769657,11665.0,12217.0,519,1073,3008516.35,1110774.04,3008439.33,1110776.59,5543.28095572478,6300.552131884926,1843,6108,1757,6874,3008523.0,1110844.86,3008478.21,1105301.76,3008427.3,1110267.23,3008720.85,1116560.94
82fcf37c,df71d1ff,77.20373630848307,77.21748118131603,179.0405223824936,178.92467053113444,110.1221996162649,11050.0,10393.0,498,0,2884314.71,1020824.58,2884372.11,1020876.21,7172.541831073496,7432.332505425212,1383,7396,1651,7878,2884500.23,1020608.8,2879696.56,1025935.16,2884372.11,1020876.21,2889256.65,1015274.35
bd6f0e19,cbb406b5,82.57203945605377,82.73792177682645,178.44668533883933,179.14438094496705,179.89726700228405,11775.0,11519.0,1180,925,3005872.01,1122596.74,3005789.45,1122598.15,6455.528022539988,7517.787453054278,1839,6978,1807,8134,3005988.13,1123257.02,3005655.06,1116810.09,3005755.68,1122272.02,3005939.9,1129787.55
6d1d74e1,98bc6f66,82.69572238043624,83.1402531869447,179.51612080019427,179.3477435063916,179.38934130701148,11021.0,10863.0,462,580,2883638.74,1020056.19,2883575.02,1020003.48,7055.193462889581,7250.185129001951,1486,7315,1657,7719,2883492.86,1020229.0,2888081.38,1014869.78,2883662.75,1019879.9,2878901.07,1025347.22
3bbe1f5d,4caa7289,91.32559991572361,91.60776877538726,179.06721488844843,179.2866467651404,179.510750178903,11191.0,10915.0,713,194,2904023.49,1030972.88,2904094.23,1031030.64,7635.539032510933,6545.943853906805,1266,8183,1458,6853,2903835.14,1031100.01,2908904.61,1025390.2,2904113.99,1031006.27,2899848.2,1035971.39
5a1a8fd8,8612b37f,91.9935693404534,92.68866165854703,179.55437812285834,178.26479380328502,99.66930787317798,11231.0,12059.0,0,713,3000635.47,1102190.54,3000543.49,1102192.12,6349.9646299565875,6405.633661707643,1554,6813,1642,6806,3000635.47,1102190.54,3002892.36,1096255.18,3000588.79,1101841.18,2998358.75,1107846.1
593876b6,da940160,92.81781941006824,93.41859879061101,175.90981215909275,175.40084766252434,179.48455216025192,11824.0,11019.0,815,242,3006902.59,1116397.63,3006995.33,1116393.83,6052.150729294504,6238.927720377919,1524,6365,1660,6791,3006910.23,1116908.12,3006319.58,1110884.86,3006996.2,1116392.68,3007160.65,1122629.44
5a5269a9,d60430e6,93.0302509939609,93.54908444230948,173.96858699461362,177.42925790649625,178.56543548049447,11503.0,10679.0,815,146,2993621.27,1114153.4,2993707.77,1114187.64,7696.807246676925,3748.1438830972916,1540,8052,1665,4175,2993448.05,1114598.23,2996266.03,1107435.84,2993713.9,1114181.18,2992715.7,1117793.96
05a0ee4d,bffe3082,94.19902759564906,94.26067684900798,178.8026709309846,179.60866258310068,160.20921247547406,11463.0,11110.0,493,0,2994556.03,1100581.1,2994466.81,1100550.88,5578.52683134203,6699.90939963357,1750,6097,1463,7185,2994585.45,1100502.46,2992517.01,1105683.34,2994466.81,1100550.88,2996820.48,1094278.0
4654e7de,8d5d46d7,95.70530288337861,95.79988361155134,178.90280620090104,177.4048817316486,179.45855776939635,10857.0,11879.0,125,1170,2906957.83,1032884.25,2907019.52,1032957.42,6642.247508456801,6858.800647255863,1637,7009,1527,7281,2906951.58,1032888.3,2911431.08,1027983.86,2907615.17,1032470.66,2903087.45,1037622.64
06df5958,b32e4903,97.45504091626601,97.8083457584298,179.02673183139567,178.11696137665987,179.11807821913928,11071.0,11664.0,299,1067,2903676.58,1027024.16,2903742.29,1027096.13,4707.550069123003,6929.499926617908,1530,5038,1650,7419,2903605.04,1027075.94,2906775.06,1023595.71,2904181.88,1026696.68,2899603.31,1031898.09
203721ab,c42fe306,98.94353187557331,99.03156870412325,178.74876573168478,178.1634017648153,179.82508090664288,11116.0,11566.0,541,1091,2899305.8,1025090.33,2899378.05,1025157.93,6842.9556468680685,6524.636972583345,1505,7234,1928,7022,2899177.07,1025220.51,2903775.7,1020153.1,2899804.94,1024728.83,2895526.78,1029655.11
10a1281a,be83e781,102.7032005343106,102.7314309254262,177.22216364321972,177.68876598274576,179.71455510083644,11371.0,10985.0,774,173,2904106.08,1027124.59,2904031.33,1027054.16,6874.020940970427,4450.330394139369,1744,7352,1555,4775,2904336.64,1026905.39,2899861.89,1032123.51,2904004.6,1027076.66,2907061.93,1023842.75
efde6ac3,fae0c593,106.20407007284805,106.23842054538429,178.18225288800758,178.40295731992458,179.66655746257044,11206.0,10828.0,877,593,2994594.48,1121775.51,2994696.47,1121805.13,5738.249387121568,5595.461495399732,1661,6219,1744,6146,2994436.83,1122149.3,2996389.15,1116753.38,2994732.55,1121686.2,2992996.67,1127005.59
d085e611,fae0c593,106.20407007284805,106.23842054538429,178.1108376552939,178.24633938462284,179.66655746257044,11206.0,10828.0,877,593,2994594.48,1121775.51,2994696.47,1121805.13,7368.783170008496,5595.461495399732,1661,7851,1744,6146,2994436.83,1122149.3,2996952.54,1115223.25,2994732.55,1121686.2,2992996.67,1127005.59
18d24f7b,884ecb5f,106.4586492494401,106.53135688595499,179.4262964932016,179.45165731454642,179.60973150182517,11165.0,11231.0,533,677,2906957.13,1037377.52,2906879.51,1037304.66,5887.033119772818,7625.947473154013,1702,6259,1330,8053,2907112.12,1037221.71,2903234.94,1041651.68,2906668.53,1037473.28,2911748.16,1031785.36
8bb9c1e6,d2f3b1ab,106.91961092348437,107.43522001663015,178.51919315123303,178.5816996273033,179.50351138257952,10749.0,11829.0,230,1087,2906760.91,1031662.91,2906682.27,1031590.47,5877.506581978289,6733.943528512642,1836,6381,1437,7017,2906762.86,1031663.8,2902952.02,1036138.46,2906135.93,1032189.28,2910633.09,1027177.14
060ab2b8,ebe69318,107.18900036872466,107.20504512358784,178.19528511926075,178.41142427696678,172.8608448579397,10675.0,11536.0,287,1248,2901023.7,1025945.6,2900944.63,1025873.23,7263.5878280638735,6129.093928803715,1560,7817,1742,6717,2901028.92,1025943.05,2896319.2,1031472.81,2900480.24,1026355.25,2904599.33,1021816.65
0be01c24,da940160,107.29520865364636,107.47464259050064,174.82576152595666,174.7928327248171,179.89806115948204,11517.0,11366.0,723,589,3007123.6,1116491.14,3007017.73,1116508.57,5904.570095044939,6238.927720377919,1647,6384,1660,6791,3007171.27,1116757.71,3006483.95,1110893.28,3006996.2,1116392.68,3007160.65,1122629.44
084d66f9,5fb1c15f,107.55882158156825,107.76012852618975,177.41328769840948,177.12192966354866,62.3377455027501,10225.0,11112.0,0,867,2929605.81,1056686.42,2929682.16,1056762.18,5049.714428014704,4408.854118577633,1747,5631,1997,4856,2929605.81,1056686.42,2932964.64,1052915.76,2929972.36,1056429.02,2926894.21,1059585.44
aee6393a,e97032ad,107.65157918034942,107.75402219892095,174.47137554026548,175.53051823410806,166.60388042040188,10730.0,11451.0,0,1280,2918100.14,1046080.67,2918017.02,1046012.26,6920.686982113914,5042.210241788665,1281,7145,2124,5653,2918100.14,1046080.67,2923179.74,1041380.29,2918442.19,1045469.08,2915088.49,1049234.26
aee6393a,e7c36e81,107.65157918034942,107.75402219892095,173.4422967884782,174.0513917999992,166.60388042040188,10730.0,11451.0,0,1280,2918100.14,1046080.67,2918017.02,1046012.26,6920.686982113914,5054.200573038311,1281,7145,2124,5654,2918100.14,1046080.67,2923179.74,1041380.29,2918442.19,1045469.08,2915148.84,1049302.98
3ef98781,877ed19c,108.89242489748587,108.89374132615825,178.21207876986364,178.17824798969596,163.96685712365502,11300.0,11194.0,25,206,3012167.49,1115378.91,3012067.4,1115336.02,5055.338546299344,5040.269735887232,1451,5342,1923,5630,3012168.31,1115377.46,3012051.55,1120431.45,3012065.98,1115332.04,3012339.55,1110299.2
5bd25f59,944f36b9,109.96617025246822,109.97465617126197,152.51009681122312,151.85681212175473,132.8678621977324,10686.0,10420.0,823,0,2998701.25,1127779.99,2998625.6,1127700.18,5507.915325892467,5744.616698066058,1910,6119,1405,6034,2998878.2,1127584.36,2994828.06,1131317.12,2998625.6,1127700.18,3000575.79,1122296.72
5def1ce5,bb2cdd83,111.49822061392001,111.50476940475885,179.14728928103833,179.66932901192968,179.2355631002461,11336.0,10533.0,726,166,2906457.01,1036747.35,2906531.97,1036829.89,7589.48777884925,5061.157626966524,1554,7996,1840,5664,2906205.48,1036973.65,2911263.45,1031315.27,2906533.83,1036828.64,2903217.38,1040651.79
