well_a,well_b,min_xy_dist_ft,sample_min_xy_dist_ft,global_angle_deg,eval_angle_deg,local_angle_at_closest_deg,a_md,b_md,a_closest_idx,b_closest_idx,a_x,a_y,b_x,b_y,a_length_ft,b_length_ft,a_eval_start_idx,a_eval_end_idx,b_eval_start_idx,b_eval_end_idx,a_start_x,a_start_y,a_end_x,a_end_y,b_start_x,b_start_y,b_end_x,b_end_y,a_rows_within_250ft,b_rows_within_250ft,min_rows_within_250ft,a_max_run_within_250ft,b_max_run_within_250ft,min_max_run_within_250ft,a_rows_within_500ft,b_rows_within_500ft,min_rows_within_500ft,a_max_run_within_500ft,b_max_run_within_500ft,min_max_run_within_500ft,a_rows_within_1000ft,b_rows_within_1000ft,min_rows_within_1000ft,a_max_run_within_1000ft,b_max_run_within_1000ft,min_max_run_within_1000ft
1e30dedf,2fd68f7b,0.0921954448860788,1.9859506541256569,151.9508859982491,151.3499975180549,154.78433395644967,10496.0,10558.0,171,484,2997428.74,1127774.07,2997428.65,1127774.05,5368.016315027349,5844.750879797963,1403,5473,1651,6380,2997516.11,1127688.92,2993563.11,1131320.64,2997404.6,1127840.23,2999343.73,1122326.53,521,947,521,521,947,521,775,1200,775,775,1200,775,1277,1703,1277,1277,1703,1277
155887bb,c2c6fc71,0.2607680964509651,1.4152384958779736,176.00692005273166,177.0000118131009,168.2048295213738,13778.0,18841.0,2293,7457,3008884.08,1085088.14,3008883.86,1085088.28,6388.894492672258,8369.117184625973,1477,7061,1721,8839,3010274.69,1084199.15,3005466.7,1088406.43,3003952.04,1090038.77,3009851.18,1084102.25,5686,5923,5686,5686,5923,5686,7062,6642,6642,7062,6642,6642,7062,7149,7062,7062,7149,7062
4ed93db6,861e71df,9.625725946508611,10.297849289789768,175.97621173557135,174.79965591487445,167.5758035565586,10879.0,11186.0,169,413,3007331.58,1116662.39,3007321.97,1116661.84,5914.786134172615,5762.5805064224905,1839,6495,1584,6283,3007332.06,1116661.89,3007503.19,1122574.2,3007309.18,1116754.23,3006738.67,1111019.96,906,809,809,906,809,809,1164,1091,1091,1164,1091,1091,1666,1595,1595,1666,1595,1595
7d57c75d,dc7f9757,29.65004215837745,29.65004215837745,179.89464418991858,179.7530550455435,175.4927826609756,14720.0,16679.0,4675,6202,3003884.54,1128589.86,3003914.17,1128588.77,5672.721427930417,5636.236475033719,1742,6146,1843,6202,3004005.64,1132791.73,3003840.94,1127121.4,3003740.17,1122955.22,3003914.17,1128588.77,1720,1719,1719,1720,1719,1719,1971,1971,1971,1971,1971,1971,2472,2473,2472,2472,2473,2472
bf39bc20,cc08aa63,48.66975344095047,49.33189637580046,177.77299489273688,179.42981887030948,178.6202335631411,10682.0,11365.0,225,867,2912730.62,1041683.93,2912687.37,1041661.61,4528.747450697674,4482.141922351332,1744,5046,1744,5017,2912731.02,1041687.95,2915607.41,1038189.96,2912816.02,1041323.75,2910105.91,1044893.75,1047,1118,1047,1047,1118,1047,1322,1369,1322,1322,1369,1322,1832,1870,1832,1832,1870,1832
2e43c2ea,b4f37e6e,49.391831308261125,49.82905176692247,179.882434120567,179.59405660709805,179.79062665402208,11966.0,10986.0,1528,406,2916321.25,1044287.71,2916283.72,1044255.6,6797.516712925476,4156.215573391354,1651,7348,1507,4498,2916948.48,1043528.2,2912606.04,1048757.87,2916184.23,1044345.05,2918845.89,1041152.92,1902,1692,1692,1902,1692,1692,2156,1948,1948,2156,1948,1948,2659,2453,2453,2659,2453,2453
722cf0d8,c50b42f6,57.43212341519655,57.68070041190023,178.2362292175156,179.8382120896044,134.21943035825706,10026.0,10914.0,0,768,2889590.54,1025829.33,2889641.76,1025855.31,6669.763625864011,7279.126095747983,2132,7274,1906,7919,2889590.54,1025829.33,2884875.22,1030546.48,2889674.09,1026152.49,2894659.32,1020848.42,824,864,824,824,864,824,1184,1306,1184,1184,1306,1184,1722,1806,1722,1722,1806,1722
9af1ffd0,9d3ec64c,59.22413190578583,59.41376355696669,178.76044413614315,179.1202062282547,179.73945092918316,10103.0,10644.0,147,607,2952798.18,1081861.19,2952754.35,1081821.36,4914.752749854335,4513.024306537642,1929,5453,1457,4936,2952800.95,1081859.12,2949661.06,1085640.11,2952594.62,1082006.45,2955552.29,1078597.7,1011,893,893,1011,893,893,1268,1158,1158,1268,1158,1158,1771,1663,1663,1771,1663,1663
c2c4db09,cb879f40,59.39303157766356,59.39658239348676,179.78588240055117,179.77273513947085,179.33795557023032,10790.0,11744.0,195,1126,2995554.7,1115138.32,2995608.89,1115162.63,7458.938708858213,7603.243900507182,1812,7850,1589,7903,2995539.8,1115168.82,2998194.85,1108198.42,2995922.42,1114384.03,2993189.47,1121479.12,1482,1405,1405,1482,1405,1405,1742,1659,1659,1742,1659,1659,2248,2161,2161,2248,2161,2161
3407f5bf,f439a621,64.01609797558247,64.17771653762229,179.67704121523388,179.10384197240808,133.09152026775644,10413.0,10825.0,0,433,2928499.02,1055640.45,2928442.3,1055610.77,4932.229963870348,4255.696921410205,1671,5308,1874,4694,2928499.02,1055640.45,2931661.08,1051855.18,2928485.46,1055520.11,2925738.76,1058770.74,661,744,661,661,744,661,939,1008,939,939,1008,939,1449,1510,1449,1449,1510,1449
