method,mean_well_rmse,median_well_rmse,p90_well_rmse,max_well_rmse,improved_wells_vs_anchor,worse_wells_vs_anchor,max_well_regression_vs_anchor,best_well_improvement_vs_anchor
blend10_u_md_tail100_anchor,12.763994481306895,10.503733039374758,22.973060822831396,72.21313429822507,455,318,17.384691635521943,-21.38907289451542
blend10_u_md_tail30_median_anchor,12.81572084108989,10.594593684798232,22.95601716349223,73.36797965553173,446,327,30.914380430324886,-20.81664888568368
anchor,12.812466352749581,10.665140786694135,22.972536567136352,70.63937461968058,0,0,0.0,0.0
blend25_u_md_tail30_median_anchor,14.386390304409826,11.425774830862588,27.56792465193696,94.33371067959617,384,389,83.12180587882757,-44.766626317993676
blend25_u_md_tail100_anchor,14.22652604384342,11.44115081603228,26.854418712791187,75.22295128928633,392,381,44.21417965462034,-43.961584620012886
blend10_mdz_tail200_anchor,14.717966746194076,11.5039446914889,27.824825618812252,133.30312286809126,417,356,108.32435266762204,-22.429094654847898
blend10_md_tail200_anchor,14.09692401374988,11.588182262806855,24.54632982736238,120.77285420491698,339,434,73.73360555196143,-21.663045247910436
blend25_mdz_tail200_anchor,20.559027098030565,12.908766546346811,40.229225174193665,367.8710044383661,337,436,342.8922342378969,-44.595910054085394
blend25_md_tail200_anchor,19.74831776271914,14.245485730457329,38.7175487389576,354.98513473788944,248,525,307.9458860849339,-34.15755502613587
u_md_tail30_median_anchor,33.09919526484007,22.442046707109196,76.53867623264347,358.0995165808666,195,578,346.887611780098,-50.40837937440368
u_md_tail100_anchor,32.14665088911199,23.394157612858088,70.73104359976351,201.92761907973548,200,573,179.83218240233282,-48.678652632490476
mdz_tail200_anchor,59.75472675511223,27.34565980159878,134.9662099812798,1541.5116105226703,166,607,1516.532840322201,-41.65659249911579
mdz_all_anchor,43.030621948878334,30.99918742271154,87.01017389912906,388.94618837644447,136,637,353.3405103268046,-45.35823249517709
z_tail200_anchor,69.43068142367561,33.89383517604554,138.5605127694708,1685.6884554461724,103,670,1660.3265938706304,-50.996415839525355
md_tail200_anchor,59.32955684586243,35.07539441863281,131.20389686237445,1534.530951225972,102,671,1487.4917025730165,-39.50479331735682
u_md_all_anchor,47.87908248906623,36.191027561053495,101.01951849982298,282.35110694708237,125,648,257.33637276736766,-42.79928316832192
md_tail50_anchor,60.68285782393454,37.98796137123925,132.36879906253955,1392.426085019762,99,674,1327.067426028881,-54.03874765400194
u_const_anchor,94.52081406835183,90.94528814609484,143.24926505691192,257.6983781384236,7,766,229.94295172624012,-50.40837937440368
z_all_anchor,95.6589654805737,91.79125517721656,146.4203458819459,268.25594723714255,8,765,240.1592079269849,-50.468986093296095
md_all_anchor,1111.8371420872072,1086.3509886885872,1593.8267368130855,2979.3256540024195,0,773,2932.286405349464,82.33094385006659
