query_label,split,well_id,view,rank_by_z_rmse,candidate_label,candidate_split,candidate_well_id,candidate_is_provided,overlap_grid_points,coverage_query,coverage_candidate,corr,raw_rmse,resid_std,z_rmse
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,1,typewell:train:000d7d20,train,000d7d20,True,632.0,1.0,0.48765432834625244,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,2,typewell:train:00e12e8b,train,00e12e8b,False,632.0,1.0,0.24726134538650513,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,3,typewell:train:1295a25b,train,1295a25b,False,632.0,1.0,0.473053902387619,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,4,typewell:train:2ddad940,train,2ddad940,False,632.0,1.0,0.40747904777526855,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,5,typewell:train:389ae58f,train,389ae58f,False,632.0,1.0,0.32048681378364563,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,6,typewell:train:42669188,train,42669188,False,632.0,1.0,0.2932714521884918,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,7,typewell:train:8cc21f01,train,8cc21f01,False,632.0,1.0,0.327970951795578,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,8,typewell:train:a056d01e,train,a056d01e,False,632.0,1.0,0.35052689909935,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,9,typewell:train:e5ff9fd2,train,e5ff9fd2,False,632.0,1.0,0.3130262494087219,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,10,typewell:train:f8662c22,train,f8662c22,False,632.0,1.0,0.4475920796394348,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115
horizontal:train:000d7d20:full,train,000d7d20,full,1,typewell:train:000d7d20,train,000d7d20,True,632.0,1.0,0.48765432834625244,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,2,typewell:train:00e12e8b,train,00e12e8b,False,632.0,1.0,0.24726134538650513,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,3,typewell:train:1295a25b,train,1295a25b,False,632.0,1.0,0.473053902387619,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,4,typewell:train:2ddad940,train,2ddad940,False,632.0,1.0,0.40747904777526855,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,5,typewell:train:389ae58f,train,389ae58f,False,632.0,1.0,0.32048681378364563,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,6,typewell:train:42669188,train,42669188,False,632.0,1.0,0.2932714521884918,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,7,typewell:train:8cc21f01,train,8cc21f01,False,632.0,1.0,0.327970951795578,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,8,typewell:train:a056d01e,train,a056d01e,False,632.0,1.0,0.35052689909935,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,9,typewell:train:e5ff9fd2,train,e5ff9fd2,False,632.0,1.0,0.3130262494087219,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:000d7d20:full,train,000d7d20,full,10,typewell:train:f8662c22,train,f8662c22,False,632.0,1.0,0.4475920796394348,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,1,typewell:train:37d36812,train,37d36812,False,845.0,0.8989361524581909,0.48148149251937866,0.8688648343086243,13.527400016784668,13.488282203674316,0.5121233463287354
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,2,typewell:train:abf460d2,train,abf460d2,False,837.0,0.8904255032539368,0.4813111126422882,0.8676297664642334,13.546768188476562,13.506118774414062,0.5145293474197388
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,3,typewell:train:edf885a3,train,edf885a3,False,860.0,0.914893627166748,0.4845070540904999,0.8672534227371216,13.58979606628418,13.56685733795166,0.5152602791786194
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,4,typewell:train:2b547943,train,2b547943,False,878.0,0.9340425729751587,0.4872364103794098,0.866700291633606,13.497700691223145,13.47961139678955,0.5163326859474182
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,5,typewell:train:77b0d905,train,77b0d905,False,878.0,0.9340425729751587,0.48696616291999817,0.866700291633606,13.497700691223145,13.47961139678955,0.5163326859474182
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,6,typewell:train:f053a1b9,train,f053a1b9,False,889.0,0.9457446932792664,0.4881933033466339,0.8664849996566772,13.436933517456055,13.422794342041016,0.5167494416236877
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,7,typewell:train:3584a6eb,train,3584a6eb,False,897.0,0.9542553424835205,0.4893617033958435,0.8628997206687927,13.582647323608398,13.566618919372559,0.5236416459083557
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,8,typewell:train:ab18d3fc,train,ab18d3fc,False,803.0,0.8542553186416626,0.4834437072277069,0.8621567487716675,13.600142478942871,13.561602592468262,0.5250585675239563
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,9,typewell:train:8b9d8326,train,8b9d8326,False,789.0,0.8393617272377014,0.48464372754096985,0.8601248860359192,13.680863380432129,13.632761001586914,0.528914213180542
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,10,typewell:train:ab3ced07,train,ab3ced07,False,905.0,0.9627659320831299,0.4894537627696991,0.8595500588417053,13.732809066772461,13.70873737335205,0.5299999117851257
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,1,typewell:train:00bbac68,train,00bbac68,True,101.0,1.0,0.05190133675932884,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,2,typewell:train:015fe0d2,train,015fe0d2,False,101.0,1.0,0.07984189689159393,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,3,typewell:train:153552f5,train,153552f5,False,101.0,1.0,0.047754138708114624,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,4,typewell:train:155887bb,train,155887bb,False,101.0,1.0,0.047596607357263565,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,5,typewell:train:177622d7,train,177622d7,False,101.0,1.0,0.07965299487113953,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,6,typewell:train:25939962,train,25939962,False,101.0,1.0,0.05421363562345505,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,7,typewell:train:2ab29395,train,2ab29395,False,101.0,1.0,0.09600760787725449,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,8,typewell:train:2b547943,train,2b547943,False,101.0,1.0,0.05604883283376694,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,9,typewell:train:2f19d536,train,2f19d536,False,101.0,1.0,0.07805255055427551,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,10,typewell:train:3584a6eb,train,3584a6eb,False,101.0,1.0,0.055100928992033005,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026
horizontal:train:00bbac68:full,train,00bbac68,full,1,typewell:train:37d36812,train,37d36812,False,877.0,0.9022634029388428,0.49971508979797363,0.8655586838722229,13.541313171386719,13.507843971252441,0.5185389518737793
horizontal:train:00bbac68:full,train,00bbac68,full,2,typewell:train:abf460d2,train,abf460d2,False,869.0,0.894032895565033,0.4997124671936035,0.8643006682395935,13.560120582580566,13.525333404541016,0.5209593772888184
horizontal:train:00bbac68:full,train,00bbac68,full,3,typewell:train:edf885a3,train,edf885a3,False,892.0,0.9176954627037048,0.5025352239608765,0.8640108108520508,13.60122299194336,13.582015037536621,0.5215154886245728
horizontal:train:00bbac68:full,train,00bbac68,full,4,typewell:train:2b547943,train,2b547943,False,910.0,0.9362139701843262,0.5049944519996643,0.8634769916534424,13.512184143066406,13.497188568115234,0.5225380659103394
horizontal:train:00bbac68:full,train,00bbac68,full,5,typewell:train:77b0d905,train,77b0d905,False,910.0,0.9362139701843262,0.5047143697738647,0.8634769916534424,13.512184143066406,13.497188568115234,0.5225380659103394
horizontal:train:00bbac68:full,train,00bbac68,full,6,typewell:train:f053a1b9,train,f053a1b9,False,921.0,0.9475308656692505,0.5057660341262817,0.8632713556289673,13.453422546386719,13.44185733795166,0.5229314565658569
