label,split,well_id,kind,view,path,n_rows,n_valid_points,grid_valid_points,tvt_min,tvt_max,gr_mean,gr_std
horizontal:train:000d7d20:prefix,train,000d7d20,horizontal,prefix,data/raw/train/000d7d20__horizontal_well.csv,1000,1000,632,11236.02,11756.12,87.41651479753531,22.006097467781892
horizontal:train:000d7d20:hidden,train,000d7d20,horizontal,hidden,data/raw/train/000d7d20__horizontal_well.csv,2020,2020,31,11734.83,11750.03,97.91243002801158,15.568258958481826
horizontal:train:000d7d20:full,train,000d7d20,horizontal,full,data/raw/train/000d7d20__horizontal_well.csv,3020,3020,632,11236.02,11756.12,94.43696140864859,18.624408306602135
horizontal:train:00bbac68:prefix,train,00bbac68,horizontal,prefix,data/raw/train/00bbac68__horizontal_well.csv,1435,1435,940,11406.63,12225.05,88.92525381605661,21.608172049845837
horizontal:train:00bbac68:hidden,train,00bbac68,horizontal,hidden,data/raw/train/00bbac68__horizontal_well.csv,5182,5182,101,12189.83,12240.01,88.06952898382865,15.696599159265118
horizontal:train:00bbac68:full,train,00bbac68,horizontal,full,data/raw/train/00bbac68__horizontal_well.csv,6617,6617,972,11406.63,12240.01,88.25510630500851,17.15613428634214
horizontal:train:00e12e8b:prefix,train,00e12e8b,horizontal,prefix,data/raw/train/00e12e8b__horizontal_well.csv,1917,1917,1198,10607.53,11604.820000000002,85.00317933222502,41.06545996909524
horizontal:train:00e12e8b:hidden,train,00e12e8b,horizontal,hidden,data/raw/train/00e12e8b__horizontal_well.csv,3883,3883,60,11587.05,11616.64,38.159914210877226,10.019284590482702
horizontal:train:00e12e8b:full,train,00e12e8b,horizontal,full,data/raw/train/00e12e8b__horizontal_well.csv,5800,5800,1221,10607.53,11616.64,53.64242097598476,33.31853709967687
horizontal:train:015fe0d2:prefix,train,015fe0d2,horizontal,prefix,data/raw/train/015fe0d2__horizontal_well.csv,1517,1517,671,11747.26,12241.19,75.0114769039649,21.37654124156301
horizontal:train:015fe0d2:hidden,train,015fe0d2,horizontal,hidden,data/raw/train/015fe0d2__horizontal_well.csv,2920,2920,78,12232.92,12271.53,94.68280935673957,15.388994553391022
horizontal:train:015fe0d2:full,train,015fe0d2,horizontal,full,data/raw/train/015fe0d2__horizontal_well.csv,4437,4437,732,11747.26,12271.53,87.95722645593742,19.978804630590915
horizontal:train:01869cd4:prefix,train,01869cd4,horizontal,prefix,data/raw/train/01869cd4__horizontal_well.csv,866,866,470,11358.27,11745.94,85.2014642417768,24.955958069472597
horizontal:train:01869cd4:hidden,train,01869cd4,horizontal,hidden,data/raw/train/01869cd4__horizontal_well.csv,2716,2716,79,11728.75,11767.75,87.52697932586509,19.288905965888393
horizontal:train:01869cd4:full,train,01869cd4,horizontal,full,data/raw/train/01869cd4__horizontal_well.csv,3582,3582,513,11358.27,11767.75,86.9647526193267,20.82481129599514
horizontal:train:01982c1d:prefix,train,01982c1d,horizontal,prefix,data/raw/train/01982c1d__horizontal_well.csv,1423,1423,822,9927.92,10695.87,72.62315487349346,30.09626361326061
horizontal:train:01982c1d:hidden,train,01982c1d,horizontal,hidden,data/raw/train/01982c1d__horizontal_well.csv,3318,3318,37,10682.86,10700.87,47.30778558626893,8.235680890959033
horizontal:train:01982c1d:full,train,01982c1d,horizontal,full,data/raw/train/01982c1d__horizontal_well.csv,4741,4741,832,9927.92,10700.87,54.90613414052341,21.306286743517802
horizontal:train:028d7b28:prefix,train,028d7b28,horizontal,prefix,data/raw/train/028d7b28__horizontal_well.csv,1289,1289,657,11874.64,12427.92,71.53515262003307,27.183633678400653
horizontal:train:028d7b28:hidden,train,028d7b28,horizontal,hidden,data/raw/train/028d7b28__horizontal_well.csv,4781,4781,53,12410.84,12437.08,49.33857393117094,14.738814765926914
horizontal:train:028d7b28:full,train,028d7b28,horizontal,full,data/raw/train/028d7b28__horizontal_well.csv,6070,6070,675,11874.64,12437.08,54.052147230996866,20.259067194384766
horizontal:train:02e7fe5a:prefix,train,02e7fe5a,horizontal,prefix,data/raw/train/02e7fe5a__horizontal_well.csv,1038,1038,771,11359.12,12178.61,77.62649072995245,19.27850056087384
horizontal:train:02e7fe5a:hidden,train,02e7fe5a,horizontal,hidden,data/raw/train/02e7fe5a__horizontal_well.csv,1856,1856,50,12175.21,12199.39,69.90244208045617,9.41356543808101
horizontal:train:02e7fe5a:full,train,02e7fe5a,horizontal,full,data/raw/train/02e7fe5a__horizontal_well.csv,2894,2894,813,11359.12,12199.39,72.67285068383458,14.277940543855204
horizontal:train:0390d174:prefix,train,0390d174,horizontal,prefix,data/raw/train/0390d174__horizontal_well.csv,960,960,458,10114.85,10620.94,51.578960936323625,25.041945907950595
horizontal:train:0390d174:hidden,train,0390d174,horizontal,hidden,data/raw/train/0390d174__horizontal_well.csv,2215,2215,64,10607.69,10639.09,30.903474616589353,7.2111597376410135
horizontal:train:0390d174:full,train,0390d174,horizontal,full,data/raw/train/0390d174__horizontal_well.csv,3175,3175,494,10114.85,10639.09,37.15496024397357,17.778082758385267
horizontal:train:03a935ae:prefix,train,03a935ae,horizontal,prefix,data/raw/train/03a935ae__horizontal_well.csv,1582,1582,788,12192.18,12837.98,87.5662550166189,20.38064406623565
horizontal:train:03a935ae:hidden,train,03a935ae,horizontal,hidden,data/raw/train/03a935ae__horizontal_well.csv,2673,2673,108,12738.58,12792.15,87.26968609805483,16.533454863617965
horizontal:train:03a935ae:full,train,03a935ae,horizontal,full,data/raw/train/03a935ae__horizontal_well.csv,4255,4255,798,12192.18,12837.98,87.37994979468665,18.06036387871498
horizontal:train:044af7d1:prefix,train,044af7d1,horizontal,prefix,data/raw/train/044af7d1__horizontal_well.csv,850,850,613,11314.19,11850.28,96.61695827919247,28.735457531117735
horizontal:train:044af7d1:hidden,train,044af7d1,horizontal,hidden,data/raw/train/044af7d1__horizontal_well.csv,1541,1541,47,11846.83,11870.03,112.1377512715124,16.49831937914337
horizontal:train:044af7d1:full,train,044af7d1,horizontal,full,data/raw/train/044af7d1__horizontal_well.csv,2391,2391,652,11314.19,11870.03,106.62011260841246,22.894733795190213
horizontal:train:0498acab:prefix,train,0498acab,horizontal,prefix,data/raw/train/0498acab__horizontal_well.csv,967,967,651,10650.9,11400.6,84.10404895805316,21.494466394559232
horizontal:train:0498acab:hidden,train,0498acab,horizontal,hidden,data/raw/train/0498acab__horizontal_well.csv,2521,2521,46,11393.86,11416.25,83.96483884352847,9.94387519481393
horizontal:train:0498acab:full,train,0498acab,horizontal,full,data/raw/train/0498acab__horizontal_well.csv,3488,3488,683,10650.9,11416.25,84.00343293204492,14.126490338730655
horizontal:train:052d64df:prefix,train,052d64df,horizontal,prefix,data/raw/train/052d64df__horizontal_well.csv,1654,1654,1000,10522.89,11445.25,87.54696610395953,25.770702291365637
horizontal:train:052d64df:hidden,train,052d64df,horizontal,hidden,data/raw/train/052d64df__horizontal_well.csv,1772,1772,51,11431.5,11456.35,85.33445146448543,12.140704544678956
horizontal:train:052d64df:full,train,052d64df,horizontal,full,data/raw/train/052d64df__horizontal_well.csv,3426,3426,1022,10522.89,11456.35,86.40260651810193,19.952104598276925
horizontal:train:05948241:prefix,train,05948241,horizontal,prefix,data/raw/train/05948241__horizontal_well.csv,898,898,712,10031.47,10838.61,84.11592936286411,23.675439943622496
horizontal:train:05948241:hidden,train,05948241,horizontal,hidden,data/raw/train/05948241__horizontal_well.csv,1557,1557,31,10826.41,10841.42,81.31386692571425,16.354168954406866
horizontal:train:05948241:full,train,05948241,horizontal,full,data/raw/train/05948241__horizontal_well.csv,2455,2455,719,10031.47,10841.42,82.33881685180818,19.403086640872804
horizontal:train:059c8f24:prefix,train,059c8f24,horizontal,prefix,data/raw/train/059c8f24__horizontal_well.csv,1203,1203,789,9583.12,10306.22,80.38303306950097,20.86501280800589
horizontal:train:059c8f24:hidden,train,059c8f24,horizontal,hidden,data/raw/train/059c8f24__horizontal_well.csv,3534,3534,63,10294.81,10326.13,80.11283131412749,11.814392693365452
horizontal:train:059c8f24:full,train,059c8f24,horizontal,full,data/raw/train/059c8f24__horizontal_well.csv,4737,4737,829,9583.12,10326.13,80.18145126593544,14.652871433605165
horizontal:train:05a0ee4d:prefix,train,05a0ee4d,horizontal,prefix,data/raw/train/05a0ee4d__horizontal_well.csv,1358,1358,849,11144.98,11927.35,100.9825044754002,28.691849370328722
horizontal:train:05a0ee4d:hidden,train,05a0ee4d,horizontal,hidden,data/raw/train/05a0ee4d__horizontal_well.csv,2784,2784,83,11887.87,11929.08,101.06595437880011,16.27000388491961
horizontal:train:05a0ee4d:full,train,05a0ee4d,horizontal,full,data/raw/train/05a0ee4d__horizontal_well.csv,4142,4142,860,11144.98,11929.08,101.03859441530011,21.161944818911124
horizontal:train:060ab2b8:prefix,train,060ab2b8,horizontal,prefix,data/raw/train/060ab2b8__horizontal_well.csv,722,722,612,10017.15,10950.59,87.99915260402894,21.991737276566788
horizontal:train:060ab2b8:hidden,train,060ab2b8,horizontal,hidden,data/raw/train/060ab2b8__horizontal_well.csv,2660,2660,55,10943.63,10970.7,83.54674841132764,12.293000932717492
horizontal:train:060ab2b8:full,train,060ab2b8,horizontal,full,data/raw/train/060ab2b8__horizontal_well.csv,3382,3382,652,10017.15,10970.7,84.49726166594928,15.014446054810842
horizontal:train:06df5958:prefix,train,06df5958,horizontal,prefix,data/raw/train/06df5958__horizontal_well.csv,1404,1404,734,10768.09,11338.8,78.34073357267246,20.09697467216553
horizontal:train:06df5958:hidden,train,06df5958,horizontal,hidden,data/raw/train/06df5958__horizontal_well.csv,2845,2845,23,11332.240000000002,11343.09,77.2319163805603,12.408482409566556
horizontal:train:06df5958:full,train,06df5958,horizontal,full,data/raw/train/06df5958__horizontal_well.csv,4249,4249,742,10768.09,11343.09,77.59830360996145,15.389055034691813
horizontal:train:071d7b45:prefix,train,071d7b45,horizontal,prefix,data/raw/train/071d7b45__horizontal_well.csv,1269,1269,520,10128.63,10530.11,81.26765198935055,18.015258608873808
horizontal:train:071d7b45:hidden,train,071d7b45,horizontal,hidden,data/raw/train/071d7b45__horizontal_well.csv,2717,2717,49,10530.15,10553.96,80.81025764031132,11.617398249990181
horizontal:train:071d7b45:full,train,071d7b45,horizontal,full,data/raw/train/071d7b45__horizontal_well.csv,3986,3986,568,10128.63,10553.96,80.95587566061508,13.977361147352704
horizontal:train:0849b4e2:prefix,train,0849b4e2,horizontal,prefix,data/raw/train/0849b4e2__horizontal_well.csv,1587,1587,1023,11050.65,11948.09,73.49365412548907,22.569953728844187
horizontal:train:0849b4e2:hidden,train,0849b4e2,horizontal,hidden,data/raw/train/0849b4e2__horizontal_well.csv,4153,4153,83,11908.15,11951.15,65.52342492537544,12.462445598450238
horizontal:train:0849b4e2:full,train,0849b4e2,horizontal,full,data/raw/train/0849b4e2__horizontal_well.csv,5740,5740,1031,11050.65,11951.15,67.72704055962289,16.307026754656043
horizontal:train:084d66f9:prefix,train,084d66f9,horizontal,prefix,data/raw/train/084d66f9__horizontal_well.csv,877,877,676,10128.06,11007.1,80.07996311414311,22.852632948451056
horizontal:train:084d66f9:hidden,train,084d66f9,horizontal,hidden,data/raw/train/084d66f9__horizontal_well.csv,1374,1374,87,10983.47,11028.09,71.03361393559356,14.899997874412326
horizontal:train:084d66f9:full,train,084d66f9,horizontal,full,data/raw/train/084d66f9__horizontal_well.csv,2251,2251,720,10128.06,11028.09,74.55811337121682,18.932612507938558
horizontal:train:08fecf00:prefix,train,08fecf00,horizontal,prefix,data/raw/train/08fecf00__horizontal_well.csv,1605,1605,1033,11230.55,12149.94,71.04406062263293,23.29130014057367
horizontal:train:08fecf00:hidden,train,08fecf00,horizontal,hidden,data/raw/train/08fecf00__horizontal_well.csv,4000,4000,33,12139.1,12155.05,62.920241640998775,8.387362262764004
horizontal:train:08fecf00:full,train,08fecf00,horizontal,full,data/raw/train/08fecf00__horizontal_well.csv,5605,5605,1043,11230.55,12155.05,65.2465091638396,14.799715326441348
horizontal:train:09053135:prefix,train,09053135,horizontal,prefix,data/raw/train/09053135__horizontal_well.csv,1432,1432,914,10684.85,11462.56,84.21574921321559,23.313783422924978
