label,split,well_id,kind,view,path,n_rows,n_valid_points,grid_valid_points,tvt_min,tvt_max,gr_mean,gr_std
typewell:train:000d7d20,train,000d7d20,typewell,native,data/raw/train/000d7d20__typewell.csv,1296,1296,1296,11223.95,11871.45,83.25763888888889,26.24119105832893
typewell:train:00bbac68,train,00bbac68,typewell,native,data/raw/train/00bbac68__typewell.csv,1946,1946,1946,11394.45,12366.95,92.3441726618705,27.654118928083474
typewell:train:00e12e8b,train,00e12e8b,typewell,native,data/raw/train/00e12e8b__typewell.csv,2556,2556,2556,10593.95,11871.45,95.76901408450705,23.49668172819533
typewell:train:015fe0d2,train,015fe0d2,typewell,native,data/raw/train/015fe0d2__typewell.csv,1265,1265,1265,11734.95,12366.95,81.7350118577075,27.56902089416852
typewell:train:01869cd4,train,01869cd4,typewell,native,data/raw/train/01869cd4__typewell.csv,1052,1052,1052,11345.95,11871.45,76.89226235741445,24.318331387241304
typewell:train:01982c1d,train,01982c1d,typewell,native,data/raw/train/01982c1d__typewell.csv,2213,2213,2213,9915.37,11021.27,94.23446452779032,34.78133379573362
typewell:train:028d7b28,train,028d7b28,typewell,native,data/raw/train/028d7b28__typewell.csv,1774,1774,1774,11862.45,12748.95,83.02681510710259,25.098120133178874
typewell:train:02e7fe5a,train,02e7fe5a,typewell,native,data/raw/train/02e7fe5a__typewell.csv,1006,1006,1006,11782.62,12285.1,63.92459244532803,19.930977442464542
typewell:train:0390d174,train,0390d174,typewell,native,data/raw/train/0390d174__typewell.csv,1709,1709,1709,10102.6,10956.570000000002,69.85925687536572,29.049384654986607
typewell:train:03a935ae,train,03a935ae,typewell,native,data/raw/train/03a935ae__typewell.csv,1616,1616,1616,12179.95,12987.45,84.53152227722772,28.86403892139732
typewell:train:044af7d1,train,044af7d1,typewell,native,data/raw/train/044af7d1__typewell.csv,1503,1503,1503,11300.9,12051.84,89.56046573519627,32.475554785080924
typewell:train:0498acab,train,0498acab,typewell,native,data/raw/train/0498acab__typewell.csv,1914,1914,1893,10638.42,11594.55,85.15380877742948,32.530794130126665
typewell:train:052d64df,train,052d64df,typewell,native,data/raw/train/052d64df__typewell.csv,2170,2170,2149,10510.42,11594.55,88.2105069124424,31.93506597634561
typewell:train:05948241,train,05948241,typewell,native,data/raw/train/05948241__typewell.csv,1900,1900,1870,10014.47,10963.71,90.09732631578946,34.971802927634535
typewell:train:059c8f24,train,059c8f24,typewell,native,data/raw/train/059c8f24__typewell.csv,1634,1634,1634,9544.45,10362.45,85.45225214198285,24.282120187053884
typewell:train:05a0ee4d,train,05a0ee4d,typewell,native,data/raw/train/05a0ee4d__typewell.csv,1843,1843,1843,11130.9,12051.84,95.28601736299512,32.114955484928494
typewell:train:060ab2b8,train,060ab2b8,typewell,native,data/raw/train/060ab2b8__typewell.csv,1082,1082,1082,9997.22,11077.56,91.88214417744916,28.77566398419893
typewell:train:06df5958,train,06df5958,typewell,native,data/raw/train/06df5958__typewell.csv,1234,1234,1234,10755.95,11372.45,87.96239870340357,23.0891215220045
typewell:train:071d7b45,train,071d7b45,typewell,native,data/raw/train/071d7b45__typewell.csv,1088,1088,1077,10125.070000000002,10668.02,64.90039522058824,22.137294086174382
typewell:train:0849b4e2,train,0849b4e2,typewell,native,data/raw/train/0849b4e2__typewell.csv,2288,2288,2288,11038.45,12181.95,82.42093094405595,22.752792212391565
typewell:train:084d66f9,train,084d66f9,typewell,native,data/raw/train/084d66f9__typewell.csv,2060,2060,2060,10115.96,11145.28,80.67446116504856,25.479014436422077
typewell:train:08fecf00,train,08fecf00,typewell,native,data/raw/train/08fecf00__typewell.csv,4437,4437,2218,11217.12,12325.65,83.12580347081361,25.086576734683934
typewell:train:09053135,train,09053135,typewell,native,data/raw/train/09053135__typewell.csv,1856,1856,1856,10664.45,11591.95,83.95696659482759,30.451412157443613
typewell:train:09441b8d,train,09441b8d,typewell,native,data/raw/train/09441b8d__typewell.csv,2055,2055,2055,10339.45,11366.45,85.83227250608273,28.64998602809302
typewell:train:0955cd6c,train,0955cd6c,typewell,native,data/raw/train/0955cd6c__typewell.csv,3602,3602,1800,11425.84,12325.65,81.10171016102166,27.09294267363107
typewell:train:09ec2ca9,train,09ec2ca9,typewell,native,data/raw/train/09ec2ca9__typewell.csv,1784,1784,1784,10230.95,11122.45,126.59091928251122,50.135520658173384
typewell:train:0a57a29c,train,0a57a29c,typewell,native,data/raw/train/0a57a29c__typewell.csv,1395,1395,1395,10669.45,11366.45,72.22206451612904,23.880159087235576
typewell:train:0bbf5e67,train,0bbf5e67,typewell,native,data/raw/train/0bbf5e67__typewell.csv,1609,1609,1609,10167.95,10971.95,88.26904288377875,22.463071900526636
typewell:train:0be01c24,train,0be01c24,typewell,native,data/raw/train/0be01c24__typewell.csv,2003,2003,1978,10536.92,11537.41,93.4584323514728,33.80149858776418
typewell:train:0c1b160c,train,0c1b160c,typewell,native,data/raw/train/0c1b160c__typewell.csv,1464,1464,1464,10580.03,11311.5,101.41101092896174,41.342184413656426
typewell:train:0d99f8e4,train,0d99f8e4,typewell,native,data/raw/train/0d99f8e4__typewell.csv,1459,1459,1459,10637.45,11366.45,73.01137765592873,23.68769423007583
typewell:train:0dc5e64d,train,0dc5e64d,typewell,native,data/raw/train/0dc5e64d__typewell.csv,1573,1573,1573,10336.45,11122.45,118.75450095359186,48.230285914802046
typewell:train:0dc835f3,train,0dc835f3,typewell,native,data/raw/train/0dc835f3__typewell.csv,1194,1194,1194,10424.81,11021.27,68.81492462311557,24.25833062875135
typewell:train:0dd99dc5,train,0dd99dc5,typewell,native,data/raw/train/0dd99dc5__typewell.csv,1992,1992,1992,11753.45,12748.95,85.1135843373494,24.836419012033133
typewell:train:0e5e560d,train,0e5e560d,typewell,native,data/raw/train/0e5e560d__typewell.csv,1833,1833,1833,10206.45,11122.45,128.45308237861428,50.739741228411
typewell:train:109d9d70,train,109d9d70,typewell,native,data/raw/train/109d9d70__typewell.csv,2992,2992,1495,11578.33,12325.65,75.33989304812835,26.022060647898215
typewell:train:10a1281a,train,10a1281a,typewell,native,data/raw/train/10a1281a__typewell.csv,1896,1896,1896,10418.95,11366.45,83.39699894514769,28.47756061643002
typewell:train:10b89021,train,10b89021,typewell,native,data/raw/train/10b89021__typewell.csv,1006,1006,1006,11782.62,12285.1,63.92459244532803,19.930977442464542
typewell:train:10be2420,train,10be2420,typewell,native,data/raw/train/10be2420__typewell.csv,2012,2012,1982,9958.47,10963.71,92.69810139165011,35.64683669103326
typewell:train:113011eb,train,113011eb,typewell,native,data/raw/train/113011eb__typewell.csv,1196,1196,1196,12151.45,12748.95,74.21729096989966,25.609670790130856
typewell:train:1131525f,train,1131525f,typewell,native,data/raw/train/1131525f__typewell.csv,1241,1241,1241,10752.45,11372.45,88.13779210314263,23.143111459309438
typewell:train:11d0f5ac,train,11d0f5ac,typewell,native,data/raw/train/11d0f5ac__typewell.csv,695,695,695,10384.02,11077.56,77.92112230215827,25.115126203307515
typewell:train:12203f2a,train,12203f2a,typewell,native,data/raw/train/12203f2a__typewell.csv,1940,1940,1940,11212.45,12181.95,80.40560824742268,23.95157255003783
typewell:train:122bd617,train,122bd617,typewell,native,data/raw/train/122bd617__typewell.csv,2363,2363,2333,9782.98,10963.71,97.13354633939908,34.91622035255049
typewell:train:125be846,train,125be846,typewell,native,data/raw/train/125be846__typewell.csv,1426,1426,1405,10882.39,11594.55,73.78562412342215,30.063143043126875
typewell:train:1285a37b,train,1285a37b,typewell,native,data/raw/train/1285a37b__typewell.csv,2011,2011,2011,11868.45,12873.45,94.14689706613625,25.42207762652722
typewell:train:1295a25b,train,1295a25b,typewell,native,data/raw/train/1295a25b__typewell.csv,1336,1336,1336,11203.95,11871.45,84.23887724550899,26.485500955526042
typewell:train:12f0cd90,train,12f0cd90,typewell,native,data/raw/train/12f0cd90__typewell.csv,1392,1392,1367,10842.320000000002,11537.41,79.54806034482759,31.011940210273103
typewell:train:137d1e44,train,137d1e44,typewell,native,data/raw/train/137d1e44__typewell.csv,1998,1998,1998,11874.95,12873.45,94.13341841841842,25.497328539255633
typewell:train:13ce113d,train,13ce113d,typewell,native,data/raw/train/13ce113d__typewell.csv,2191,2191,2191,10271.45,11366.45,87.39066636239161,28.48398153238978
typewell:train:13f598d9,train,13f598d9,typewell,native,data/raw/train/13f598d9__typewell.csv,1781,1781,1781,11858.95,12748.95,83.1072318921954,25.081873528590865
typewell:train:14a53cb3,train,14a53cb3,typewell,native,data/raw/train/14a53cb3__typewell.csv,1959,1959,1919,10372.33,11350.94,124.49183767228178,33.260528610392925
typewell:train:14ab73fb,train,14ab73fb,typewell,native,data/raw/train/14ab73fb__typewell.csv,1449,1449,1449,10639.95,11372.45,92.58523119392684,24.09698433846254
typewell:train:14ad5efb,train,14ad5efb,typewell,native,data/raw/train/14ad5efb__typewell.csv,1401,1401,1376,10837.820000000002,11537.41,79.9086438258387,31.236188960911385
typewell:train:14fee784,train,14fee784,typewell,native,data/raw/train/14fee784__typewell.csv,1382,1382,1382,10330.820000000002,11021.27,76.33709117221417,30.66055859224525
typewell:train:153552f5,train,153552f5,typewell,native,data/raw/train/153552f5__typewell.csv,2115,2115,2115,11309.95,12366.95,92.8943498817967,26.707957072009926
typewell:train:1550491d,train,1550491d,typewell,native,data/raw/train/1550491d__typewell.csv,1197,1197,1172,10939.79,11537.41,72.92989974937343,27.388636384410756
typewell:train:155887bb,train,155887bb,typewell,native,data/raw/train/155887bb__typewell.csv,2122,2122,2122,11306.45,12366.95,92.90491988689915,26.664569336238653
typewell:train:1590af81,train,1590af81,typewell,native,data/raw/train/1590af81__typewell.csv,1219,1219,1219,10982.95,11591.95,67.24182116488926,24.051357818763176
typewell:train:15e154a1,train,15e154a1,typewell,native,data/raw/train/15e154a1__typewell.csv,3707,3707,1854,10209.95,11136.45,93.57840841650932,38.065265522253334
typewell:train:1619e2ca,train,1619e2ca,typewell,native,data/raw/train/1619e2ca__typewell.csv,1655,1655,1655,10764.95,11591.95,79.7680241691843,29.562632924034837
