query_label,split,well_id,view,query_grid_valid_points,provided_label,provided_in_primary_pool,provided_rank_by_z_rmse,primary_pool_candidates,provided_overlap_grid_points,provided_coverage_query,provided_coverage_candidate,provided_corr,provided_raw_rmse,provided_resid_std,provided_z_rmse,best_label,best_split,best_well_id,best_is_provided,best_overlap_grid_points,best_coverage_query,best_coverage_candidate,best_corr,best_raw_rmse,best_resid_std,best_z_rmse,best_minus_provided_z_rmse,best_minus_provided_raw_rmse
horizontal:train:000d7d20:prefix,train,000d7d20,prefix,632,typewell:train:000d7d20,True,1.0,308,632.0,1.0,0.48765432834625244,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115,typewell:train:000d7d20,train,000d7d20,True,632.0,1.0,0.48765432834625244,0.8196253776550293,14.913569450378418,14.616896629333496,0.6006240248680115,0.0,0.0
horizontal:train:000d7d20:hidden,train,000d7d20,hidden,31,typewell:train:000d7d20,True,62.0,228,31.0,1.0,0.02391975373029709,0.015315570868551731,22.717453002929688,22.689254760742188,1.4033420085906982,typewell:train:27c3155b,train,27c3155b,False,31.0,1.0,0.012375249527394772,0.15505355596542358,22.313339233398438,15.01874828338623,1.2999588251113892,-0.10338318347930908,-0.40411376953125
horizontal:train:000d7d20:full,train,000d7d20,full,632,typewell:train:000d7d20,True,1.0,308,632.0,1.0,0.48765432834625244,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471,typewell:train:000d7d20,train,000d7d20,True,632.0,1.0,0.48765432834625244,0.8148912787437439,15.103440284729004,14.81482982635498,0.6084549427032471,0.0,0.0
horizontal:train:00bbac68:prefix,train,00bbac68,prefix,940,typewell:train:00bbac68,True,16.0,294,940.0,1.0,0.4830421507358551,0.8591075539588928,13.52114200592041,13.489027976989746,0.5308341383934021,typewell:train:37d36812,train,37d36812,False,845.0,0.8989361524581909,0.48148149251937866,0.8688648343086243,13.527400016784668,13.488282203674316,0.5121233463287354,-0.018710792064666748,0.0062580108642578125
horizontal:train:00bbac68:hidden,train,00bbac68,hidden,101,typewell:train:00bbac68,True,1.0,167,101.0,1.0,0.05190133675932884,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026,typewell:train:00bbac68,train,00bbac68,True,101.0,1.0,0.05190133675932884,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026,0.0,0.0
horizontal:train:00bbac68:full,train,00bbac68,full,972,typewell:train:00bbac68,True,16.0,295,972.0,1.0,0.49948611855506897,0.8560379147529602,13.533907890319824,13.506206512451172,0.5365856885910034,typewell:train:37d36812,train,37d36812,False,877.0,0.9022634029388428,0.49971508979797363,0.8655586838722229,13.541313171386719,13.507843971252441,0.5185389518737793,-0.01804673671722412,0.007405281066894531
horizontal:train:00e12e8b:prefix,train,00e12e8b,prefix,1198,typewell:train:00e12e8b,True,10.0,487,1198.0,1.0,0.4687010943889618,0.8143584728240967,18.67474937438965,14.6918306350708,0.6093299984931946,typewell:train:01869cd4,train,01869cd4,False,472.0,0.3939899802207947,0.4486691951751709,0.8341858983039856,17.46249008178711,15.376023292541504,0.5758717060089111,-0.03345829248428345,-1.212259292602539
horizontal:train:00e12e8b:hidden,train,00e12e8b,hidden,60,typewell:train:00e12e8b,True,2.0,202,60.0,1.0,0.023474179208278656,0.7534316778182983,14.096948623657227,7.2687273025512695,0.7022368907928467,typewell:train:000d7d20,train,000d7d20,False,60.0,1.0,0.046296294778585434,0.7534316778182983,14.096948623657227,7.2687273025512695,0.7022368907928467,0.0,0.0
horizontal:train:00e12e8b:full,train,00e12e8b,full,1221,typewell:train:00e12e8b,True,10.0,492,1221.0,1.0,0.47769951820373535,0.8316423296928406,18.59063720703125,14.929620742797852,0.5802717804908752,typewell:train:01869cd4,train,01869cd4,False,495.0,0.4054054021835327,0.4705323278903961,0.8476905822753906,17.298595428466797,15.674484252929688,0.5519228577613831,-0.028348922729492188,-1.2920417785644531
horizontal:train:015fe0d2:prefix,train,015fe0d2,prefix,671,typewell:train:015fe0d2,True,4.0,283,671.0,1.0,0.530434787273407,0.8705785870552063,15.185342788696289,12.756595611572266,0.5087659955024719,typewell:train:47222616,train,47222616,False,659.0,0.9821162223815918,0.5455297827720642,0.8710619807243347,14.936944007873535,12.568832397460938,0.5078149437904358,-0.0009510517120361328,-0.2483987808227539
horizontal:train:015fe0d2:hidden,train,015fe0d2,hidden,78,typewell:train:015fe0d2,True,2.0,167,78.0,1.0,0.061660077422857285,0.6898123025894165,10.11013126373291,10.098980903625488,0.7876391410827637,typewell:train:00bbac68,train,00bbac68,False,78.0,1.0,0.04008221998810768,0.6898123025894165,10.11013126373291,10.098980903625488,0.7876391410827637,0.0,0.0
horizontal:train:015fe0d2:full,train,015fe0d2,full,732,typewell:train:015fe0d2,True,4.0,286,732.0,1.0,0.5786561369895935,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766,typewell:train:47222616,train,47222616,False,720.0,0.9836065769195557,0.5960264801979065,0.8630982041358948,14.528658866882324,12.681020736694336,0.5232624411582947,-0.0017257332801818848,-0.24083614349365234
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,470,typewell:train:01869cd4,True,3.0,309,470.0,1.0,0.4467680752277374,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184,typewell:train:000d7d20,train,000d7d20,False,470.0,1.0,0.36265432834625244,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184,0.0,0.0
horizontal:train:01869cd4:hidden,train,01869cd4,hidden,79,typewell:train:01869cd4,True,3.0,233,79.0,1.0,0.07509505748748779,0.8881062269210815,9.045069694519043,8.762619972229004,0.4730618894100189,typewell:train:000d7d20,train,000d7d20,False,79.0,1.0,0.060956791043281555,0.8881062269210815,9.045069694519043,8.762619972229004,0.4730618894100189,0.0,0.0
horizontal:train:01869cd4:full,train,01869cd4,full,513,typewell:train:01869cd4,True,3.0,259,513.0,1.0,0.4876425862312317,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485,typewell:train:000d7d20,train,000d7d20,False,513.0,1.0,0.3958333432674408,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485,0.0,0.0
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,822,typewell:train:01982c1d,True,14.0,324,822.0,1.0,0.37144148349761963,0.9185603857040405,14.947434425354004,13.526582717895508,0.40358299016952515,typewell:train:84633df4,train,84633df4,False,740.0,0.9002432823181152,0.3672456443309784,0.9238260984420776,15.608859062194824,13.955918312072754,0.39031755924224854,-0.013265430927276611,0.6614246368408203
horizontal:train:01982c1d:hidden,train,01982c1d,hidden,37,typewell:train:01982c1d,True,1.0,377,37.0,1.0,0.016719385981559753,0.9651402831077576,5.379201412200928,3.8041865825653076,0.2640443742275238,typewell:train:01982c1d,train,01982c1d,True,37.0,1.0,0.016719385981559753,0.9651402831077576,5.379201412200928,3.8041865825653076,0.2640443742275238,0.0,0.0
horizontal:train:01982c1d:full,train,01982c1d,full,832,typewell:train:01982c1d,True,14.0,326,832.0,1.0,0.37596023082733154,0.9236142039299011,14.736915588378906,13.374181747436523,0.39086008071899414,typewell:train:b32902c0,train,b32902c0,False,706.0,0.848557710647583,0.36828377842903137,0.9286686778068542,15.360032081604004,13.897624969482422,0.3777070939540863,-0.013152986764907837,0.6231164932250977
horizontal:train:028d7b28:prefix,train,028d7b28,prefix,657,typewell:train:028d7b28,True,10.0,258,657.0,1.0,0.3703494966030121,0.8966494202613831,12.751160621643066,9.851947784423828,0.45464399456977844,typewell:train:2d9f6cb9,train,2d9f6cb9,False,360.0,0.5479452013969421,0.3205699026584625,0.9333852529525757,13.422720909118652,9.96281623840332,0.36500614881515503,-0.08963784575462341,0.6715602874755859
horizontal:train:028d7b28:hidden,train,028d7b28,hidden,53,typewell:train:028d7b28,True,1.0,91,53.0,1.0,0.0298759862780571,0.842350959777832,7.171624183654785,7.139389991760254,0.5615140795707703,typewell:train:028d7b28,train,028d7b28,True,53.0,1.0,0.0298759862780571,0.842350959777832,7.171624183654785,7.139389991760254,0.5615140795707703,0.0,0.0
horizontal:train:028d7b28:full,train,028d7b28,full,675,typewell:train:028d7b28,True,10.0,259,675.0,1.0,0.3804960548877716,0.9051805734634399,12.592766761779785,9.848690032958984,0.4354754388332367,typewell:train:2d9f6cb9,train,2d9f6cb9,False,378.0,0.5600000023841858,0.33659839630126953,0.9373324513435364,13.121179580688477,9.987431526184082,0.3540269732475281,-0.08144846558570862,0.5284128189086914
horizontal:train:02e7fe5a:prefix,train,02e7fe5a,prefix,771,typewell:train:02e7fe5a,True,1.0,291,479.0,0.6212710738182068,0.47614315152168274,0.7965229153633118,11.70817756652832,11.223139762878418,0.6379296183586121,typewell:train:02e7fe5a,train,02e7fe5a,True,479.0,0.6212710738182068,0.47614315152168274,0.7965229153633118,11.70817756652832,11.223139762878418,0.6379296183586121,0.0,0.0
horizontal:train:02e7fe5a:hidden,train,02e7fe5a,hidden,50,typewell:train:02e7fe5a,True,1.0,199,50.0,1.0,0.049701787531375885,0.51978999376297,8.798437118530273,8.522915840148926,0.9800102114677429,typewell:train:02e7fe5a,train,02e7fe5a,True,50.0,1.0,0.049701787531375885,0.51978999376297,8.798437118530273,8.522915840148926,0.9800102114677429,0.0,0.0
